jatosResId;workerID;Consent;Age;Gender;Hand;Vis;Neuro;Neuro_comm;Med;Educ;Training;catchTrial;area_AA;area_IAE;area_CB;area_ARtot;panas_PA;panas_NA;bfi_soc;bfi_ass;bfi_enl;bfi_com;bfi_rse;bfi_tru;bfi_org;bfi_pro;bfi_rsp;bfi_anx;bfi_dep;bfi_emv;bfi_int;bfi_aes;bfi_cre;bfi_Ext;bfi_Agr;bfi_Con;bfi_Neg;bfi_Opn
2067;1707;1;24;1;1;1;2;;2;"Bachelor's degree";"None";1;3.25;3.25;0.666666666666667;2.38888888888889;3.66666666666667;2.2;2;2.5;2.5;4;4;3.75;4.5;3.25;3.5;4.75;4;3.25;4.5;4.25;3;2.33333333333333;3.91666666666667;3.75;4;3.91666666666667
2070;1711;1;18;1;2;1;2;;2;;"I have played drum since I was 8. I love listening to music and create it. For arts and architecture I have studied it when I was on school. I learned a lot and I found some visual arts outstanding.";1;2.625;1.75;1;1.79166666666667;3.5;1.2;1.25;2;4;3.75;3.5;4.25;2.5;2.75;3;4.25;3;2.5;4.25;4.75;3.5;2.41666666666667;3.83333333333333;2.75;3.25;4.16666666666667
2072;1713;1;23;2;1;2;2;;2;"Bachelor's Degree";"No training.";1;1.75;0.25;0.333333333333333;0.777777777777778;1.66666666666667;2;3.5;2;4;4.5;4.5;3.5;2.75;2.25;3.75;5;4;3.5;3.25;3;3;3.16666666666667;4.16666666666667;2.91666666666667;4.16666666666667;3.08333333333333
2073;1714;1;33;1;1;2;2;;2;"University";"music (violin, bass guitar), critical writing, baseball, tennis";1;2.25;1.25;1;1.5;4.5;4.4;3.75;3.25;4;4;3;3;3;3;3.25;3.75;3;3;3.5;4;3;3.66666666666667;3.33333333333333;3.08333333333333;3.25;3.5
2074;1715;1;22;1;2;1;2;;2;"Bachelors Degree";"None";1;2.125;1;0.666666666666667;1.26388888888889;3;1;1.5;2;2.75;2.75;4;2;5;2.75;3;3.5;2.5;2.25;4.5;3.5;3.5;2.08333333333333;2.91666666666667;3.58333333333333;2.75;3.83333333333333
2075;1716;1;30;2;1;1;2;;2;"Masters";;1;2.875;2;0.666666666666667;1.84722222222222;3.33333333333333;1;1.75;3.5;4;3.75;4.75;4;5;4.25;4.25;4;1.5;2;4.5;3.5;4;3.08333333333333;4.16666666666667;4.5;2.5;4
2080;1721;1;18;1;1;1;2;;2;"high school";;1;1.875;1.25;0.333333333333333;1.15277777777778;3.16666666666667;1.6;1.75;3.75;2.75;4;3;2.75;2.5;2.25;3.75;3.25;2.25;1.75;3.75;2.75;3.25;2.75;3.25;2.83333333333333;2.41666666666667;3.25
2081;1722;1;23;1;1;1;2;;2;"High school";"I have written articles for a technology blog in the past.";1;2.375;1.5;1;1.625;3.66666666666667;1.6;2.75;3.75;4.25;4;4.75;3.75;4.5;4.5;3.75;2.5;2.25;3;4.25;3.25;4.5;3.58333333333333;4.16666666666667;4.25;2.58333333333333;4
2083;1724;1;32;1;1;1;2;;2;"BA";;1;1.375;0.25;0;0.541666666666667;2.16666666666667;1;1.75;2;2;2.5;4.25;2;2.5;3;3.75;2.75;1.75;1.25;2.25;2.25;1;1.91666666666667;2.91666666666667;3.08333333333333;1.91666666666667;1.83333333333333
2084;1725;1;20;1;1;1;2;;2;"Highschool";"Being pro-player in games";1;2.125;1;2;1.70833333333333;3.16666666666667;1.4;3;4;2;4;3.5;4;2.75;2.75;3;4;3.75;3.75;3;3.5;3.5;3;3.83333333333333;2.83333333333333;3.83333333333333;3.33333333333333
2085;1726;1;55;1;2;1;2;;2;"Professional post grad exam, MSc leel";"none";1;2.75;0.5;2;1.75;3.5;1;2.25;3.5;3;4;4.75;3.5;4;3.75;4.5;2.75;2.25;1.5;4.5;4.5;4.5;2.91666666666667;4.08333333333333;4.08333333333333;2.16666666666667;4.5
2086;1727;1;22;1;1;1;2;;2;"university degree BAs";"was exposed on a minor level in higschool, and a littel bit by being in close proximity with artists  ";1;2.375;1.5;0.666666666666667;1.51388888888889;2.66666666666667;1;2.75;3.5;4;3.5;3.75;3.5;2.25;2.5;2.75;2.25;2;2.25;5;4;3.75;3.41666666666667;3.58333333333333;2.5;2.16666666666667;4.25
2087;1728;1;27;1;1;2;2;;2;"Master's degree.";"I play acoustic guitar for 4 years. I write journal for 10 years and I wrote different texts in the past. I juggle creating my own moves and I was draving when I was younger (including card games with original rules). I didn't have formal training in those domains.";1;2.25;1;0.666666666666667;1.30555555555556;3.5;1.2;2.75;2.75;3.25;4.25;4.25;3.5;3.5;3;3;2.5;2;2;4.75;4;3.75;2.91666666666667;4;3.16666666666667;2.16666666666667;4.16666666666667
2090;1731;1;41;1;1;1;2;;2;"Undergraduate";"None";1;2.875;2.25;1;2.04166666666667;2.5;1;3.5;3;3.25;3.5;3.75;3.25;3.75;3.25;3.75;2.75;2.5;3;3.5;3.75;3;3.25;3.5;3.58333333333333;2.75;3.41666666666667
2093;1734;1;21;2;2;2;2;;2;"high school";"music, piano, drawing, theatrical performance";1;2.125;1.75;1.66666666666667;1.84722222222222;3.83333333333333;2;3.75;2.5;3.25;3;2.75;3.75;3.25;3;2;2.25;2.25;2.75;3;2.75;2.75;3.16666666666667;3.16666666666667;2.75;2.41666666666667;2.83333333333333
2097;1738;1;20;1;1;1;2;;2;"High School Education";;1;2.5;1.75;0.333333333333333;1.52777777777778;2.33333333333333;3.8;1.25;2;1.25;3.5;3.75;1.5;2.25;2.5;2;3.5;5;4;3.5;4;2.5;1.5;2.91666666666667;2.25;4.16666666666667;3.33333333333333
2100;1741;1;36;1;1;1;2;;2;"Undergrad diploma";"No training, but a kee n intrest in illustration, cartooning, caracature, and still life";1;3.125;2;1.33333333333333;2.15277777777778;2.33333333333333;1.2;2.75;3;3.75;3.25;3.5;2;3.25;3.25;2.5;4;2.75;2.25;4;4.25;3.5;3.16666666666667;2.91666666666667;3;3;3.91666666666667
2104;1745;1;30;1;1;1;2;;2;"Master Degree";;1;1.625;1.25;0.666666666666667;1.18055555555556;3;2.4;3;4.75;2.75;3;4.5;2.75;4;3;4.25;4;3;3.25;4.5;4.25;4.5;3.5;3.41666666666667;3.75;3.41666666666667;4.41666666666667
2107;1748;1;18;1;1;2;2;;2;"Middle school diploma";"I'm currently studying photography";1;0.875;0;2;0.958333333333333;2;1.2;1.75;3;2.25;3.5;3.5;2.75;3.5;1.75;3;3.75;3.5;3.25;4.75;3.25;3.5;2.33333333333333;3.25;2.75;3.5;3.83333333333333
2106;1747;1;31;1;1;1;2;;2;"Executive MBA";"I've had been playing piano for 10 years and guitar for 3 years in my childhood, and i'm still ever curious about the music theory!";1;2.875;1.5;1;1.79166666666667;2.16666666666667;1;3.5;3.5;4;3.25;4;3.25;3.25;3.75;4;2.5;2.5;1.5;5;3.5;4.75;3.66666666666667;3.5;3.66666666666667;2.16666666666667;4.41666666666667
2108;1749;1;38;2;1;1;2;;2;"BSc Nursing";"I have no training in all these mentioned subjects";1;1.5;0;0.333333333333333;0.611111111111111;4;1;3.5;4;4;3.5;3.75;2.75;3;3.5;4.5;3.25;1.25;2.5;2.75;2;2.75;3.83333333333333;3.33333333333333;3.66666666666667;2.33333333333333;2.5
2111;1752;1;19;1;1;2;2;;2;"Masters degree";"I have been working out, listening to lots of music, sometimes dancing and drawing. I enjoy drawing, but sometimes i get disappointed if i do something wrong.";1;2.875;3.25;1.33333333333333;2.48611111111111;4;2.2;2.75;4;2.75;1.75;1.75;1.25;2.5;2.75;2;3;3.25;4;2.75;3.5;3.5;3.16666666666667;1.58333333333333;2.41666666666667;3.41666666666667;3.25
2112;1753;1;18;1;1;1;2;;2;"A levels";"I took DT a level.";1;1;0;1.33333333333333;0.777777777777778;1.83333333333333;1;2.75;2;3.75;3.75;3.75;3.5;3.5;3.5;3;2.5;2.5;2.25;4;2.5;3.5;2.83333333333333;3.66666666666667;3.33333333333333;2.41666666666667;3.33333333333333
2114;1755;1;23;1;1;1;2;;2;"BA";"I took part in dancing training. I was learning how to perform certain types of dance as e.g. latino. Tutor was showing us how to move and we were doing the same. ";1;2.75;1.75;1;1.83333333333333;3.83333333333333;1.6;2.5;3;2.75;3.75;3;2.25;2.5;3;1.75;3.25;4;4;3;3.75;2.25;2.75;3;2.41666666666667;3.75;3
2115;1756;1;18;1;1;1;2;;2;"middle school ";"I have participated in school activities from music and art ";1;3.125;2.5;0.666666666666667;2.09722222222222;3.83333333333333;1;2.75;3;4;3.75;4.5;4;3.5;3.75;3.5;2.25;2.75;2.25;4.25;4;4.5;3.25;4.08333333333333;3.58333333333333;2.41666666666667;4.25
2117;1758;1;21;2;1;2;2;;2;"University degree";"I studied art history in middle school";1;3.125;3;1.66666666666667;2.59722222222222;2.66666666666667;1.4;2.75;3;2.5;2.25;2.75;3.25;2;2.75;2.5;4.25;4.5;4.25;4;4.75;3.75;2.75;2.75;2.41666666666667;4.33333333333333;4.16666666666667
2121;1762;1;20;1;2;1;2;;2;"high school";"Painting";1;2.875;1.75;1.33333333333333;1.98611111111111;3.83333333333333;1.2;3;4.5;3.5;3.25;3.75;3.25;4.75;4.25;4;4;1.75;1.5;3.75;4.25;3.5;3.66666666666667;3.41666666666667;4.33333333333333;2.41666666666667;3.83333333333333
2122;1763;1;21;2;1;1;2;;2;"High school";"I've never had any training in any of this fields";1;1.375;0.25;0;0.541666666666667;3.16666666666667;1.4;1;2;2;2;3.5;1.75;3.25;1.75;2.5;4.5;4.25;4.5;2;2.25;2.75;1.66666666666667;2.41666666666667;2.5;4.41666666666667;2.33333333333333
2123;1764;1;23;1;1;2;2;;2;"bachelor degree";;1;1.875;1.75;0.666666666666667;1.43055555555556;4;2;3.5;3.25;3.5;3.5;3.75;3.25;4;3;3.75;3;2;2;4;3.25;4;3.41666666666667;3.5;3.58333333333333;2.33333333333333;3.75
2126;1767;1;18;2;1;1;2;;2;"collage";"i studied art hisory at school for several years";1;2.5;0.75;2.33333333333333;1.86111111111111;3.83333333333333;1.6;4;4.25;4.5;4.5;4;3.5;5;3.25;4;1.5;2;1.5;3.75;3.5;3.75;4.25;4;4.08333333333333;1.66666666666667;3.66666666666667
2132;1773;1;24;1;2;2;2;;2;"bachelor degree";;1;1.75;0.25;0;0.666666666666667;2;1;3.5;3;3.5;3.25;3.5;3.75;3.5;2;2.75;2;2.5;1.75;4.25;3.25;4;3.33333333333333;3.5;2.75;2.08333333333333;3.83333333333333
2133;1774;1;45;1;1;1;2;;2;;"Music Only in Secondary - Basic Level. And In High School Interpretation. De Niño Creation in Clay. Nothing Professional in My Life.";1;2.5;1.5;0.333333333333333;1.44444444444444;3.66666666666667;1.4;3.5;4.25;4;4.25;4;3;4.25;4.75;4.75;2.75;1.5;2.5;3.75;4;4.75;3.91666666666667;3.75;4.58333333333333;2.25;4.16666666666667
2137;1778;1;26;1;1;1;2;;2;"Master degree";"Classical music master degree";1;3.25;1.75;2;2.33333333333333;3.16666666666667;1;1.25;2.5;3;3;4;2.5;4;2.5;3.5;4.25;3;2.75;4.75;5;4;2.25;3.16666666666667;3.33333333333333;3.33333333333333;4.58333333333333
2142;1779;1;52;1;1;2;1;"I briefly suffered from (and was diagnosed with) severe depression when I was 29-30.";2;;"I have taken several evening classes in acting, but no professional training.";1;1.625;0.25;0;0.625;1.66666666666667;1;1.25;1.5;1;3.25;4.5;2.5;1.75;1.25;3;3;3.5;2.25;4;3.5;3;1.25;3.41666666666667;2;2.91666666666667;3.5
2144;1781;1;20;1;1;1;2;;2;"High School Diploma";"I did 2-D and photography art classes in High School. I took piano lessons from age 6 to 18. I took violin lessons from age 7 to 11. I took marimba lessons from age 5 to 7.";1;3.125;1.75;1.33333333333333;2.06944444444444;3.33333333333333;1.6;3.25;2;4.25;2.5;3;3;1.75;2.25;2.5;3.75;3.25;3.5;4.25;3.75;3.25;3.16666666666667;2.83333333333333;2.16666666666667;3.5;3.75
2148;1785;1;31;1;1;1;2;;2;"Bachelor's degree";"No training.";1;1;0.25;0;0.416666666666667;2.33333333333333;1.8;3.25;3.25;2.5;5;4.5;3.5;3.25;2;4;4;4.5;2.5;4.25;1.75;5;3;4.33333333333333;3.08333333333333;3.66666666666667;3.66666666666667
2149;1786;1;34;1;1;2;2;;2;"master degree";"I haven't had any training pertaining those categories, but one lecture in aesthetics.";1;1.625;0.75;0.666666666666667;1.01388888888889;3.83333333333333;1.2;4;2.5;4.5;3.5;3.75;3.25;4.25;4.75;4;3.75;3.25;2.75;4;3.5;3.25;3.66666666666667;3.5;4.33333333333333;3.25;3.58333333333333
2152;1789;1;19;1;1;2;2;;2;"high school";"I was training group dance a few years ago. ";1;1.5;0.75;0.333333333333333;0.861111111111111;3;2.6;2.5;3.25;2.75;2.75;4.25;2.25;3.75;2;3.25;3;2;2.5;2.75;2.5;3.5;2.83333333333333;3.08333333333333;3;2.5;2.91666666666667
2153;1790;1;19;1;1;2;2;;2;"high school";;1;2.625;2.5;0.333333333333333;1.81944444444444;2;1.2;2;3.5;3.75;2.75;4;4.25;5;3.5;3.75;3.75;1.75;1.75;5;4.25;3;3.08333333333333;3.66666666666667;4.08333333333333;2.41666666666667;4.08333333333333
2155;1792;1;33;2;1;2;2;;2;;;1;2.375;1.25;0;1.20833333333333;3.16666666666667;1;3;3.5;4;3.75;4.5;3.75;3;2.75;3.25;3.75;1.25;2.5;4;3.25;3.5;3.5;4;3;2.5;3.58333333333333
2156;1793;1;18;2;1;2;2;;2;"High School";"Grade 5 ABRSM (Royal Schools) Piano and Music Theory";1;1.875;0.75;0.333333333333333;0.986111111111111;2.83333333333333;2.2;1.75;1.5;4;4.25;4.25;3.5;2;2.5;3.25;4.5;3.75;3.5;4.25;4;3;2.41666666666667;4;2.58333333333333;3.91666666666667;3.75
2160;1797;1;19;2;1;1;1;;2;"superior grade";;1;1;1;1;1;1.16666666666667;1;2.75;3;3.25;3.25;3;3;2.5;3.25;3;3.25;3.25;3;3;3;3;3;3.08333333333333;2.91666666666667;3.16666666666667;3
2163;1800;1;29;1;1;1;2;;2;"master";"I used to be in a choir once, I liked going there. I like going to museums from time to time to see art.";0;2;2;1.66666666666667;1.88888888888889;2.83333333333333;2.6;3.5;2.75;3;3;3;3.25;2.5;3;2.75;2.75;3.25;3;2.75;3.25;3;3.08333333333333;3.08333333333333;2.75;3;3
2167;1804;1;25;2;1;1;2;;2;"bachelor";"I don't have any training in none of those things";1;1.375;0.25;0.666666666666667;0.763888888888889;3.16666666666667;1;3;3.75;4.5;4;5;3.75;5;4.5;4.5;1.75;1.75;2.25;2.75;2.25;3;3.75;4.25;4.66666666666667;1.91666666666667;2.66666666666667
2176;1813;1;24;1;1;2;2;;2;"College";;1;1.5;0.25;0.666666666666667;0.805555555555555;2.33333333333333;1.6;1;3.75;2;2.5;3;2.25;3;1.5;2.25;4;3.5;4;4.75;2.75;4.25;2.25;2.58333333333333;2.25;3.83333333333333;3.91666666666667
2178;1815;1;19;2;1;2;2;;2;;"I used take dance classes when I was a child but nothing at the moment";1;2.875;2;2.33333333333333;2.40277777777778;3.66666666666667;3.2;4.75;5;5;1.75;3;1.25;4.75;4.25;2.25;3.25;2.25;3;5;4.5;5;4.91666666666667;2;3.75;2.83333333333333;4.83333333333333
