CASE;QUESTNNR;MODE;STARTED;GR01_01;GR01_02;GR01_03;GR01_04;GR01_05;GR01_06;GR01_07;IN03;IV01_01;IV04_01;IV04_02;IV03_01;SC04_01;SC04_02;SC05_01;SC05_02;SC06_01;SC06_02;SC07_01;SC07_02;SC08_01;SC08_02;SC09_01;SC09_02;SC10_01;SC10_02;SC11_01;SC11_02;SC12_01;SC12_02;SC13_01;SC13_02;TIME001;TIME002;TIME003;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;Age;Sex
671;long;interview;09.12.2023 16:23;4;1;1;3;1;4;2;1;greedfirst;sc4sc3sc2sc1random2;SC09SC05SC06SC12;Large;NA;NA;8;7;9;4;NA;NA;NA;NA;6;6;4;5;NA;NA;2;1;NA;NA;8;12;31;48;54;41;31;49;NA;22;296;NA;09.12.2023 16:28;1;0;11;11;0;0;0,64;36;Male
664;long;interview;09.12.2023 16:23;3;3;4;3;3;3;3;1;greedfirst;sc2sc1sc4sc3random2;SC05SC09SC12SC06;Small;NA;NA;11;11;6;6;NA;NA;NA;NA;8;9;NA;NA;3;3;2;2;NA;NA;10;4;27;33;19;29;23;24;NA;16;185;NA;09.12.2023 16:26;1;0;11;11;0;0;0,99;47;Female
432;long;interview;09.12.2023 16:01;2;1;2;2;2;1;1;1;greedlast;sc1sc2sc4sc3random2;SC07SC13SC08SC04;Small;5;4;NA;NA;NA;NA;7;5;4;3;NA;NA;NA;NA;6;5;NA;NA;6;5;3;4;NA;32;20;10;14;53;14;3;153;NA;09.12.2023 16:04;1;0;11;11;0;0;1,75;26;Female
641;long;interview;09.12.2023 16:21;2;2;2;1;2;2;2;1;greedlast;sc1sc3sc2sc4random2;SC05SC13SC06SC08;Large;NA;NA;8;8;3;2;NA;NA;6;6;NA;NA;8;6;NA;NA;NA;NA;9;6;4;4;NA;27;17;15;24;22;15;4;132;NA;09.12.2023 16:23;1;0;11;11;0;0;1,52;38;Male
834;short;interview;11.12.2023 16:45;4;2;1;2;2;2;2;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;NA;NA;2;2;NA;22;15;5;NA;NA;NA;NA;46;NA;11.12.2023 16:46;1;0;7;7;0;0;1,94;31;Female
907;short;interview;11.12.2023 16:54;4;2;4;4;4;4;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;9;NA;NA;NA;NA;4;3;12;5;NA;3;NA;NA;NA;NA;27;NA;11.12.2023 16:55;1;0;7;7;0;0;2,17;31;Female
737;short;interview;11.12.2023 16:21;4;4;4;2;3;4;2;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;3;8;NA;24;15;4;NA;NA;NA;NA;54;NA;11.12.2023 16:22;1;0;7;7;0;0;1,47;29;Female
1074;short;interview;11.12.2023 17:18;3;2;3;2;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;NA;NA;NA;NA;NA;NA;5;3;17;23;NA;4;NA;NA;NA;NA;52;NA;11.12.2023 17:18;1;0;7;7;0;0;1,5;41;Female
442;long;interview;09.12.2023 16:02;2;1;1;1;1;1;1;1;greedfirst;sc4sc2sc3sc1random2;SC13SC05SC08SC06;Large;NA;NA;9;10;6;6;NA;NA;6;6;NA;NA;6;9;NA;NA;NA;NA;10;10;12;4;16;39;17;20;14;25;NA;27;174;NA;09.12.2023 16:05;1;0;11;11;0;0;1,15;47;Female
847;short;interview;11.12.2023 16:48;1;3;1;1;3;3;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;NA;NA;NA;NA;3;4;18;14;NA;4;NA;NA;NA;NA;43;NA;11.12.2023 16:48;1;0;7;7;0;0;1,74;39;Male
264;long;interview;09.12.2023 15:37;1;1;2;1;1;1;2;1;greedlast;sc2sc4sc1sc3random2;SC13SC09SC04SC06;Small;11;10;NA;NA;6;6;NA;NA;NA;NA;11;10;NA;NA;1;6;NA;NA;1;6;6;5;NA;36;21;23;20;25;30;7;173;NA;09.12.2023 15:40;1;0;11;11;0;0;1,09;73;Female
468;long;interview;09.12.2023 16:05;4;4;5;4;4;4;4;1;greedlast;sc1sc2sc3sc4random2;SC13SC09SC06SC04;Small;6;6;NA;NA;6;6;NA;NA;NA;NA;7;7;NA;NA;6;6;NA;NA;6;6;3;3;NA;25;18;4;13;9;9;5;89;NA;09.12.2023 16:07;1;0;11;11;0;0;2,15;41;Female
961;short;interview;11.12.2023 17:02;3;1;1;2;1;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;7;NA;NA;NA;NA;11;7;NA;65;60;10;NA;NA;NA;NA;153;NA;11.12.2023 17:05;1;0;7;7;0;0;0,56;65;Female
986;short;interview;11.12.2023 17:07;5;4;5;5;4;4;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;NA;NA;NA;NA;NA;NA;54;3;37;18;NA;2;NA;NA;NA;NA;67;NA;11.12.2023 17:09;1;0;7;7;0;0;1,43;NA;NA
914;short;interview;11.12.2023 16:55;1;1;3;1;1;1;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;8;6;56;38;NA;8;NA;NA;NA;NA;116;NA;11.12.2023 16:57;1;0;7;7;0;0;0,74;DATA_EXPIRED;Female
486;long;interview;09.12.2023 16:08;2;2;5;1;2;3;5;1;greedfirst;sc4sc1sc2sc3random2;SC13SC07SC08SC04;Large;6;4;NA;NA;NA;NA;8;7;4;7;NA;NA;2;4;NA;NA;NA;NA;8;6;6;3;18;39;17;35;23;25;NA;4;170;NA;09.12.2023 16:11;1;0;11;11;0;0;1,34;42;Female
837;short;interview;11.12.2023 16:46;5;4;4;4;4;4;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;NA;NA;NA;NA;5;5;NA;29;16;10;NA;NA;NA;NA;65;NA;11.12.2023 16:47;1;0;7;7;0;0;1,12;46;Female
1171;short;interview;11.12.2023 17:24;5;4;2;4;4;4;3;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;8;3;36;46;NA;12;NA;NA;NA;NA;105;NA;11.12.2023 17:26;1;0;7;7;0;0;0,89;28;Female
854;short;interview;11.12.2023 16:48;2;1;5;2;1;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;NA;NA;NA;NA;4;4;22;19;NA;6;NA;NA;NA;NA;55;NA;11.12.2023 16:49;1;0;7;7;0;0;1,36;34;Female
1234;short;interview;11.12.2023 17:28;3;2;3;3;2;2;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;10;NA;NA;NA;NA;5;5;43;33;NA;14;NA;NA;NA;NA;100;NA;11.12.2023 17:29;1;0;7;7;0;0;0,87;37;Male
1012;short;interview;11.12.2023 17:09;4;3;5;4;4;4;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;9;NA;NA;NA;NA;7;4;32;27;NA;5;NA;NA;NA;NA;75;NA;11.12.2023 17:11;1;0;7;7;0;0;1,08;52;Male
676;long;interview;09.12.2023 16:27;1;1;4;2;1;1;1;1;greedfirst;sc3sc1sc4sc2random2;SC09SC13SC04SC06;Small;1;2;NA;NA;9;4;NA;NA;NA;NA;5;5;NA;NA;9;4;NA;NA;8;6;5;14;20;33;31;16;21;15;NA;12;167;NA;09.12.2023 16:30;1;0;11;11;0;0;1,12;49;Male
268;long;interview;09.12.2023 15:38;2;3;3;1;1;1;1;1;greedfirst;sc2sc3sc4sc1random2;SC09SC13SC04SC06;Large;5;6;NA;NA;6;6;NA;NA;NA;NA;5;5;1;1;NA;NA;NA;NA;3;3;8;2;49;12;2;13;6;6;NA;13;111;NA;09.12.2023 15:40;1;0;11;11;0;0;2,09;29;Male
1002;short;interview;11.12.2023 17:08;4;1;4;5;4;2;3;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;NA;NA;NA;NA;NA;NA;5;5;19;21;NA;10;NA;NA;NA;NA;60;NA;11.12.2023 17:09;1;0;7;7;0;0;1,17;57;Female
829;short;interview;11.12.2023 16:44;3;2;5;2;2;2;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;NA;NA;NA;NA;6;8;28;28;NA;12;NA;NA;NA;NA;82;NA;11.12.2023 16:46;1;0;7;7;0;0;0,87;55;Female
219;long;interview;09.12.2023 15:28;1;1;1;1;1;1;1;1;greedfirst;sc1sc3sc4sc2random2;SC05SC07SC08SC12;Small;NA;NA;8;6;NA;NA;11;5;1;4;NA;NA;NA;NA;7;8;2;4;NA;NA;12;4;31;35;30;23;32;40;NA;14;221;NA;09.12.2023 15:32;1;0;11;11;0;0;0,87;62;Female
184;long;interview;09.12.2023 15:19;2;2;1;1;1;2;2;1;greedfirst;sc3sc1sc2sc4random2;SC13SC05SC06SC08;Large;NA;NA;7;5;5;6;NA;NA;4;5;NA;NA;6;5;NA;NA;NA;NA;9;6;12;6;25;22;15;11;362;5;NA;7;126;NA;09.12.2023 15:27;1;0;11;11;0;0;1,38;39;Male
384;long;interview;09.12.2023 15:54;4;3;3;3;4;2;1;1;greedfirst;sc2sc4sc1sc3random2;SC09SC05SC06SC12;Small;NA;NA;5;4;4;3;NA;NA;NA;NA;6;5;NA;NA;4;6;3;4;NA;NA;4;4;17;21;13;14;9;12;NA;3;97;NA;09.12.2023 15:55;1;0;11;11;0;0;1,97;29;Female
820;short;interview;11.12.2023 16:43;1;2;2;1;2;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;NA;NA;NA;NA;13;12;NA;43;38;7;NA;NA;NA;NA;113;NA;11.12.2023 16:45;1;0;7;7;0;0;0,63;48;Male
855;short;interview;11.12.2023 16:49;2;2;2;2;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;NA;NA;NA;NA;NA;NA;4;8;16;36;NA;13;NA;NA;NA;NA;77;NA;11.12.2023 16:50;1;0;7;7;0;0;1,09;49;Male
966;short;interview;11.12.2023 17:03;4;3;4;5;4;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;5;4;16;19;NA;4;NA;NA;NA;NA;48;NA;11.12.2023 17:04;1;0;7;7;0;0;1,49;34;Female
634;long;interview;09.12.2023 16:21;2;1;1;2;2;1;2;1;greedfirst;sc3sc1sc2sc4random2;SC05SC13SC06SC08;Large;NA;NA;7;7;1;1;NA;NA;4;3;NA;NA;3;2;NA;NA;NA;NA;1;1;5;11;18;22;22;7;15;7;NA;13;120;NA;09.12.2023 16:23;1;0;11;11;0;0;1,62;42;Male
1178;short;interview;11.12.2023 17:25;2;1;1;1;1;1;2;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;NA;NA;NA;NA;9;4;NA;34;23;80;NA;NA;NA;NA;76;NA;11.12.2023 17:27;1;0;7;7;0;0;0,81;55;Female
898;short;interview;11.12.2023 16:53;2;4;3;3;2;2;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;8;NA;NA;NA;NA;4;3;NA;23;53;5;NA;NA;NA;NA;88;NA;11.12.2023 16:55;1;0;7;7;0;0;1,26;38;Male
170;long;interview;09.12.2023 15:15;4;4;5;2;2;3;4;1;greedlast;sc2sc3sc4sc1random2;SC07SC05SC12SC08;Small;NA;NA;8;2;NA;NA;8;3;1;1;NA;NA;NA;NA;1;1;1;1;NA;NA;30;5;NA;24;16;12;13;16;15;8;139;NA;09.12.2023 15:17;1;0;11;11;0;0;1,37;58;Female
864;short;interview;11.12.2023 16:50;2;2;2;2;1;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;NA;NA;NA;NA;12;11;44;36;NA;19;NA;NA;NA;NA;122;NA;11.12.2023 16:52;1;0;7;7;0;0;0,56;71;Female
766;short;interview;11.12.2023 16:29;3;2;2;1;2;2;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;NA;NA;NA;NA;9;12;40;35;NA;13;NA;NA;NA;NA;109;NA;11.12.2023 16:30;1;0;7;7;0;0;0,64;78;Male
459;long;interview;09.12.2023 16:04;3;2;3;2;2;2;3;1;greedlast;sc3sc1sc2sc4random2;SC09SC05SC06SC12;Small;NA;NA;7;7;2;2;NA;NA;NA;NA;4;7;NA;NA;7;4;8;7;NA;NA;14;10;NA;74;35;54;45;50;70;19;371;NA;09.12.2023 16:10;1;0;11;11;0;0;0,5;64;Male
220;long;interview;09.12.2023 15:29;3;3;2;2;1;3;1;1;greedlast;sc4sc1sc3sc2random2;SC13SC07SC04SC08;Large;9;10;NA;NA;NA;NA;11;11;9;10;NA;NA;7;7;NA;NA;NA;NA;6;7;86;11;NA;63;12;15;13;26;122;9;279;NA;09.12.2023 15:35;1;0;11;11;0;0;0,95;39;Male
1098;short;interview;11.12.2023 17:19;2;1;4;1;1;1;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;NA;5;3;17;38;NA;5;NA;NA;NA;NA;68;NA;11.12.2023 17:20;1;0;7;7;0;0;1,34;42;Male
1220;short;interview;11.12.2023 17:27;2;2;3;1;2;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;NA;NA;NA;NA;4;5;30;28;NA;4;NA;NA;NA;NA;71;NA;11.12.2023 17:28;1;0;7;7;0;0;1,24;29;Female
588;long;interview;09.12.2023 16:18;2;2;4;2;2;2;2;1;greedfirst;sc1sc3sc4sc2random2;SC05SC09SC06SC12;Small;NA;NA;8;8;2;2;NA;NA;NA;NA;4;4;NA;NA;1;6;2;1;NA;NA;16;9;26;16;45;20;41;55;NA;6;234;NA;09.12.2023 16:22;1;0;11;11;0;0;0,95;67;Female
723;short;interview;11.12.2023 16:12;4;1;4;4;4;4;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;9;NA;NA;NA;NA;4;4;NA;42;64;4;NA;NA;NA;NA;118;NA;11.12.2023 16:14;1;0;7;7;0;0;1,11;45;Female
1003;short;interview;11.12.2023 17:09;2;2;4;2;1;1;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;NA;NA;NA;NA;NA;NA;9;7;NA;25;33;17;NA;NA;NA;NA;91;NA;11.12.2023 17:10;1;0;7;7;0;0;0,75;63;Male
702;short;interview;11.12.2023 15:58;5;4;5;4;4;4;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;NA;NA;NA;NA;6;5;16;23;NA;3;NA;NA;NA;NA;53;NA;11.12.2023 15:59;1;0;7;7;0;0;1,44;33;Female
235;long;interview;09.12.2023 15:32;3;2;1;2;2;2;1;1;greedlast;sc4sc3sc2sc1random2;SC05SC13SC06SC08;Small;NA;NA;2;5;1;2;NA;NA;1;3;NA;NA;NA;NA;4;5;NA;NA;6;6;6;4;NA;27;15;16;29;18;21;9;145;NA;09.12.2023 15:35;1;0;11;11;0;0;1,27;45;Male
1083;short;interview;11.12.2023 17:18;3;2;4;2;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;6;NA;NA;NA;NA;NA;NA;15;10;22;24;NA;4;NA;NA;NA;NA;75;NA;11.12.2023 17:19;1;0;7;7;0;0;0,99;42;Female
434;long;interview;09.12.2023 16:01;2;2;1;2;1;1;2;1;greedfirst;sc2sc1sc3sc4random2;SC13SC09SC04SC06;Large;10;6;NA;NA;1;4;NA;NA;NA;NA;6;9;1;3;NA;NA;NA;NA;9;4;6;8;40;29;32;30;28;26;NA;6;205;NA;09.12.2023 16:05;1;0;11;11;0;0;0,96;64;Female
288;long;interview;09.12.2023 15:43;4;3;5;3;3;2;1;1;greedlast;sc3sc4sc2sc1random2;SC13SC07SC04SC08;Small;10;7;NA;NA;NA;NA;3;2;3;4;NA;NA;NA;NA;3;4;NA;NA;9;6;5;3;NA;28;75;25;21;32;19;7;215;NA;09.12.2023 15:46;1;0;11;11;0;0;1,17;43;Male
930;short;interview;11.12.2023 16:57;4;3;5;4;3;4;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;26;5;NA;161;24;11;NA;NA;NA;NA;227;NA;11.12.2023 17:01;1;0;7;7;0;0;0,61;32;Female
1054;short;interview;11.12.2023 17:15;3;1;3;2;1;2;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;NA;NA;NA;NA;8;6;34;40;NA;7;NA;NA;NA;NA;95;NA;11.12.2023 17:17;1;0;7;7;0;0;0,82;56;Male
27;long;interview;09.12.2023 14:38;4;4;5;2;2;4;2;1;greedlast;sc2sc1sc3sc4random2;SC07SC09SC04SC12;Large;10;7;NA;NA;NA;NA;3;4;NA;NA;10;7;4;6;NA;NA;8;8;NA;NA;13;8;NA;32;41;33;31;31;30;28;247;NA;09.12.2023 14:43;1;0;11;11;0;0;0,71;38;Male
393;long;interview;09.12.2023 15:56;2;2;3;2;3;4;2;1;greedfirst;sc2sc4sc1sc3random2;SC13SC07SC04SC08;Small;6;6;NA;NA;NA;NA;8;7;2;2;NA;NA;NA;NA;6;4;NA;NA;4;3;12;20;42;43;28;39;26;33;NA;9;252;NA;09.12.2023 16:00;1;0;11;11;0;0;0,72;71;Male
899;short;interview;11.12.2023 16:54;4;1;3;4;4;2;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;9;9;46;30;NA;25;NA;NA;NA;NA;119;NA;11.12.2023 16:56;1;0;7;7;0;0;0,63;74;Female
713;short;interview;11.12.2023 16:07;5;2;5;2;5;5;5;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;6;NA;NA;NA;NA;4;5;16;11;NA;4;NA;NA;NA;NA;40;NA;11.12.2023 16:08;1;0;7;7;0;0;1,72;51;Male
1158;short;interview;11.12.2023 17:24;2;2;3;2;2;2;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;7;NA;NA;NA;NA;4;2;21;25;NA;3;NA;NA;NA;NA;55;NA;11.12.2023 17:25;1;0;7;7;0;0;1,75;43;Female
1073;short;interview;11.12.2023 17:17;2;1;2;4;2;2;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;7;NA;NA;NA;NA;3;7;NA;43;23;15;NA;NA;NA;NA;91;NA;11.12.2023 17:19;1;0;7;7;0;0;1,05;30;Female
936;short;interview;11.12.2023 16:58;2;1;4;2;4;2;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;8;NA;NA;NA;NA;NA;NA;9;8;53;43;NA;10;NA;NA;NA;NA;123;NA;11.12.2023 17:00;1;0;7;7;0;0;0,64;58;Male
693;short;interview;11.12.2023 15:53;3;2;4;2;2;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;NA;NA;NA;NA;5;6;40;30;NA;21;NA;NA;NA;NA;102;NA;11.12.2023 15:55;1;0;7;7;0;0;0,84;52;Female
1007;short;interview;11.12.2023 17:09;4;2;2;2;1;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;NA;NA;NA;NA;NA;NA;7;26;NA;176;29;11;NA;NA;NA;NA;101;NA;11.12.2023 17:13;1;0;7;7;0;0;0,56;59;Male
1168;short;interview;11.12.2023 17:24;4;1;3;1;1;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1;NA;NA;NA;NA;7;7;NA;82;32;18;NA;NA;NA;NA;146;NA;11.12.2023 17:27;1;0;7;7;0;0;0,64;56;Female
817;short;interview;11.12.2023 16:42;2;2;4;2;2;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;NA;NA;NA;NA;NA;NA;6;6;NA;19;18;11;NA;NA;NA;NA;60;NA;11.12.2023 16:43;1;0;7;7;0;0;1,09;63;Female
173;long;interview;09.12.2023 15:16;1;1;3;2;1;1;1;1;greedlast;sc3sc2sc4sc1random2;SC09SC05SC12SC06;Large;NA;NA;10;10;10;9;NA;NA;NA;NA;7;6;1;7;NA;NA;1;1;NA;NA;7;31;NA;20;19;17;15;36;25;19;189;NA;09.12.2023 15:19;1;0;11;11;0;0;1,03;59;Female
900;short;interview;11.12.2023 16:54;4;4;3;2;2;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;NA;NA;NA;NA;4;2;94;14;NA;7;NA;NA;NA;NA;121;NA;11.12.2023 16:56;1;0;7;7;0;0;1,48;37;Male
