id,GENDER,trait,trait_1PP,trait_3PP_sp,trait_3PP_real
47,1,2,0.618506494,5.733333333,5.8
47,1,3,0.775162338,4.766666667,3.766666667
48,1,1,0.468344156,6.1,6.4
48,1,2,0.135551948,5.033333333,5.766666667
48,1,3,0.779220779,5.733333333,5.266666667
49,1,1,0.650974026,6.7,5.666666667
49,1,2,0.314935065,6.4,6.7
49,1,3,0.828733766,5.3,3.866666667
50,1,1,0.538149351,6.433333333,4.8
50,1,2,0.479707792,5.766666667,4.666666667
50,1,3,0.99512987,4.766666667,5.766666667
51,1,1,0.599025974,6.533333333,4.9
51,1,2,0.444805195,5.733333333,5.133333333
51,1,3,0.953733766,4.9,4.533333333
52,1,1,0.619318182,6.433333333,5.233333333
52,1,2,0.120941558,5.733333333,5.566666667
52,1,3,0.960227273,5.733333333,6.066666667
53,1,1,0.5,5.166666667,5.2
53,1,2,0.310064935,4.866666667,5.1
53,1,3,0.993506494,5.633333333,5.8
54,1,1,0.522727273,4.933333333,5.6
54,1,2,0.426948052,4.7,6.1
54,1,3,0.170454545,5.3,4.9
55,1,1,0.335227273,6.433333333,4.433333333
55,1,2,0.48538961,6.1,6.133333333
55,1,3,0.844967532,5.066666667,4.233333333
56,1,1,0.554383117,5.633333333,5.933333333
56,1,2,0.745941558,5.2,5.366666667
56,1,3,1,4.633333333,5.266666667
57,1,1,0.846590909,6.5,4
57,1,2,0.849025974,5.933333333,5.133333333
57,1,3,0.953733766,5.333333333,5.1
58,1,1,0.498376623,6.5,4.2
58,1,2,0.430194805,5.933333333,5.1
58,1,3,0.468344156,5.1,5.8
59,1,1,0.653409091,5.433333333,4
59,1,2,0.566558442,5,5.033333333
59,1,3,0.756493506,5.7,3.733333333
60,2,1,0.100649351,5.2,4.2
60,2,2,0.503246753,4.833333333,4.533333333
60,2,3,0.848214286,5.866666667,6.333333333
61,1,1,0.51546073,6.633333333,3.633333333
61,1,2,0.554885591,5.633333333,5.766666667
61,1,3,0.956864564,5.133333333,3.8
62,2,1,0.668521954,5.866666667,4.6
62,2,2,0.402597403,5.466666667,5.566666667
62,2,3,0.883426098,5.633333333,5.333333333
63,2,1,0.603586889,6.033333333,3.166666667
63,2,2,0.626777984,4.966666667,4.4
63,2,3,0.80148423,5.533333333,4.4
64,2,1,0.465986395,5.5,4.2
64,2,2,0.345392703,5.6,4.266666667
64,2,3,0.842455164,5.433333333,5.433333333
65,2,1,0.694805195,4.333333333,4.433333333
65,2,2,0.436611008,4.566666667,5.666666667
65,2,3,0.892702536,4.933333333,4.466666667
66,2,1,0.630643166,6.066666667,3.466666667
66,2,2,0.19851577,6.133333333,3.633333333
66,2,3,0.704081633,5.166666667,4
67,2,1,0.550247372,6.1,3.366666667
67,2,2,0.735003092,5.4,4.1
67,2,3,0.888064317,5.5,6.466666667
68,2,1,0.445887446,5.6,4.2
68,2,2,0.665429808,5.066666667,4.3
68,2,3,0.980828695,5.7,5.6
69,2,1,0.849412492,5.366666667,4.4
69,2,2,0.636827458,4.833333333,5.233333333
69,2,3,0.890383426,5.933333333,5.033333333
70,2,1,0.637600495,4.4,3.233333333
70,2,2,0.5572047,4.4,3.6
70,2,3,0.916666667,5,4
71,2,1,0.562615955,5.8,5.033333333
71,2,2,0.668521954,5.666666667,4.633333333
71,2,3,0.85868893,5.3,6.5
72,2,1,0.555658627,6,4.466666667
72,2,2,0.911255411,5.733333333,4.766666667
72,2,3,0.618274583,5.233333333,6.4
73,2,1,0.353123067,5.9,4.3
73,2,2,0.395640074,5.333333333,4.866666667
73,2,3,0.348484848,5.933333333,5.066666667
74,2,1,0.476808905,6.033333333,3.6
74,2,2,0.436611008,5.733333333,4.633333333
74,2,3,0.694805195,5.766666667,5.1
75,2,1,0.449752628,5.4,3.2
75,2,2,0.314471243,4.5,4.133333333
75,2,3,0.773654917,5.066666667,5.2
76,2,1,0.486085343,5.6,2.866666667
76,2,2,0.537878788,4.933333333,3.966666667
76,2,3,0.380952381,5.933333333,4.9
77,2,1,0.379406308,6.033333333,3.4
77,2,2,0.683209647,5.3,3.4
77,2,3,0.922850959,5.966666667,5.266666667
78, ,1, , , 
78, ,2, , , 
78, ,3, , , 
79, ,1, , , 
79, ,2, , , 
79, ,3, , , 
80, ,1, , , 
80, ,2, , , 
80, ,3, , , 
81, ,1, , , 
81, ,2, , , 
81, ,3, , , 
82, ,1, , , 
82, ,2, , , 
82, ,3, , , 
83, ,1, , , 
83, ,2, , , 
83, ,3, , , 
84, ,1, , , 
84, ,2, , , 
84, ,3, , , 
85, ,1, , , 
85, ,2, , , 
85, ,3, , , 
86, ,1, , , 
86, ,2, , , 
86, ,3, , , 
87, ,1, , , 
87, ,2, , , 
87, ,3, , , 
88, ,1, , , 
88, ,2, , , 
88, ,3, , , 
89, ,1, , , 
89, ,2, , , 
89, ,3, , , 
90, ,1, , , 
90, ,2, , , 
90, ,3, , , 
91, ,1, , , 
91, ,2, , , 
91, ,3, , , 
92, ,1, , , 
92, ,2, , , 
92, ,3, , , 
93, ,1, , , 
93, ,2, , , 
93, ,3, , , 
94, ,1, , , 
94, ,2, , , 
94, ,3, , , 
95, ,1, , , 
95, ,2, , , 
95, ,3, , , 
96, ,1, , , 
96, ,2, , , 
96, ,3, , , 
97, ,1, , , 
97, ,2, , , 
97, ,3, , , 
98, ,1, , , 
98, ,2, , , 
98, ,3, , , 
99, ,1, , , 
99, ,2, , , 
99, ,3, , , 
100, ,1, , , 
100, ,2, , , 
100, ,3, , , 
101, ,1, , , 
101, ,2, , , 
101, ,3, , , 
102, ,1, , , 
102, ,2, , , 
102, ,3, , , 
103, ,1, , , 
103, ,2, , , 
103, ,3, , , 
104, ,1, , , 
104, ,2, , , 
104, ,3, , , 
105, ,1, , , 
105, ,2, , , 
105, ,3, , , 
106, ,1, , , 
106, ,2, , , 
106, ,3, , , 
107, ,1, , , 
107, ,2, , , 
107, ,3, , , 
108, ,1, , , 
108, ,2, , , 
108, ,3, , , 
109, ,1, , , 
109, ,2, , , 
109, ,3, , , 
110, ,1, , , 
110, ,2, , , 
110, ,3, , , 
111, ,1, , , 
111, ,2, , , 
111, ,3, , , 
