task,item,source,trial_state,score_7B-1,score_7B-2,score_7B-3,score_7B-4,score_7B-5,score_7B-6,score_7B-7,score_7B-8,score_7B-9,score_7B-10,score_7B-11,score_7B-12,score_7B-13,score_7B-14,score_7B-15,score_13B-1,score_13B-2,score_13B-3,score_13B-4,score_13B-5,score_13B-6,score_13B-7,score_13B-8,score_13B-9,score_13B-10,score_13B-11,score_13B-12,score_13B-13,score_13B-14,score_13B-15,score_70B-1,score_70B-2,score_70B-3,score_70B-4,score_70B-5,score_70B-6,score_70B-7,score_70B-8,score_70B-9,score_70B-10,score_70B-11,score_70B-12,score_70B-13,score_70B-14,score_70B-15
Faux Pas,7,old,-,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,8,old,-,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,9,old,-,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,10,old,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,11,new,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,12,new,-,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,13,new,-,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,14,new,-,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,15,new,-,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Strange Stories,1,old,-,0.5,0,0,0,0.5,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.5,0.5,0,0.5,0,0.5,1,1,0.5,0,0,1,0.5,0.5,1,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
Strange Stories,2,old,-,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5
Strange Stories,3,old,-,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,0,1,1,0.5,1,0.5,1,1,1,0.5,1,1,0.5,1,1,1,1
Strange Stories,4,old,-,0.5,0,1,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,5,old,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,6,old,-,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,7,old,-,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Strange Stories,8,old,-,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0,0,0
Strange Stories,9,new,-,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Strange Stories,10,new,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,11,new,-,0.5,1,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,12,new,-,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Irony A,1,old,I,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,
Irony A,2,old,I,0,0,0,0,0,0,0,0,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,
Irony A,3,old,N,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,0,1,1,1,0,1,1,,,,,,,
Irony A,4,old,I,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,
Irony A,5,old,I,0,1,0,0,1,1,0,0,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
Irony A,6,old,N,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,0,1,1,1,0,1,1,,,,,,,
Irony A,7,old,I,0,0,0,0,0,0,0,0,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
Irony A,8,old,N,0,0,1,1,1,1,0,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
Irony A,9,old,N,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
Irony A,10,old,N,1,1,0,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
Irony A,11,old,I,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
Irony A,12,old,N,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,0,1,1,1,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
Irony B,1,old,N,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,1,1,1,1,1,1,1
Irony B,2,old,N,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
Irony B,3,old,I,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,1,0,1,1,1,0,1,,,,,,,,,0,0,0,0,0,0,0
Irony B,4,old,N,,,,,,,,,1,0,1,1,1,1,1,,,,,,,,,0,1,1,1,1,0,1,,,,,,,,,1,1,1,1,1,1,1
Irony B,5,old,N,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
Irony B,6,old,I,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,1,0,1,0,0,0,0,,,,,,,,,1,1,0,1,1,1,1
Irony B,7,old,N,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1
Irony B,8,old,I,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,1,1,0,1,1,1,1
Irony B,9,old,I,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,1,1,1,0,0,1,1,,,,,,,,,1,1,0,1,1,1,1
Irony B,10,old,I,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,1,1,0,1,1,1,1
Irony B,11,old,N,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,0,0,1,0,0,0,0
Irony B,12,old,I,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,1,1,0,1,1,1,1
