"climate","romantic","Temperature","Temperature_log"
"温带","2",36.25,3.59043938130068
"寒温带","1",36.4,3.5945687746427
"温带","1",36.45,3.59594145845467
"寒温带","1",36.49,3.59703825044836
"温带","2",36.7,3.60277675506052
"寒温带","2",36.7,3.60277675506052
"温带","2",36.75,3.60413822565885
"寒温带","1",36.75,3.60413822565885
"寒温带","1",37.1,3.61361696961339
"寒温带","1",37.3,3.61899332664977
"寒温带","1",35.35,3.56529839234258
"寒温带","2",36.15,3.58767694860477
"温带","2",36.25,3.59043938130068
"寒温带","1",36.35,3.59319420397953
"热带","1",36.45,3.59594145845467
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.55,3.59868118619579
"寒温带","1",36.55,3.59868118619579
"温带","2",36.65,3.60141342833266
"热带","1",36.65,3.60141342833266
"寒温带","1",36.75,3.60413822565885
"寒温带","2",37.05,3.6122683517421
"寒温带","1",37.1,3.61361696961339
"寒温带","1",36,3.58351893845611
"热带","2",36.11111111,3.58660060496275
"温带","2",36.24,3.59016348117478
"热带","1",36.3,3.5918177412708
"寒温带","1",36.45,3.59594145845467
"寒温带","1",36.55,3.59868118619579
"寒温带","2",36.55,3.59868118619579
"寒温带","2",36.65,3.60141342833266
"寒温带","1",37.75,3.63098547569503
"寒温带","2",35.4,3.56671182013973
"温带","1",35.7,3.57515068878559
"温带","2",36,3.58351893845611
"寒温带","1",36.215,3.58947339764729
"寒温带","1",36.45,3.59594145845467
"寒温带","2",36.6,3.60004824040732
"温带","1",36.6,3.60004824040732
"寒温带","1",36.7,3.60277675506052
"热带","1",36.8,3.60549784517489
"寒温带","1",37.1,3.61361696961339
"寒温带","1",35.95,3.58212908416706
"寒温带","1",36,3.58351893845611
"寒温带","1",36.1,3.58629286533884
"热带","1",36.15,3.58767694860477
"热带","1",36.25,3.59043938130068
"寒温带","1",36.3,3.5918177412708
"温带","2",36.45,3.59594145845467
"温带","1",36.45,3.59594145845467
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.55,3.59868118619579
"温带","1",36.55,3.59868118619579
"热带","1",36.75,3.60413822565885
"寒温带","1",37.1,3.61361696961339
"寒温带","2",35.65,3.57374914686031
"寒温带","1",35.75,3.57655026914002
"温带","1",36.055,3.58504555036872
"温带","1",36.1,3.58629286533884
"寒温带","1",36.15,3.58767694860477
"寒温带","1",36.25,3.59043938130068
"温带","2",36.25,3.59043938130068
"寒温带","2",36.25,3.59043938130068
"温带","1",36.388888885,3.59426347763222
"寒温带","1",36.4,3.5945687746427
"寒温带","1",36.445,3.59580427483418
"寒温带","2",36.45,3.59594145845467
"温带","1",36.55,3.59868118619579
"热带","1",36.6,3.60004824040732
"温带","1",36.65,3.60141342833266
"寒温带","1",36.65,3.60141342833266
"温带","1",36.95,3.60956564739421
"寒温带","1",35.4,3.56671182013973
"温带","2",35.75,3.57655026914002
"寒温带","1",35.8,3.57794789340665
"寒温带","1",36.5,3.59731226058845
"温带","2",36.583333335,3.59959276333273
"温带","1",36.7,3.60277675506052
"寒温带","1",36.74,3.60386607978698
"温带","2",36.8,3.60549784517489
"温带","1",36.888888885,3.60791039147485
"温带","2",37,3.61091791264422
"寒温带","1",37.14,3.61469455592456
"寒温带","1",35.5,3.56953269648137
"寒温带","1",35.6,3.57234563785798
"温带","2",35.65,3.57374914686031
"寒温带","1",35.95,3.58212908416706
"寒温带","1",36,3.58351893845611
"温带","1",36,3.58351893845611
"寒温带","1",36.05,3.58490686373096
"热带","1",36.05,3.58490686373096
"寒温带","1",36.2,3.58905911883173
"寒温带","1",36.2,3.58905911883173
"热带","1",36.45,3.59594145845467
"热带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"温带","1",36.58333333,3.59959276319606
"寒温带","2",36.65,3.60141342833266
"温带","1",36.666666665,3.60186807707885
"寒温带","1",36.7,3.60277675506052
"温带","2",36.7,3.60277675506052
"寒温带","2",36.8,3.60549784517489
"寒温带","1",35.55,3.57094015624925
"寒温带","1",35.7,3.57515068878559
"寒温带","1",35.7,3.57515068878559
"寒温带","1",35.8,3.57794789340665
"寒温带","2",36,3.58351893845611
"寒温带","1",36.05,3.58490686373096
"寒温带","2",36.1,3.58629286533884
"温带","1",36.15,3.58767694860477
"寒温带","1",36.3,3.5918177412708
"温带","1",36.3,3.5918177412708
"寒温带","1",36.4,3.5945687746427
"温带","1",36.4,3.5945687746427
"温带","1",36.45,3.59594145845467
"温带","1",36.495,3.5971752649036
"温带","2",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"寒温带","2",36.55,3.59868118619579
"温带","2",36.55,3.59868118619579
"温带","1",36.6,3.60004824040732
"温带","1",36.65,3.60141342833266
"温带","1",36.7,3.60277675506052
"寒温带","1",36.95,3.60956564739421
"寒温带","1",35.4,3.56671182013973
"温带","2",35.95,3.58212908416706
"热带","1",36.05,3.58490686373096
"温带","1",36.05,3.58490686373096
"寒温带","1",36.2,3.58905911883173
"温带","1",36.25,3.59043938130068
"温带","2",36.25,3.59043938130068
"温带","1",36.3,3.5918177412708
"寒温带","1",36.4,3.5945687746427
"寒温带","1",36.4,3.5945687746427
"寒温带","1",36.4,3.5945687746427
"寒温带","2",36.415,3.59498077766988
"温带","1",36.45,3.59594145845467
"温带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"温带","1",36.55,3.59868118619579
"寒温带","1",36.6,3.60004824040732
"寒温带","1",36.75,3.60413822565885
"温带","1",36.75,3.60413822565885
"温带","1",36.8,3.60549784517489
"温带","2",37.15,3.61496377116377
"温带","1",37.15,3.61496377116377
"温带","2",37.2,3.6163087612791
"寒温带","1",38.1,3.64021428213266
"寒温带","1",35.4,3.56671182013973
"寒温带","1",35.4,3.56671182013973
"温带","2",35.65,3.57374914686031
"寒温带","1",35.65,3.57374914686031
"温带","2",35.7,3.57515068878559
"寒温带","2",35.8,3.57794789340665
"寒温带","2",35.85,3.57934356704563
"寒温带","2",35.95,3.58212908416706
"寒温带","1",35.95,3.58212908416706
"寒温带","2",36,3.58351893845611
"热带","1",36,3.58351893845611
"温带","2",36.05,3.58490686373096
"寒温带","1",36.05,3.58490686373096
"寒温带","1",36.05,3.58490686373096
"温带","2",36.08333333,3.58583107812211
"寒温带","1",36.1,3.58629286533884
"寒温带","1",36.12,3.58684672854878
"热带","2",36.25,3.59043938130068
"温带","1",36.3,3.5918177412708
"热带","1",36.35,3.59319420397953
"温带","1",36.4,3.5945687746427
"寒温带","1",36.41,3.59484346218734
"寒温带","2",36.425,3.59525535208127
"温带","1",36.444444445,3.59578903106317
"温带","1",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"温带","2",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"温带","2",36.55,3.59868118619579
"寒温带","1",36.65,3.60141342833266
"温带","1",36.7,3.60277675506052
"温带","1",36.805555555,3.60564879994912
"寒温带","2",35.1,3.55820113047182
"寒温带","1",35.15,3.55962461825667
"热带","1",35.15,3.55962461825667
"温带","1",35.25,3.56246552925828
"温带","2",35.333333335,3.56482680549113
"温带","1",35.6,3.57234563785798
"寒温带","1",35.6,3.57234563785798
"寒温带","2",35.7,3.57515068878559
"温带","1",35.75,3.57655026914002
"热带","2",35.8,3.57794789340665
"温带","1",35.85,3.57934356704563
"寒温带","2",35.9,3.58073729549423
"寒温带","1",35.9,3.58073729549423
"寒温带","1",35.9,3.58073729549423
"温带","2",35.9,3.58073729549423
"温带","2",35.91,3.58101580823799
"寒温带","1",35.95,3.58212908416706
"寒温带","2",35.95,3.58212908416706
"温带","2",36.05,3.58490686373096
"温带","2",36.05555556,3.58506095893119
"寒温带","2",36.1,3.58629286533884
"温带","2",36.1,3.58629286533884
"温带","1",36.15,3.58767694860477
"寒温带","2",36.15,3.58767694860477
"温带","1",36.15,3.58767694860477
"寒温带","1",36.2,3.58905911883173
"寒温带","1",36.2,3.58905911883173
"寒温带","1",36.2,3.58905911883173
"寒温带","1",36.2,3.58905911883173
"温带","1",36.2,3.58905911883173
"寒温带","1",36.25,3.59043938130068
"温带","1",36.3,3.5918177412708
"温带","1",36.335,3.5927814640686
"热带","1",36.35,3.59319420397953
"温带","1",36.4,3.5945687746427
"温带","1",36.4,3.5945687746427
"温带","2",36.4,3.5945687746427
"温带","1",36.444444445,3.59578903106317
"寒温带","2",36.45,3.59594145845467
"温带","1",36.45,3.59594145845467
"寒温带","1",36.45,3.59594145845467
"热带","2",36.45,3.59594145845467
"温带","1",36.5,3.59731226058845
"热带","1",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"热带","1",36.5,3.59731226058845
"温带","2",36.5,3.59731226058845
"温带","2",36.55,3.59868118619579
"寒温带","1",36.55,3.59868118619579
"温带","1",36.555555555,3.59883317341395
"寒温带","1",36.6,3.60004824040732
"寒温带","1",36.6,3.60004824040732
"温带","1",36.65,3.60141342833266
"热带","2",36.65,3.60141342833266
"寒温带","1",36.7,3.60277675506052
"温带","1",36.75,3.60413822565885
"温带","1",36.75,3.60413822565885
"温带","1",36.76,3.60441029748749
"温带","1",36.8,3.60549784517489
"热带","1",36.8,3.60549784517489
"温带","1",36.83333333,3.6064032321992
"温带","2",36.85,3.60685561863535
"热带","1",36.85,3.60685561863535
"温带","1",36.85,3.60685561863535
"寒温带","2",36.88,3.60766939868839
"热带","2",36.9,3.60821155104648
"热带","2",36.9,3.60821155104648
"热带","1",36.9,3.60821155104648
"寒温带","2",36.93,3.60902422886447
"温带","1",37,3.61091791264422
"寒温带","1",37,3.61091791264422
"寒温带","1",35.05,3.5567756134806
"寒温带","2",35.4,3.56671182013973
"温带","2",35.45,3.56812325297814
"寒温带","1",35.45,3.56812325297814
"寒温带","2",35.6,3.57234563785798
"温带","2",35.65,3.57374914686031
"热带","1",35.65,3.57374914686031
"热带","1",35.7,3.57515068878559
"温带","2",35.716666665,3.57561743320481
"寒温带","1",35.8,3.57794789340665
"温带","1",35.805555555,3.57810306446756
"寒温带","2",35.85,3.57934356704563
"温带","1",35.944444445,3.58197453662019
"温带","2",35.95,3.58212908416706
"寒温带","1",36,3.58351893845611
"温带","2",36.1,3.58629286533884
"温带","1",36.13888889,3.58736954008714
"寒温带","2",36.15,3.58767694860477
"寒温带","1",36.15,3.58767694860477
"寒温带","2",36.2,3.58905911883173
"寒温带","2",36.25,3.59043938130068
"温带","1",36.25,3.59043938130068
"温带","2",36.28,3.59126662524694
"温带","2",36.3,3.5918177412708
"温带","1",36.3,3.5918177412708
"热带","1",36.3,3.5918177412708
"寒温带","1",36.3,3.5918177412708
"寒温带","1",36.3,3.5918177412708
"寒温带","1",36.3,3.5918177412708
"热带","2",36.3,3.5918177412708
"温带","1",36.315,3.59223087905813
"温带","1",36.345,3.5930566429366
"温带","2",36.35,3.59319420397953
"热带","1",36.35,3.59319420397953
"寒温带","2",36.35,3.59319420397953
"寒温带","2",36.35,3.59319420397953
"温带","1",36.38888889,3.59426347776962
"温带","1",36.4,3.5945687746427
"寒温带","1",36.4,3.5945687746427
"热带","1",36.4,3.5945687746427
"温带","1",36.416666665,3.59502654526182
"温带","2",36.444444445,3.59578903106317
"热带","2",36.45,3.59594145845467
"热带","2",36.45,3.59594145845467
"寒温带","1",36.45,3.59594145845467
"温带","2",36.47222222,3.59655093578576
"温带","1",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"热带","1",36.5,3.59731226058845
"寒温带","2",36.55,3.59868118619579
"温带","1",36.55,3.59868118619579
"热带","1",36.555555555,3.59883317341395
"温带","1",36.59,3.59977497903112
"温带","2",36.6,3.60004824040732
"寒温带","1",36.6,3.60004824040732
"寒温带","1",36.615,3.60045799251303
"温带","2",36.65,3.60141342833266
"寒温带","2",36.65,3.60141342833266
"温带","1",36.65,3.60141342833266
"寒温带","1",36.65,3.60141342833266
"温带","2",36.694444445,3.60262536608136
"寒温带","1",36.7,3.60277675506052
"寒温带","2",36.7,3.60277675506052
"寒温带","2",36.735,3.60372997907224
"温带","1",36.75,3.60413822565885
"温带","1",36.75,3.60413822565885
"温带","2",36.77777778,3.60489379810127
"温带","1",36.8,3.60549784517489
"温带","2",36.8,3.60549784517489
"温带","1",36.88888889,3.60791039161039
"寒温带","1",36.9,3.60821155104648
"温带","1",36.91666667,3.60866312034743
"温带","1",36.91666667,3.60866312034743
"寒温带","1",36.935,3.6091596109807
"温带","1",37.05555556,3.6124182881394
"寒温带","2",37.06,3.61253822085721
"寒温带","2",37.15,3.61496377116377
"寒温带","1",38,3.63758615972639
"寒温带","1",35.15,3.55962461825667
"温带","2",35.3,3.56388296393925
"寒温带","2",35.5,3.56953269648137
"寒温带","1",35.55,3.57094015624925
"温带","1",35.6,3.57234563785798
"温带","1",35.6,3.57234563785798
"热带","1",35.6,3.57234563785798
"热带","1",35.6,3.57234563785798
"温带","1",35.65,3.57374914686031
"热带","2",35.7,3.57515068878559
"热带","1",35.7,3.57515068878559
"温带","2",35.72222222,3.57577296627925
"温带","1",35.75,3.57655026914002
"寒温带","1",35.75,3.57655026914002
"温带","1",35.8,3.57794789340665
"热带","1",35.8,3.57794789340665
"温带","1",35.833333335,3.57887855894612
"温带","2",35.85,3.57934356704563
"温带","2",35.85,3.57934356704563
"热带","2",35.9,3.58073729549423
"温带","2",35.944444445,3.58197453662019
"温带","1",35.95,3.58212908416706
"寒温带","2",35.95,3.58212908416706
"热带","1",35.95,3.58212908416706
"温带","1",36,3.58351893845611
"温带","2",36,3.58351893845611
"寒温带","1",36,3.58351893845611
"温带","1",36.02777778,3.58429024592201
"热带","1",36.05,3.58490686373096
"温带","1",36.05,3.58490686373096
"温带","2",36.05,3.58490686373096
"温带","1",36.055555555,3.58506095879252
"温带","2",36.083333335,3.58583107826068
"温带","2",36.1,3.58629286533884
"热带","1",36.1,3.58629286533884
"热带","1",36.1,3.58629286533884
"热带","1",36.1,3.58629286533884
"寒温带","2",36.15,3.58767694860477
"寒温带","2",36.15,3.58767694860477
"寒温带","1",36.15,3.58767694860477
"热带","1",36.15,3.58767694860477
"温带","2",36.15,3.58767694860477
"温带","1",36.16666667,3.58813788440457
"温带","2",36.2,3.58905911883173
"温带","2",36.2,3.58905911883173
"温带","2",36.2,3.58905911883173
"温带","1",36.25,3.59043938130068
"热带","1",36.25,3.59043938130068
"热带","2",36.25,3.59043938130068
"温带","2",36.3,3.5918177412708
"温带","1",36.3,3.5918177412708
"热带","2",36.3,3.5918177412708
"热带","2",36.3,3.5918177412708
"热带","2",36.3,3.5918177412708
"热带","2",36.3,3.5918177412708
"温带","1",36.305555555,3.59197077515281
"温带","1",36.333333335,3.59273559360691
"热带","2",36.35,3.59319420397953
"热带","1",36.35,3.59319420397953
"温带","2",36.35,3.59319420397953
"温带","2",36.36111111,3.59349982742323
"温带","2",36.36111111,3.59349982742323
"寒温带","2",36.4,3.5945687746427
"热带","1",36.4,3.5945687746427
"热带","1",36.4,3.5945687746427
"热带","2",36.4,3.5945687746427
"温带","1",36.4,3.5945687746427
"热带","2",36.4,3.5945687746427
"温带","1",36.44444444,3.59578903092597
"寒温带","2",36.45,3.59594145845467
"热带","1",36.45,3.59594145845467
"温带","2",36.45,3.59594145845467
"热带","2",36.45,3.59594145845467
"寒温带","2",36.45,3.59594145845467
"温带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"热带","2",36.5,3.59731226058845
"温带","2",36.5,3.59731226058845
"温带","1",36.55,3.59868118619579
"温带","1",36.55,3.59868118619579
"温带","2",36.583333335,3.59959276333273
"寒温带","1",36.6,3.60004824040732
"热带","1",36.6,3.60004824040732
"寒温带","1",36.6,3.60004824040732
"热带","1",36.6,3.60004824040732
"寒温带","1",36.6,3.60004824040732
"热带","1",36.6,3.60004824040732
"温带","1",36.6,3.60004824040732
"热带","1",36.6,3.60004824040732
"温带","1",36.61111111,3.60035177657599
"温带","1",36.638888885,3.60111021415506
"温带","1",36.65,3.60141342833266
"热带","1",36.65,3.60141342833266
"热带","1",36.65,3.60141342833266
"温带","2",36.65,3.60141342833266
"热带","1",36.65,3.60141342833266
"温带","1",36.694444445,3.60262536608136
"热带","1",36.7,3.60277675506052
"热带","1",36.7,3.60277675506052
"寒温带","2",36.7,3.60277675506052
"温带","1",36.7,3.60277675506052
"温带","2",36.7,3.60277675506052
"寒温带","1",36.7,3.60277675506052
"温带","2",36.75,3.60413822565885
"热带","1",36.8,3.60549784517489
"温带","2",36.8,3.60549784517489
"热带","2",36.8,3.60549784517489
"热带","2",36.85,3.60685561863535
"热带","2",36.85,3.60685561863535
"热带","2",36.85,3.60685561863535
"寒温带","2",36.9,3.60821155104648
"寒温带","2",36.9,3.60821155104648
"寒温带","1",36.95,3.60956564739421
"热带","2",36.95,3.60956564739421
"温带","2",37,3.61091791264422
"温带","1",37,3.61091791264422
"热带","1",37.05,3.6122683517421
"热带","2",37.1,3.61361696961339
"温带","2",37.11111111,3.61391641561054
"温带","1",37.333333335,3.61988658267163
"寒温带","2",35.25,3.56246552925828
"寒温带","1",35.3,3.56388296393925
"温带","1",35.35,3.56529839234258
"热带","1",35.35,3.56529839234258
"寒温带","2",35.5,3.56953269648137
"温带","1",35.5,3.56953269648137
"寒温带","2",35.55,3.57094015624925
"寒温带","2",35.6,3.57234563785798
"温带","2",35.65,3.57374914686031
"寒温带","1",35.65,3.57374914686031
"寒温带","2",35.65,3.57374914686031
"温带","1",35.666666665,3.57421654574707
"寒温带","2",35.7,3.57515068878559
"寒温带","2",35.7,3.57515068878559
"温带","1",35.75,3.57655026914002
"寒温带","2",35.75,3.57655026914002
"温带","1",35.75,3.57655026914002
"寒温带","2",35.8,3.57794789340665
"寒温带","1",35.8,3.57794789340665
"温带","1",35.83333333,3.57887855880658
"温带","1",35.833333335,3.57887855894612
"寒温带","1",35.85,3.57934356704563
"温带","1",35.85,3.57934356704563
"热带","1",35.85,3.57934356704563
"温带","1",35.85,3.57934356704563
"温带","1",35.86,3.57962246817699
"温带","1",35.861111115,3.57965345249898
"寒温带","2",35.9,3.58073729549423
"寒温带","2",35.9,3.58073729549423
"温带","2",35.9,3.58073729549423
"热带","1",35.9,3.58073729549423
"温带","2",35.95,3.58212908416706
"热带","2",35.95,3.58212908416706
"温带","1",35.95,3.58212908416706
"温带","1",35.97222222,3.58274703561575
"温带","2",36,3.58351893845611
"温带","1",36,3.58351893845611
"温带","1",36.02777778,3.58429024592201
"温带","2",36.05,3.58490686373096
"热带","2",36.05,3.58490686373096
"温带","2",36.05,3.58490686373096
"寒温带","1",36.05,3.58490686373096
"温带","1",36.05,3.58490686373096
"寒温带","2",36.1,3.58629286533884
"寒温带","1",36.1,3.58629286533884
"温带","2",36.1,3.58629286533884
"温带","2",36.1,3.58629286533884
"温带","2",36.1,3.58629286533884
"寒温带","2",36.1,3.58629286533884
"热带","2",36.1,3.58629286533884
"热带","2",36.1,3.58629286533884
"热带","2",36.15,3.58767694860477
"寒温带","2",36.15,3.58767694860477
"热带","2",36.15,3.58767694860477
"温带","2",36.15,3.58767694860477
"温带","1",36.15,3.58767694860477
"温带","2",36.16777778,3.58816860586814
"温带","2",36.18611111,3.5886753742167
"温带","1",36.194444445,3.58890563868408
"寒温带","2",36.2,3.58905911883173
"温带","2",36.2,3.58905911883173
"温带","1",36.2,3.58905911883173
"温带","1",36.2,3.58905911883173
"热带","1",36.2,3.58905911883173
"温带","1",36.2,3.58905911883173
"热带","1",36.222222225,3.58967280410718
"温带","2",36.25,3.59043938130068
"温带","2",36.25,3.59043938130068
"寒温带","2",36.25,3.59043938130068
"寒温带","1",36.25,3.59043938130068
"温带","2",36.25,3.59043938130068
"温带","1",36.25,3.59043938130068
"热带","2",36.25,3.59043938130068
"温带","1",36.277777775,3.5912053713037
"温带","2",36.277777775,3.5912053713037
"温带","2",36.28,3.59126662524694
"温带","2",36.3,3.5918177412708
"温带","1",36.3,3.5918177412708
"寒温带","1",36.3,3.5918177412708
"温带","1",36.305555555,3.59197077515281
"温带","2",36.33333333,3.59273559346929
"温带","1",36.33333333,3.59273559346929
"热带","2",36.35,3.59319420397953
"热带","1",36.35,3.59319420397953
"热带","2",36.35,3.59319420397953
"温带","1",36.35,3.59319420397953
"热带","1",36.35,3.59319420397953
"温带","1",36.36111111,3.59349982742323
"寒温带","1",36.37,3.5937442589989
"温带","1",36.388888885,3.59426347763222
"温带","2",36.4,3.5945687746427
"热带","2",36.4,3.5945687746427
"寒温带","2",36.4,3.5945687746427
"温带","1",36.444444445,3.59578903106317
"温带","2",36.444444445,3.59578903106317
"寒温带","2",36.45,3.59594145845467
"寒温带","2",36.45,3.59594145845467
"热带","2",36.45,3.59594145845467
"温带","2",36.45,3.59594145845467
"热带","2",36.45,3.59594145845467
"热带","1",36.45,3.59594145845467
"寒温带","2",36.45,3.59594145845467
"温带","1",36.47222222,3.59655093578576
"温带","1",36.47222222,3.59655093578576
"温带","2",36.5,3.59731226058845
"热带","2",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"热带","2",36.5,3.59731226058845
"热带","2",36.5,3.59731226058845
"温带","2",36.5,3.59731226058845
"热带","2",36.5,3.59731226058845
"热带","1",36.5,3.59731226058845
"温带","2",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"热带","2",36.527777775,3.59807300607971
"温带","2",36.527777775,3.59807300607971
"温带","1",36.55,3.59868118619579
"温带","2",36.55,3.59868118619579
"寒温带","1",36.55,3.59868118619579
"热带","1",36.55,3.59868118619579
"温带","1",36.55,3.59868118619579
"温带","2",36.55,3.59868118619579
"温带","1",36.55,3.59868118619579
"寒温带","1",36.55,3.59868118619579
"热带","1",36.55,3.59868118619579
"寒温带","1",36.57,3.59922823216129
"热带","2",36.6,3.60004824040732
"温带","2",36.6,3.60004824040732
"温带","1",36.6,3.60004824040732
"寒温带","2",36.6,3.60004824040732
"寒温带","1",36.6,3.60004824040732
"温带","2",36.6,3.60004824040732
"热带","2",36.6,3.60004824040732
"寒温带","2",36.6,3.60004824040732
"热带","2",36.6,3.60004824040732
"温带","1",36.6,3.60004824040732
"热带","1",36.6,3.60004824040732
"温带","1",36.61111111,3.60035177657599
"温带","1",36.61111111,3.60035177657599
"热带","1",36.638888885,3.60111021415506
"温带","1",36.63888889,3.60111021429153
"热带","2",36.65,3.60141342833266
"热带","2",36.65,3.60141342833266
"热带","2",36.65,3.60141342833266
