PublicationDate,Source,Coder_1,Coder_2,TieBreaker,ArticleTitle
"Feb 13, 2020",Los Angeles Times,0,0,0,Lack of ball movement hurt Clippers in loss; L.A. played well but relied too much on isolation plays against Philadelphia.
"Feb 27, 2020",Wall Street Journal (Online),0,0,0,"How to Get a Winter Stew Just Right; Oxtail brings incredible richness to these recipes and it's all but impossible to get wrong. In fact, the best thing you can do with this cut is leave it alone for a good long time."
"Mar 5, 2020",The Washington Post,0,0,0,"If virus arrives, N. Korea's isolation is a possible buffer but also a worry"
"Mar 6, 2020",Chicago Tribune,0,0,0,Illinois sees 5th case of virus: Man in isolation at Rush after traveling to O'Hare from Italy
"Mar 11, 2020",Chicago Tribune,0,0,0,Law would limit isolations: Proposal honors ex-inmate held in solitary for decades
"Mar 13, 2020",Wall Street Journal (Online),0,0,0,Mysteries: The Adventure of the Solitary Cyclist; An ER doctor doubts the official explanation given for the death of her boyfriend.
"Mar 13, 2020",Wall Street Journal (Online),0,0,0,Canadian Prime Minister Justin Trudeau's Wife Tests Positive for Coronavirus; Sophie Grégoire Trudeau was tested after having flulike symptoms; prime minister plans to be in isolation for 14 days
"Mar 15, 2020",Wall Street Journal (Online),0,0,0,"Olympic Training Under Lockdown: 'A Duty to Stay Home'; In Italy, athletes practice in isolation for Games that might not happen. U.S. Olympians are next."
"Mar 16, 2020",Los Angeles Times,0,0,0,"CORONAVIRUS; South Korea leads way in coronavirus; Earlier detection, isolation and treatment result in a lower mortality rate."
"Mar 17, 2020",Los Angeles Times,0,0,0,NHL adjusts for a longer season hiatus; Players must extend self-isolation but can go home; travel and restart dates are issues.
"Mar 18, 2020",Newsday,0,0,0,From Milan to self-isolation in Queens: Astoria traveler a recent witness to coronavirus shortcomings at airports
"Mar 20, 2020",Wall Street Journal (Online),0,0,0,"Senate Democrats Call for More Sanctions on Russian Businessman, Citing Election Meddling; Five U.S. senators urge the EU to step up economic pressure and isolation of Yevgeny Prigozhin"
"Mar 22, 2020",Wall Street Journal (Online),0,0,0,Germany Readies Emergency Budget as Merkel Enters Self-Isolation; Chancellor to conduct business from home after exposure to infected doctor; plan under discussion would trigger country's first budget deficit since 2014
"Mar 22, 2020",Chicago Tribune,0,0,0,Hamilton in self-isolation after charity event
"Mar 27, 2020",NewsDay,0,0,0,"NSW police fine woman $1,000 for twice defying coronavirus self-isolation orders"
"Mar 28, 2020",Star Tribune,0,0,0,"NEW BOUNDARIES: ISOLATION IS HARDER TO EMBRACE FOR MINNESOTA UNITED'S INTERNATIONAL PLAYERS, WHOSE FAMILIES ARE THOUSANDS OF MILES AWAY."
"Mar 30, 2020",Wall Street Journal (Online),0,0,0,The Staying Inside Guide: Cozying Up to Film Noir Across the Spectrum; 'The Lady From Shanghai' and 'Leave Her to Heaven' are ideal isolation viewing.
"Mar 31, 2020",NewsDay,0,0,0,"NSSA turns hotel, Ekusileni into COVID-19 isolation centres"
"Apr 11, 2020",Star Tribune,0,0,0,"Suter on 'emotional roller coaster': As he copes with isolation he craves more hockey, for himself and Wild fans."
"Apr 14, 2020",Chicago Tribune,0,0,0,Chicago opens 100-bed isolation area for homeless
"Apr 21, 2020",Los Angeles Times,0,0,0,"SPORTS; Not so easy for NBA to run an isolation play; If one member gets virus after reopening, whole bubble could burst, experts warn."
"Apr 23, 2020",NewsDay,0,0,0,Zim COVID-19 isolation centres leave a lot to be desired
"Apr 27, 2020",NewsDay,0,0,0,US$3m for Chitown COVID-19 isolation centre
"May 4, 2020",Wall Street Journal (Online),0,0,0,Hospital Air Expert Is an Essential Worker You Won't See; Jennifer Lohr worked 24-hour shifts turning Philadelphia hospital rooms into isolation units for Covid-19 patients. Now she sees hope.
"May 5, 2020",Los Angeles Times,0,0,0,"SPORTS; DON SHULA, 1930-2020; Like his '72 Dolphins, he stands alone; The NFL's all-time leader in wins guided Miami to the only undefeated season."
"May 14, 2020",Wall Street Journal (Online),0,0,0,Oil Demand Mounts Comeback as Coronavirus Restrictions Ease; Some consumers are buying more gasoline as they shun mass transit and opt for the isolation of cars
"May 23, 2020",New York Times,0,0,0,Britain Orders 14 Days of Isolation Upon Arrival to Curb Second Wave: [Foreign Desk]
"May 27, 2020",NewsDay,0,0,0,118 returnees flee isolation
"Jun 2, 2020",NewsDay,0,0,0,"Border jumpers nabbed, sent to isolation centre"
"Jun 4, 2020",NewsDay,0,0,0,Court orders improvements at isolation centres
"Jun 4, 2020",Wall Street Journal (Online),0,0,0,"China and Singapore's Air-Travel Experiment: A 'Fast Lane' With Lots of Waiting; Rules for travel now include coronavirus tests before departure and on arrival, as well as some isolation"
"Jun 24, 2020",NewsDay,0,0,0,197 Mpilo workers still on self-isolation
"Jun 25, 2020",Wall Street Journal (Online),0,0,0,"Mexico City Tames Covid-19 in One of World's Largest Food Markets; Authorities use testing, contact tracing and isolation to reduce the number of coronavirus cases"
"Jun 25, 2020",NewsDay,0,0,0,Gweru isolation hospital ready to receive COVID-19 patients
"Jun 29, 2020",Wall Street Journal (Online),0,0,0,"De Blasio Vows to End Solitary Confinement in New York City Jails; Four-person working group will draft recommendations to eradicate the practice, which will be voted on this fall"
"Jun 30, 2020",Star Tribune,0,0,0,SOLITARY CONFINES: NATURAL RHYTHMS OF BASEBALL WILL ALL CHANGE WHEN MLB PLAYERS RETURN TO WORK THIS WEEK.
"Jul 22, 2020",New York Times,0,0,0,COVID-19 Patients No Longer Need Tests to End Isolation [With graphic(s)]
"Jul 22, 2020",The Washington Post,0,0,0,"Infected people can exit isolation after 10 days, without retest, CDC says"
"Jul 25, 2020",The Washington Post,0,0,0,Bowser to order 14-day isolation
"Aug 15, 2020",Star Tribune,0,0,0,Minn. to college students: 'Lay low': Officials urge informal two-week isolation before returning to campus.
"Aug 15, 2020",Los Angeles Times,0,0,0,"NBA; CLIPPERS 107, OKLAHOMA CITY 103 (OT); Harrell will quarantine longer; Center is expected to be cleared in time for playoff opener but 7-day isolation could affect preparation."
"Aug 20, 2020",Wall Street Journal (Online),0,0,0,"U.S. Risks Diplomatic Isolation With Bid to Reimpose U.N. Sanctions on Iran; China, Russia, others say U.S. lacks authority to 'snap back' sanctions after leaving nuclear accord"
"Aug 26, 2020",Chicago Tribune,0,0,0,"S. Dakota added to quarantine list for city: Self-isolation no longer mandatory for Arizona, N.C."
"Sep 12, 2020",NewsDay,0,0,0,Shot in arm for Masvingo COVID-19 isolation centre
"Oct 5, 2020",USA TODAY,0,0,0,Pence's lack of isolation raises questions of risk
"Oct 5, 2020",Wall Street Journal (Online),0,0,0,Trump Exits Walter Reed Isolation in SUV to Greet Supporters; President's brief drive departs from government health guidelines for Covid patients to remain isolated
"Oct 8, 2020",Los Angeles Times,0,0,0,"Outbreak empties out White House; president tweets; Rejecting isolation, Trump records video message, spends time in Oval Office."
"Oct 12, 2020",New York Times,0,0,0,"As NYC Jails Become More Violent, Solitary Confinement Persists"
"Oct 14, 2020",New York Times,0,0,0,"Ronaldo Has Positive Test, Putting Him In Isolation: [Sports Desk]"
"Oct 14, 2020",Los Angeles Times,0,0,0,"LOS ANGELES LAKERS NBA CHAMPIONS | 2020 :: 2010 :: 2009 :: 2002 :: 2001 :: 2000 :: 1988 :: 1987 :: 1985 :: 1982 :: 1980 :: 1972 :: 1954 :: 1953 :: 1952 :: 1950 :: 1949; Bubble wasn't all fun, games; NBA's isolation zone wore on players, coaches and officials -- even the champions"
"Oct 23, 2020",Wall Street Journal (Online),0,0,0,Key Raiders Players Face Covid-19 Isolation Before Their Big Game; The NFL moved Las Vegas's Week 7 game against Tampa Bay off of prime time in case the matchup is postponed with the Raiders' starting offensive linemen in quarantine
"Nov 15, 2020",Star Tribune,0,0,0,"Lost voice breaks camp's solitude: On a northern Minnesota plot long on tradition, hunters help a man gone astray."
"Dec 1, 2020",Wall Street Journal (Online),0,0,0,"CDC Plans to Recommend Shorter Quarantine for People Exposed to Covid-19; Agency Chief Robert Redfield to counsel seven- to 10-day isolation in place of 14-day period now recommended, administration official says"
"Dec 8, 2020",Wall Street Journal (Online),0,0,0,New York City Council Eyes Bill to End Solitary Confinement; Bill to end the controversial practice in city jails is set to be introduced this week
"Dec 10, 2020",Wall Street Journal (Online),0,0,0,"Biden Can Make American Trade Deals Great Again; Unions might resist, but most Democrats now agree that economic isolation is a losing proposition."
"Dec 11, 2020",Chicago Tribune,0,0,0,Practice delayed by positive test: Punt returner Carter the latest to get placed in COVID-19 isolation
"Dec 23, 2020",New York Times,0,0,0,Isolation Helps Homeless Population Escape Worst of Virus
"Dec 24, 2020",New York Times,0,0,0,"France's Macron, Free of COVID-19 Symptoms, Leaves Isolation"
"Dec 24, 2020",New York Times,0,0,0,Isolation Helps Homeless Who Avoid the Shelters: [Foreign Desk]
"Dec 26, 2020",New York Times,0,0,0,Even More an Island Now: The U.K.'s Isolation Grows As the U.S. Restricts Travel: [Foreign Desk]
"Jan 5, 2021",NewsDay,0,0,0,Chitungwiza COVID-19 isolation centre lies idle
"Jan 8, 2021",Wall Street Journal (Online),0,0,0,"'Tomorrow, the World' Review: From Isolation to American Empire; Where did America's global dominance begin? In Stephen Wertheim's view, look to the fall of France in 1940."
"Jan 10, 2021",Wall Street Journal (Online),0,0,0,The NBA Postpones Another Game as Covid Problems Multiply; More than two dozen players on 13 teams were in quarantine or isolation over the weekend as the league struggles to play through the pandemic without a bubble
"Jan 15, 2021",Wall Street Journal (Online),0,0,0,"Australia Considers New Covid-19 Quarantine Strategy: Outback Isolation; Fearing the import of new coronavirus strains, one state wants to repurpose remote camps designed for resources workers"
"Feb 4, 2021",New York Times,0,0,0,"After a Bounty of Tennis in Isolation, an Uncertain Season Awaits: [Sports Desk]"
"Feb 19, 2021",Star Tribune,0,0,0,Players glad to trade isolation for ice time
"Mar 4, 2021",Wall Street Journal (Online),0,0,0,"India Breaks the Privatization Taboo; But Modi's new reforms aren't all pro-market, and they may lead to isolation and crony capitalism."
"Mar 13, 2021",Wall Street Journal (Online),0,0,0,"Starbucks's Mellody Hobson, the Only Black Chairwoman in S&amp;P 500, Says 'Civil Rights 3.0' Is Brewing; The co-CEO of Ariel Investments on progress for people of color, pandemic solitude and her caffeine obsession"
"Apr 1, 2021",Wall Street Journal (Online),0,0,0,New York Bans Use of Long-Term Solitary Confinement; Gov. Andrew Cuomo signs a law capping solitary confinement in the state's correctional facilities at 15 days
"Apr 2, 2021",New York Times,0,0,0,New York Will End Long-Term Solitary Confinement in Prisons and Jails: [National Desk]
"Apr 21, 2021",New York Times,0,0,0,Chauvin Is Held in Solitary Over Fears for His Safety
"Apr 22, 2021",New York Times,0,0,0,Chauvin Held in 23-Hour-a-Day Isolation: [National Desk]
"Apr 29, 2021",New York Times,0,0,0,"Michael Collins, 90, Astronaut Who Kept A Solitary Vigil, Dies: [Biography]"
"May 2, 2021",Newsday,0,0,0,"Vaccine moves the needle: After the shots, LIers emerge from isolation"
"May 26, 2021",The Washington Post,0,0,0,"Airlines shun Belarus's airspace, deepening its isolation"
"May 29, 2021",Wall Street Journal (Online),0,0,0,Isolation Pushes Belarus's Lukashenko Closer to Russia's Putin; Belarusian leader's predicament gives the Kremlin a chance to advance long-held plans to deepen integration with the ex-Soviet republic
"Jun 4, 2021",Wall Street Journal (Online),0,0,0,"We Tested 63 Red Lipsticks to Find the Best; With many mask mandates lifting, it's time to take lips out of isolation and paint them a powerful red. One writer performed a sweeping red-lipstick trial to determine which ones are best equipped to wow during reopening."
"Jun 16, 2021",Wall Street Journal (Online),0,0,0,"Proud Boys and Oath Keepers, Forceful on Jan. 6, Privately Are in Turmoil; The far-right groups face a financial squeeze, internal discord, social-media cutoff and isolation from the financial system"
"Jun 18, 2021",New York Times,0,0,0,Hopefuls Emerge From Isolation Into Spotlight of U.S. Track Trials: [Sports Desk]
"Jun 26, 2021",Star Tribune,0,0,0,DEREK CHAUVIN SENTENCED: CHAUVIN CAN EXPECT ISOLATION FOR HIS SAFETY AS HE SERVES HIS TIME
"Jun 29, 2021",Wall Street Journal (Online),0,0,0,CEOs Welcome! U.K. Says Some Foreign Businesspeople Can Leave Quarantine; Executives must show that leaving self-isolation could serve to preserve or create more than 500 local jobs
"Jul 8, 2021",Los Angeles Times,0,0,0,Connecting with Kafka during our pandemic isolation
"Jul 17, 2021",The Washington Post,0,0,0,U.S. food system's total cost is three times the price of food alone
"Jul 22, 2021",Wall Street Journal (Online),0,0,0,"Hosting Cocktails? Impress Your Guests With These Bar Cabinets; If you're entertaining after months of isolation, you need more flair than bottles stashed in a drab kitchen cupboard. Here, furniture that will beautify those Scotch decanters but still cost less than built-ins."
"Aug 16, 2021",Wall Street Journal (Online),0,0,0,"Former Fed Official Advises Central Banks to Go It Alone; When the Bank of England decides it's time to start tightening, it shouldn't wait for other central banks to join."
"Aug 19, 2021",Wall Street Journal (Online),0,0,0,"Anxious About Talking to People After Lockdown? Here's Some Advice; After months of isolation, you may feel you have nothing interesting to say. But research shows you can relax."
"Sep 15, 2021",New York Times,0,0,0,Putin Goes Into Self-Isolation After Close Aides Test Positive for the Coronavirus: [Foreign Desk]
"Oct 19, 2021",Wall Street Journal (Online),0,0,0,"Snap CEO Evan Spiegel Says Regulation Alone Won't Fix Social Media; Business practices need to support users' well-being, chief executive says at WSJ Tech Live conference"
"Oct 30, 2021",Star Tribune,0,0,0,"Rival praising Gophers' power: Northwestern's Fitzgerald not alone in being impressed by strength, execution of Gophers offensive line."
"Nov 7, 2021",Wall Street Journal (Online),0,0,0,"Nicaraguan President Ortega Expected to Win Re-Election as Country Veers Into Dictatorship; Ortega's triumph would deepen country's isolation and risk increasing a migrant exodus to the U.S., which has described the election as a sham"
"Nov 9, 2021",Wall Street Journal (Online),0,0,0,"Investors Hate Conglomerates. It Doesn't Mean They'll Love the New GE. Spinning off healthcare is a no-brainer for CEO Larry Culp, but a stand-alone engine maker might have a hard time in the next downturn"
"Dec 17, 2021",Los Angeles Times,0,0,0,"CITY &amp; STATE; School outbreak has sixth grade in isolation; Most of the pupils quarantined weren't fully vaccinated, O.C. campus officials say."
"Dec 27, 2021",Wall Street Journal (Online),0,0,0,"CDC Shortens Isolation for Some Covid Infections; New recommendation comes as Omicron variant has sickened workers, putting stress on some industries"
"Dec 28, 2021",New York Times,0,0,0,Small-Business Owners Confused by CDC’s Changing Guidelines on Isolation
"Dec 28, 2021",Los Angeles Times,0,0,0,"CITY &amp; STATE; L.A. County supervisors take on a pressing issue: loneliness; The pandemic has worsened isolation, which can undermine health, experts say."
"Dec 29, 2021",Wall Street Journal (Online),0,0,0,The CDC Sees a Great Covid Light; The shorter isolation period balances public health and the economy.
"Dec 30, 2021",Wall Street Journal (Online),0,0,0,U.S. Hits Record Number of New Covid Cases Twice in Same Week; Omicron surge continues as governments around the world ease self-isolation rules
"Dec 31, 2021",Tampa Bay Times,0,0,0,Evans returns for light workout: The receiver’s sighting after injury and virus isolation is a ray of hope for the offense
"Jan 2, 2022",Wall Street Journal (Online),0,0,0,"U.S., Europe Weigh Isolation Requirements as Omicron Disrupts Daily Life; With infections surging, lengthy quarantine periods threaten the functioning of health systems, other workplaces"
"Jan 2, 2022",The Washington Post,0,0,0,"Citing potential strain, some nations ease isolation rules"
"Jan 3, 2022",Wall Street Journal (Online),0,0,0,"Covid Isolation Sows a Gardening Boom; Cut off from society, Americans found a green new world in the backyard."
"Jan 4, 2022",New York Times,0,0,0,CDC Stands by Decision Not to Require Testing to Leave Isolation
"Jan 5, 2022",Wall Street Journal (Online),0,0,0,"CDC Updates Covid-19 Isolation Guidance, Stops Short of Requiring Testing; The agency has been criticized for its shortened recommended isolation period without asking people to get tested"
"Jan 6, 2022",Wall Street Journal (Online),0,0,0,"New York's Record Wave of Omicron-Variant Cases Sees Fewer Severe Ones; Hospitals warn that staff are exhausted, which hampers isolation, care of Covid-19 patients"
"Jan 7, 2022",New York Times,0,0,0,Walensky Defends CDC's Isolation Guidance in Rare Media Briefing for the Agency
"Jan 7, 2022",Wall Street Journal (Online),0,0,0,Amazon Trims Covid-19 Isolation Period for Workers but Doesn't Mirror CDC; Shift to seven-day policy for hundreds of thousands of U.S. employees comes after health agency halved guidance to five days
"Jan 7, 2022",USA TODAY,0,0,0,UK drops pre-departure testing and isolation requirement for entry
"Jan 7, 2022",Wall Street Journal (Online),0,0,0,"CDC Relaxes Isolation, Quarantine Guidelines for Schools; U.S. agency's guidance is now in line with that for the general population"
"Jan 9, 2022",New York Times,0,0,0,"As Omicron Spreads, CDC Seeks To Clarify Message on Testing, Isolation"
"Jan 11, 2022",New York Times,0,0,0,Delta Air Lines and a Union Spar Over Isolation Periods for Sick Workers
"Jan 11, 2022",Wall Street Journal (Online),0,0,0,Japan's Foreigner Ban Over Omicron Raises Memories of Isolation History; Kishida government enjoys strong poll ratings after shutting the country to new arrivals for extended period
"Jan 12, 2022",New York Times,0,0,0,Delta's Isolation Policy Puts Flight Attendants Union and Management at Odds: [Business/Financial Desk]
"Jan 24, 2022",New York Times,0,0,0,"Shipwrecks and a Treasure, Solitude, in Namibia: [Foreign Desk]"
"Jan 27, 2022",Wall Street Journal (Online),0,0,0,"Hong Kong Dials Back One of World's Longest Covid-19 Quarantines; Arriving travelers will spend two weeks in isolation from Feb. 5, shortening stays that have been criticized by business groups"
"Jan 30, 2022",The Washington Post,0,0,0,"Look out for solitary Jupiter, brilliant Venus as Saturn yields to the sun"
"Feb 6, 2022",Chicago Tribune,0,0,0,"SHORTS: KNIGHT, HENSLEY LEAD US BY ROC HAMILTON ENDS SILENCE, SAYS HE'S BACK MEYERS TAYLOR SET TO LEAVE ISOLATION"
"Feb 7, 2022",New York Times,0,0,0,"With Covid Isolation Over, Meyers Taylor Eyes Medals: [Live Blog Post]"
"Feb 20, 2022",The Washington Post,0,0,0,"Out of isolation after his positive test, Zhou reflects on 'very difficult' Games"
"Feb 21, 2022",Wall Street Journal (Online),0,0,0,"As Covid-19 Cases Wane, U.K. to Lift Remaining Curbs; Government to end free public testing on April 1 and remove restrictions this week, including self-isolation requirement for those infected"
