ID,Title,Date,Step1_Coder1,Step1_Coder2,Step1_TieBreaker,Step2_Coder1,Step2_Coder2,Step2_TieBreaker,CouldNotFindFullText
28,"The worst is yet to come'; Isolation could raise the risk of domestic abuse; Experts say seclusion, stress from pandemic may worsen already strained relationships.",3/25/20,1,1,1,1,1,1,
29,FIND A SOLITARY PATH,3/26/20,1,0,1,0,0,0,
30,"New Forms of Storytelling—and Old Ones Too; From solitary reading to online book clubs, we will find ways to satisfy the human need for stories",3/26/20,0,1,1,0,0,0,
31,Wisdom of books written in isolation,3/26/20,0,1,1,1,0,0,
32,Moving forward from days of isolation,3/27/20,1,1,1,0,0,0,
33,"1,000 WORDS: DRESDEN, Germany; SOLITARY COUPLE",3/27/20,0,1,1,0,0,0,
34,"Call Me Anytime…No, Really, We're All Answering the Phone Again; Texts can be cold; calls let people hear the concern in your voice. Now that we're all stuck in coronavirus-related social isolation, the phone call is making a big comeback.",3/27/20,1,1,1,0,0,0,
35,"When screen time can make us less alone; In this time of social distancing, sharing our experiences online can help us feel together",3/28/20,1,1,1,0,0,0,
36,"Minnesotans face demands of new work life: Workers, businesses adapt to landscape of technology overload, isolation, child care demands and anxiety of the unknown.",3/29/20,0,1,1,0,0,0,
37,Double-edged sword of isolation: Social distancing helps flatten virus curve but it also might hurt those in sobriety,3/29/20,1,1,1,1,1,1,
38,"In Days of Solitude, Books Can Be Our Passports: [Travel Desk]",3/29/20,1,1,1,0,0,0,
39,World's poor face grave new hardships while in isolation,3/29/20,1,1,1,0,0,0,
40,"CORONAVIRUS; Could COVID-19 make isolation the new normal? A global social experiment, through a Seoul lens",3/30/20,1,1,1,1,1,1,
41,Finding fleeting beauty in isolation,4/1/20,1,0,1,0,0,0,
42,"A Berlin Woman Struggles With Isolation: 'The Dog Gives Me a Reason to Go Out'; After two weeks in her apartment, Julia Schössler is thankful for her German shepherd—and eager to get back to the office",4/1/20,1,1,1,1,1,1,
43,Cystic Fibrosis Intensifies Pandemic for 33-Year-Old Australian; Jonathan Despinidic is mentally preparing to stay in isolation for six months; 'I'm trying to suppress the anxiety and not worry about it.',4/1/20,1,1,1,1,1,1,
44,Foster children feeling the pain of isolation,4/1/20,1,1,1,1,1,1,
45,Easing the isolation with their quarantine buddies; Friends make pact -- no contact with others,4/1/20,1,1,1,1,1,1,
46,Self-isolation can be a portal to 'The Twilight Zone',4/1/20,1,1,1,1,1,1,
47,"Castaways and Other Lonely Survivors; From prisoners to exiles to marooned sailors, human beings have faced the ordeal of enforced solitude.",4/2/20,1,1,1,1,1,1,
48,PRESERVING PASSOVER CLOSENESSIN SELF-ISOLATION: JEWISH FAMILIES IN TAMPA BAY MAKE ADJUSTMENTS TO CELEBRATE THE ANCIENT FESTIVAL OF FREEDOM,4/3/20,1,1,1,0,0,0,
49,Memory Cafe beats isolation: Connecting virtually brings difficult adjustments for dementia patients and their families,4/5/20,1,1,1,0,0,0,
50,"Zoombombing Harms the Alcoholics Anonymous Community; Zoom, the go-to platform for social isolation in the coronavirus pandemic, is no substitute for meeting in person—especially for recovering alcoholics",4/5/20,1,1,1,1,1,0,
51,"Single Life and the Coronavirus; For those living alone, lockdowns can amplify feelings of isolation. 'It's different now because it's imposed.'",4/5/20,1,1,1,1,1,1,
52,Recovery in Isolation: [Op-Ed],4/5/20,1,1,1,1,0,0,
53,Ex-inmate says prison readied him for isolation,4/5/20,1,1,1,1,1,1,
54,"Tough realities as students struggle with home learning; Stress, noise, isolation are just some of the hurdles",4/6/20,1,1,1,0,0,0,
55,A Hostage's Guide to Isolation; What I learned about survival as a Taliban prisoner.,4/7/20,1,1,1,1,1,1,
56,Facebook users returning amid social isolation,4/8/20,1,1,1,0,0,0,
57,"How Rituals and Focus Can Turn Isolation Into a Time for Growth; As the author learned caring for his ailing wife, a well-ordered day with close attention to mundane tasks can let us endure with purpose",4/9/20,1,1,1,1,1,1,
58,"Coronavirus Pandemic Takes Toll on Mental Health; Interrupted treatments, heightened anxiety and enforced isolation could cause lasting damage, especially to those with existing conditions",4/9/20,1,1,1,1,1,1,
59,"A family tested by virus, isolation; When a doctor went into quarantine, even a simple thing as a hug became impossible.",4/9/20,1,1,1,0,1,0,
60,"Even in a Pandemic, No One Should Have to Die Alone; Coronavirus isn't what killed my grandfather at 99, but it kept his loved ones from being there.",4/10/20,1,1,1,0,1,1,
61,"HOLIDAY WEEKEND; MUSIC'S SPIRITUAL SOLACE; Profound pieces by Bach, Wagner, Schoenberg and Adams inspire deep thought in this time of isolation.",4/10/20,0,1,1,0,0,0,
62,"Lessons in Constructive Solitude: [Movies, Performing Arts/Weekend Desk]",4/10/20,1,1,1,1,1,1,
63,"For young caregivers, isolation and sacrifice are nothing new",4/10/20,1,1,1,0,1,1,
64,"As Christians Mark Easter in Isolation, Pope Francis Proclaims 'Contagion of Hope'; Under restrictions imposed in response to the coronavirus pandemic, millions marked Easter Sunday at home",4/12/20,1,1,1,0,1,0,
65,Isolation amid pandemic can trigger mental health issues,4/12/20,1,1,1,1,1,1,
66,STAYING IN THE GAME: SELF-ISOLATION HAS MOVED SOCIAL CIRCLES TO GO ONLINE TO PLAY,4/12/20,1,1,1,0,1,0,
67,"Stories to quell fears,isolation of pandemic",4/12/20,1,1,1,0,1,0,
68,Getting Creative in Not-So-Splendid Isolation: [Sports Desk],4/12/20,1,1,1,0,1,0,
69,Artists struggle to find inspiration in isolation,4/12/20,1,1,1,1,1,1,
70,Turning the page on isolation,4/13/20,1,1,1,0,0,0,
71,"Around the world, 'Easter of solitude'",4/13/20,1,1,1,0,0,0,
72,Teens are equipped to handle isolation,4/13/20,1,1,1,1,1,1,
73,A Star Who Doesn't Mind Being Alone: [The Arts/Cultural Desk],4/13/20,1,1,1,1,1,1,
74,"In cities across the world, an 'Easter of solitude'",4/13/20,1,1,1,0,0,0,
75,"The Irony of Isolation: Reconnecting With Friends During the Coronavirus Lockdown; Amid social distancing and quarantine, people have rekindled friendships and grown closer to neighbors",4/14/20,0,1,1,1,1,1,
76,Hello in There: Older People and Isolation: [Science Desk],4/14/20,1,1,1,1,1,1,
77,Psychology of isolation: Experts offer insight on how children cope with the crisis,4/15/20,1,1,1,1,1,1,
78,A vaccine is our only escape from isolation,4/15/20,1,1,1,0,0,0,
79,Coronavirus Lockdown Lessons—From Antarctica; The crew at Troll station are used to isolation. They have advice to help us avoid the Jack Nicholson route in 'The Shining',4/16/20,1,1,1,1,1,1,
80,The price of isolation,4/16/20,1,1,1,1,0,0,
81,"A Guarded Laureate Of Isolation: [Movies, Performing Arts/Weekend Desk]",4/17/20,1,1,1,0,0,0,
82,Astronauts shed light on how to navigate life in isolation,4/17/20,1,1,1,1,1,1,
83,"Is social isolation getting to you, too?",4/19/20,1,1,1,1,1,1,
84,"This is devastating for us': For those in nursing homes, and their visitors, coronavirus isolation takes a toll",4/21/20,0,1,1,1,1,1,
85,"Solitary Prayers, Stifled Festivals: An Unusual Ramadan: [Foreign Desk]",4/21/20,1,1,1,0,0,0,
86,"In pandemic, isolation 'seems like forever'",4/21/20,1,1,1,0,0,0,
87,Lockdown Is a Stress Test for Relationships; The adversity of the pandemic and isolation is an emotional magnifier.,4/22/20,1,0,1,1,1,1,
88,"Isolation and Illness Give L.A. Writer and a Pitbull a Path to Commitment; Cyrus Dunham was unsure at first about a permanent relationship with a rescue dog, but the lockdown fostered a bond",4/22/20,1,1,1,0,0,0,
89,"How to survive isolation: Drives, hope and Adele: Quad Cities man who did decades in solitary shares tips",4/22/20,1,1,1,1,1,1,
90,"Social Isolation's High Physical and Psychological Toll; Studies of polar researchers, astronauts and others in isolation shed light on possible effects of social distancing, including increased forgetfulness, depression and heart attacks",4/23/20,1,1,1,1,1,1,
91,Sense of isolation reinforced; Pandemic heightens the struggles rural schools already face,4/23/20,1,1,1,0,0,0,
92,Glenn Gould was ready for this moment; His 'Solitude Trilogy' for radio in the 1960s and '70s extolled isolation. Cue: 2020.,4/23/20,1,1,1,1,0,0,
93,Dying in Hotels After New York Tried Isolation: [Foreign Desk],4/24/20,1,1,1,0,0,0,
94,One Benefit of Isolation: [Letter],4/24/20,0,1,1,1,0,0,
95,"FAITH &amp; VALUES: Young folks are lonely, and religion doesn't safeguard them ; Attending services doesn't protect against isolation, survey of youth ages 13-25 finds.",4/25/20,1,1,1,1,1,1,
96,Working it out during their self-isolation,4/26/20,0,1,1,0,0,0,
97,Doing the work: Isolation doesn't mean ending exercise regimens,4/26/20,1,1,1,0,0,0,
98,"ALONE TOGETHER| VIRTUAL REALITY; VR MAY BRING THE EMOTIONAL ESCAPE WE NEED NOW; The headsets still cost too much, but the promises of illusions are closer to becoming an alternate reality in anxious times. Here is how one skeptic became a believer.",4/26/20,1,1,1,0,0,0,
99,"After a lifelong struggle with an eating disorder, she has more to fear than coronavirus during self-isolation",4/26/20,1,1,1,1,1,1,
100,INSIGHTS FROM LIVES OF SOLITUDE,4/27/20,1,1,1,1,1,1,
101,"The Uncanny Pastel Sculptures One Artist Is Making From Quarantine; Her work might look fun, even funny from afar, but up close, it takes a darker turn. Sculptor Genesis Belanger's latest work, created mostly in coronavirus isolation, responds to unsettling times",4/27/20,1,1,1,0,0,0,
102,"For Sondheim's 90th, the Ache of Isolation: [Review]",4/28/20,0,1,1,0,0,0,
103,Ramadan in a time of coronavirus; The solitude of social distancing gives the faithful time to reflect on Ramadan's core principles.,4/28/20,1,1,1,1,1,1,
104,"Tired of Isolation, More Americans Venture Outside: [Foreign Desk]",4/29/20,1,1,1,0,0,0,
105,PERSPECTIVES; The psychological toll of isolation; The effects on mental health can be dire and lasting. But we might also become more resilient in long run.,4/30/20,1,1,1,1,1,1,
106,"A Time for Isolation, Reflection and Burying the Hatchet: [Style Desk]",4/30/20,1,1,1,1,1,1,
107,"The Diary of Anne Frank' Review: Isolation as a Matter of Life and Death; An ambitious Zoom-based performance of the stage version of the historic journal is an inspired, moving use of the software.",4/30/20,0,1,1,1,0,0,
108,Feeling hopeless? Worried?: You're not alone,5/1/20,1,1,1,0,1,0,
109,DATING IN A TIME OF ISOLATION,5/2/20,1,1,1,1,1,1,
110,"EPIPHANY OUT OF EPIDEMIC; IN TOUGH TIMES AND TIGHT SPACES, OUR TRUE COLORS SHINE THROUGH, WHETHER WE'RE ALONE OR TOGETHE",5/2/20,1,1,1,1,1,1,
111,Eating disorders can be exacerbated by isolation: The pandemic has made dealing with eating disorders difficult. But there are positive trends.,5/3/20,1,1,1,1,1,1,
112,I Need a Vacation From Parenting in Isolation: [Style Desk],5/3/20,1,1,1,0,0,0,
113,Finding Some 'Alone Time' in a Crowded World: [Real Estate Desk],5/3/20,1,1,1,1,1,1,
114,Coping with isolation: Two experts on being very alone offer tips to stay healthy,5/4/20,1,1,1,1,1,1,
115,"A Stifling Isolation, Broken Up by the Evening Song of Street Chatter: [Correction]",5/5/20,1,1,1,0,0,0,
116,What is it like to paint a mural in isolation?,5/6/20,1,1,1,0,0,0,
117,"Duchess talks isolation, photo project",5/8/20,1,1,1,0,0,0,
118,"time warp: Why isolation makes days rush by for some, drag for others",5/12/20,0,1,1,0,0,0,
119,"For elderly, pandemic forces them into 'cruel' isolation",5/12/20,1,1,1,1,1,1,
120,"In isolation, together",5/12/20,1,1,1,,,,Not Found
121,Class of 2020's solitary walk,5/14/20,1,1,1,0,0,0,
122,"How to Expand Your Quarantine Bubble; Tired of isolation, more people are seeing friends and extended family. There are ways to manage the risk.",5/14/20,1,1,1,1,1,1,
123,"In This Age of Self-Isolation, Architects See Their Homes From a Different Angle; These designers are rethinking the configuration of their own houses for a post-pandemic world",5/14/20,1,1,1,0,0,0,
124,Isolation isn't new for those with intellectual disabilities,5/14/20,1,1,1,0,0,0,
125,A look back at Biosphere 2 and life in isolation [Corrected 05/16/2020],5/15/20,1,1,1,0,0,0,
126,MINNSPIRATIONS: CYBER-SENIORS COMBATS ISOLATION,5/16/20,1,1,1,1,1,1,
127,Meet the Men Sewing Their Way Through Isolation; Men across the country are filling their otherwise empty schedules with DIY fashion projects like stitching pockets on old sweatshirts and experimenting with tie-dye,5/16/20,1,1,1,1,0,0,
128,"Let Children Go to Summer School; Reopening classrooms brings risks. But they can be mitigated, and isolation costs kids far more dearly.",5/18/20,1,1,1,1,0,0,
129,I Feel Like a Hero': An Instacart Shopper's Solitary Day: [Foreign Desk],5/18/20,1,1,1,0,0,0,
130,"THE NATION; Young, alone and a target for deportation; Under Trump policy, migrant children are being cut off from family and counsel.",5/20/20,1,1,1,0,0,0,
131,Isolation-inspired historians,5/21/20,1,1,1,0,0,0,
132,Sheltered at Home: WSJ Members Share Photos of Life in Isolation; We asked readers to share photos of the silver linings found during the pandemic,5/22/20,1,1,1,0,0,0,
133,Bittersweet Solitude: [Foreign Desk],5/22/20,1,1,1,1,1,1,
134,Isolation is acute for new moms: The pandemic has altered plans many had for support,5/25/20,1,1,1,1,1,1,
135,"More People Are Taking Drugs for Anxiety and Insomnia, and Doctors Are Worried; As coronavirus health concerns, social isolation and job-loss stress take a toll, people turn to medications; 'It can very quickly become a habit'",5/25/20,1,1,1,0,0,0,
136,"The Solace of Solitary Encounters With Classical Music; Nothing can replace a live concert, but listening to great music alone can be the opposite of isolation and an antidote for loneliness",5/28/20,0,1,1,1,1,1,
137,SPORTS; International athletes face different challenges; Long waits to get home and days spent in isolation are just some of the issues UCLA and USC student-athletes experienced during pandemic,5/28/20,0,1,1,0,0,0,
138,"Ack-worthy quarantine moments: Cartoonist who gave us ""Cathy"" is now posting daily ""Scenes From Isolation"" on Instagram.",5/28/20,1,1,1,1,1,1,
139,C.D.C. Envisions Isolation in the Workplace: [Business/Financial Desk],5/29/20,1,1,1,0,0,0,
140,"For artists hit hard by isolation, a creative jolt",5/29/20,1,1,1,1,1,1,
141,L.A. AFFAIRS; Stay home? Good call; A PHONE DATE DURING ISOLATION MAKES FOR A REAL CONNECTION,5/30/20,1,1,1,0,0,0,
142,Protests Draw Shoulder-to-Shoulder Crowds After Months of Virus Isolation [With graphic(s)],6/2/20,1,1,1,0,0,0,
143,Sellers of Sex Toys Capitalized on All That Alone Time [With graphic(s)],6/7/20,1,1,1,0,0,0,
144,"BOOK REVIEW; You're probably wrong about Ottessa Moshfegh; Celebrated for her novels, occasionally vilified for a persona she can't control, the author of 'Death in Her Hands' is our prophet of solitude",6/7/20,1,1,1,0,0,0,
145,Ballerina keeps dream alive even in isolation,6/8/20,1,1,1,0,0,0,
146,Isolation must be recognized as a form of elder abuse by Illinois task force,6/8/20,1,1,1,1,1,1,
147,"After 12-Hour Shifts, Solitude and Sanctuary: [Foreign Desk]",6/11/20,1,1,1,0,0,0,
148,The pandemic is a lonely time. These poems speak to our sense of solitude.,6/14/20,1,1,1,1,1,1,
149,"The Toll That Isolation Takes on Kids During the Coronavirus Era; Playing with peers has important developmental benefits, and doctors worry that children are missing out on them now.",6/15/20,1,1,1,1,1,1,
150,Isolation and harmful drinking: Addiction experts worried about all the 'quarantinis' we're having,6/17/20,1,1,1,1,1,1,
151,"THE CONTENDERS; Satire takes peek into the future; For 'Avenue 5,' his follow-up to 'Veep,' writer-creator Armando Iannucci put humans in isolation under extreme stress. Sound familiar?",6/18/20,0,1,1,0,0,0,
152,"The Family That Quarantines Together Gets the Parts; 'Isolation Stories,' 'The Miss Quarantine Pageant' and other productions contain coronavirus risks by signing ready-made casts—also known as families.",6/23/20,0,1,1,0,0,0,
153,"For a Va. college, its tiny size, isolation are assets",6/29/20,1,1,1,0,0,0,
154,Isolation tough for young Pride participants,6/30/20,1,1,1,0,0,0,
155,"Songs for a Summer of Solitude; Concerts may be canceled and parties put on hold, but there's still plenty of outstanding new music to fill a seasonal playlist.",7/1/20,1,1,1,0,0,0,
156,Social isolation during COVID-19 pandemic has hidden health risks -- especially for seniors,7/7/20,0,1,1,1,1,1,
157,Being alone can be sad and scary. But it can also be calm and wonderful.,7/7/20,1,1,1,1,1,1,
158,"Interns Seek Solutions to Isolation During the Summer of Coronavirus; Halfway through their internships, young workers are sending signals that more communication makes all the alone time more manageable",7/13/20,1,1,1,1,1,1,
159,"Teenage Angst, Revisited in Isolation [With graphic(s)]",7/16/20,1,1,1,0,0,0,
160,Self-inflicted isolation,7/16/20,1,1,1,0,0,0,
161,Adopting a pet may help reader cope with isolation,7/21/20,1,1,1,1,1,1,
162,Lonely Girls: How the Pandemic Has Deepened the Isolation of Adolescents; The coronavirus lockdown has increased the fear of missing out for many girls; social media reveals who's getting together and who's stuck at home,7/28/20,1,1,1,1,1,1,
163,"Nature unimproved: Door County state park on Lake Michigan offers easy hikes, natural beauty, solitude",8/2/20,1,1,1,0,0,0,
164,Losing a grandma in the alone times,8/9/20,1,1,1,1,1,1,
165,Coronavirus Turmoil Raises Depression Risks in Young Adults; Social isolation and vanished opportunities caused by Covid-19 bring a mental-health toll for those on the cusp of careers and adulthood,8/10/20,1,1,1,1,1,1,
166,NASSAU COUNTY: WRITE STUFF: TECHNOLOGY HELPS MAKE PEN PALS OF STUDENTS AND SENIORS LIVING IN ISOLATION,8/14/20,0,1,1,1,1,1,
167,A solitary row,8/15/20,1,1,1,,,,Not Found
168,CALIFORNIA SOUNDS; CRUSHING TODAY'S STATE OF SOLITUDE,8/16/20,1,1,1,0,0,0,
169,Tweens vs. loneliness: How to fight isolation in the pandemic,8/18/20,1,1,1,1,1,1,
170,I’m Only One Human Being’: Parents Brace for a Go-It-Alone School Year,8/19/20,1,1,1,0,0,0,
171,Covid Summer Drew This Tourist off the Beaten Path; Where can you go to be alone without feeling lonely? Try the geographic center of the country.,8/21/20,1,1,1,0,0,0,
172,Why colleges can't keep the virus out; Students are in the age group most distressed by pandemic isolation.,8/25/20,1,1,1,1,1,1,
173,How Isolation Hurts Elders: [Letter],8/26/20,1,1,1,1,1,1,
174,Intimacy in Isolation: [Style Desk],8/30/20,1,1,1,1,1,1,
175,"Alice Koller, 94, Troubled Author of the Solitary Life: [Correction]",8/31/20,1,1,1,1,1,1,
176,"The College Student's Guide to Back-to-School Quarantine: Pop-Tarts, Cross-Stitch, Prison Morse Code; Some campuses are starting the year with a two-week lockdown to try to contain Covid-19, and that's a lot of alone time; 'I'm trying to fill up space.'",8/31/20,1,1,1,1,1,1,
177,"Here's How College Students Are Spending Their Campus Quarantines; Cross-stitching, coding and trivia are among the hobbies students are enjoying during the two-week period of isolation on campuses",9/1/20,1,1,1,0,0,0,
178,Blissful solitude by boat,9/6/20,1,1,1,1,1,1,
179,"Readers Share Worry, Hope for Isolated Elderly in Covid Pandemic; A WSJ article about the negative health effects of isolation prompted readers to share their own experiences",9/7/20,1,1,1,1,1,1,
180,"Hardly a pandemic getaway; Hikers seeking fresh air, solitude and life away from the virus lockdowns encounter a Sierra firestorm and narrowly escape",9/9/20,1,0,1,0,0,0,
181,Retired Colonel Criticizes ‘Solitary Confinement’ of Quarantined Soldiers at Guantánamo,9/13/20,1,1,1,0,0,0,
182,A New Prescription: A Dose of Live Music for Hospital Patients; A professional violist is playing for neurology patients at a Chicago hospital to study music's effect on their anxiety and isolation; 'It's very comforting for people when they're sick.',9/14/20,1,0,1,0,0,0,
183,Guantánamo Base Is Accused of Putting Arriving Troops Into 'Solitary Confinement': [Foreign Desk],9/14/20,0,1,1,0,0,0,
184,TORONTO INTERNATIONAL FILM FESTIVAL; ISOLATION THEMES FIND THE RIGHT ERA; Director Chloe Zhao's film 'Nomadland' and Francis Lee's 'Ammonite' are zeroed in on a pandemic zeitgeist vibe,9/14/20,1,1,1,0,0,0,
185,Has forced isolation killed your social skills?,9/14/20,1,1,1,1,1,1,
186,Eating disorder calls surge nearly 80% in isolation,9/14/20,1,1,1,1,1,1,
187,"Loves boyfriend, but also loves solitude",9/15/20,1,1,1,1,1,1,
188,ASMR videos helping people cope with isolation,9/16/20,1,1,1,1,1,1,
189,Center delivers holiday meals for solitary seniors,9/18/20,1,1,1,0,0,0,
190,Voting in a Time of Isolation and Division: [Style Desk],9/20/20,1,1,1,1,1,1,
191,Feels Like 100 Films In Solitude: [The Arts/Cultural Desk],9/23/20,1,1,1,0,0,0,
192,"2,000 Miles, 650 Trails, No One in Sight: The Solitude of Hiking in a Time of Virus",9/26/20,1,1,1,1,1,1,
193,"Coronavirus Spreads Deep Into the Amazon, Imperiling an Ancient Tribe; Covid-19 is infecting the Yanomami, who are uniquely vulnerable due to their isolation, poor health care and high sociability",9/27/20,0,1,1,1,0,0,
194,Another Kind of Isolation on Record-Breaking Hike: [Foreign Desk],9/27/20,1,0,1,1,1,1,
195,"Dreams of being alone, but all together, at a bar",9/29/20,1,1,1,1,1,1,
196,U.S. Army Saw Rise in Suicides as Covid-19 Pandemic Locked Down Nation; Military leaders say stress of isolation from co-workers and family contributed to increase in deaths,10/1/20,0,1,1,1,1,1,
197,Mad at the World: A Life of John Steinbeck' Review: The Poison Cup of Gold; His drive to create was unstoppable—and so was his need for solitude.,10/2/20,0,1,1,0,0,0,
198,"Pandemic, New Platforms Prompt Surge in New Therapists; Increased demand for mental health help, advances in telemedicine and the desire for more fulfilling work are driving industry growth; 'It's a direct result of this time of isolation'",10/4/20,1,1,1,0,0,0,
199,"The isolation of Rita Thomas: “I don’t want to live this way anymore,” the 95-year-old told her daughter",10/5/20,1,1,1,1,1,1,
200,"L.A. AFFAIRS; Spacing issues; MOVING IN TOGETHER MADE SENSE. THEN THE PANDEMIC HIT, AND WE CAME TO REALIZE WE NEED TIME TO BE ALONE",10/10/20,1,1,1,0,0,0,
201,New York City Vowed to Reduce Solitary Confinement. Why Hasn't It?: [National Desk],10/13/20,1,0,1,0,0,0,
202,"The Dream Is Real: You're Finally Home Alone Again; As family members head out of the house more for work or school, people who have gone months without quiet time are savoring some while they can",10/19/20,1,1,1,1,1,1,
203,"Alexandra Korry, 61, Who Denounced Solitary for Juveniles: [Biography]",10/23/20,0,1,1,0,0,0,
204,"U, Minnesota State team up to address student mental health: Demand, strong before the pandemic, has ebbed despite isolation, turmoil.",10/23/20,1,1,1,0,0,0,
205,Pandemic-Forced Isolation Opens New Artistic Pathways,10/24/20,1,1,1,0,0,0,
206,A Hamptons Home Built for Both Entertaining and Solitude Is on the Market: [Real Estate Desk],10/25/20,0,1,1,0,0,0,
207,"From Isolation, New Pathways: [SpecialSections]",10/25/20,1,1,1,0,0,0,
208,Countries Try Shorter Covid-19 Quarantines in Bid to Boost Compliance; Advocates say reducing the isolation period could help combat pandemic fatigue; others warn the gamble could backfire,10/27/20,0,1,1,0,0,0,
209,Isolation's tragic toll on vets,10/27/20,1,1,1,1,1,1,
210,A New 'Slow Killer' Overruns U.S. Nursing Homes: Isolation: [Foreign Desk],10/31/20,1,1,1,1,1,1,
211,"Distanceyearning: Florida seniors endure forced isolation of the past seven months, gain wisdom they’ll take with them through the rest of the pandemic",11/1/20,1,1,1,1,1,1,
212,"Police pin rise in murders on virus: Poverty, isolation are blamed for killings across US",11/3/20,1,1,1,0,0,0,
213,Claire Messud has an antidote to polarization and isolation,11/3/20,1,1,1,0,0,0,
214,Agnes Martin's paintings offer quiet solitude in our noisy isolation,11/8/20,1,1,1,0,0,0,
215,Heart: A Danger From Social Isolation: [Science Desk],11/10/20,1,1,1,1,0,1,
216,"Songs From Home' by Fred Hersch Review: Adapting an Artform to a Pandemic; The pianist's latest album upends the traditional jazz paradigm where live performances and audiences are paramount, instead recording music alone that's meant for listening in solitude.",11/11/20,1,1,1,0,0,0,
217,Teens in COVID Isolation: ‘I Felt Like I Was Suffocating’,11/12/20,1,1,1,1,1,1,
218,We have to think of new ways to connect': Shining a glimmer of light on nursing home residents facing isolation during the coronavirus pandemic,11/23/20,1,1,1,0,0,0,
219,What We Can Learn From Solitude,11/27/20,1,1,1,1,1,1,
220,"Low-income seniors feeling the pandemic; Many spend days alone in rooms, with food delivery their only human contact.",11/28/20,1,1,1,1,1,1,
221,"In Europe's Nursing Homes, a Soaring Covid-19 Death Toll and the Pain of Isolation; Many facilities on the continent resist isolating residents, saying prolonged solitude is also harmful",11/30/20,0,1,1,1,1,1,
222,Romance scams play off isolation,12/2/20,1,1,1,0,0,0,
223,"Joy, isolation and then death",12/4/20,1,1,1,1,1,1,
224,Pandemic pushes caregivers to limits: Tampa Bay area agencies say people who care for loved ones with ailments have been struggling with burnout and isolation since the coronavirus hit Florida. It has caused a growing need for support so they can find time to relax or get away,12/5/20,1,1,1,1,1,1,
225,Seniors form COVID pods to ward off isolation: Expert opinions differ on whether it's safe or not,12/6/20,1,1,1,1,1,1,
226,ISOLATION IN NURSING HOMES IS 'HEARTBREAKING': FAMILIES SAY IN-PERSON VISITS UNDER HEALTH GUIDELINES SHOULD BE ALLOWED,12/7/20,1,1,1,0,0,0,
227,The Solitude of Stardom Yields Source Material: [Review],12/9/20,1,1,1,0,0,0,
