StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,dogcat,Q227_First Click,Q227_Last Click,Q227_Page Submit,Q227_Click Count,AccuracyDT1,ShareDT1,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,AccuracyDT2,ShareDT2,Q229_First Click,Q229_Last Click,Q229_Page Submit,Q229_Click Count,AccuracyDT3,ShareDT2,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,AccuracyDT4,ShareDT4,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,AccuracyRT1,ShareRT1,Q233_First Click,Q233_Last Click,Q233_Page Submit,Q233_Click Count,AccuracyRT2,ShareRT2,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,AccuracyRT3,ShareRT3,Q235_First Click,Q235_Last Click,Q235_Page Submit,Q235_Click Count,AccuracyRT4,ShareRT4,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,AccuracyDF1,ShareDF1,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,AccuracyDF2,ShareDF2,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,AccuracyDF3,ShareDF3,Q239_First Click,Q239_Last Click,Q239_Page Submit,Q239_Click Count,AccuracyDF4,ShareDF4,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,AccuracyRF1,ShareRF1,Q242_First Click,Q242_Last Click,Q242_Page Submit,Q242_Click Count,AccuracyRF2,ShareRF2,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,AccuracyRF3,ShareRF3,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,AccuracyRF4,ShareRF4,CRTTime_First Click,CRTTime_Last Click,CRTTime_Page Submit,CRTTime_Click Count,CR1,CR2,CR3,FeelingThermometerT_First Click,FeelingThermometerT_Last Click,FeelingThermometerT_Page Submit,FeelingThermometerT_Click Count,FeelingDem_1,FeelingRepub_1,PKTime_First Click,PKTime_Last Click,PKTime_Page Submit,PKTime_Click Count,PK1(3),PK2(2),PK3(1),PK4(2),PK5(1),Q114,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,Part,Part_4_TEXT,DemRep_C,POTUS2016,Facebook,Twitter,SM_Freq,SocialMedia_Chk,KnowlingShareFalse,Random,Google,Comments,random,confirmCode
12/1/20 11:52,12/1/20 11:52,0,100,38,1,12/1/20 11:52,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99
12/1/20 11:45,12/1/20 11:53,0,100,447,1,12/1/20 11:53,cat,5.501,6.777,8.033,2,3,3,5.744,6.568,7.581,2,3,2,6.482,8.325,9.522,3,3,2,8.078,9.542,10.596,2,2,1,7.741,8.64,9.345,2,2,3,5.568,7.716,8.038,4,4,5,7.131,8.044,8.936,2,6,5,6.097,8.813,9.729,3,1,1,5.036,6.038,6.848,2,1,1,10.301,12.702,13.632,2,1,1,7.092,8.57,9.55,3,1,1,4.934,5.849,6.882,2,1,1,8.688,13.775,15.015,2,1,1,10.403,14.692,15.502,3,2,2,3.821,4.398,5.487,2,5,4,4.535,5.302,6.03,2,6,6,1.882,11.034,11.325,4,8,10,39,3.674,5.243,5.944,2,15,86,3.196,19.186,20.147,5,3,2,1,2,1,"3,5",29,2,,4,8,1,,2,,5,2,1,1,5,1,no I didn't say that,2,2,,1,68
12/1/20 11:53,12/1/20 11:53,0,100,50,1,12/1/20 11:53,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100
12/1/20 11:50,12/1/20 11:55,0,100,295,1,12/1/20 11:55,cat,4.354,8.458,8.948,4,1,1,3.858,7.062,7.4,6,5,4,3.505,7.076,7.536,8,4,2,5.284,8.897,9.192,5,6,5,4.416,6.318,6.6,7,1,1,4.809,9.038,9.47,7,1,1,5.395,11.997,12.333,7,3,2,4.318,8.76,9.086,5,4,3,3.691,5.783,6.19,6,2,1,9.198,10.549,10.997,5,1,1,4.323,11.211,11.572,7,2,1,2.901,5.073,5.447,6,1,1,2.901,9.105,9.544,10,5,4,4.637,7.678,8.147,5,5,2,3.442,5.71,6.095,5,5,4,3.594,5.395,5.714,5,6,5,1.969,15.427,17.316,4,8,50,39,3.722,6.317,6.959,2,25,5,3.451,21.82,22.846,11,3,2,1,2,1,"3,5",23,1,,5,12,1,,3,,3,1,1,1,4,2,"No, I didn't.",2,2,,0,68
12/1/20 11:54,12/1/20 11:56,0,100,130,1,12/1/20 11:56,Puppy is dog as kitten is to?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45
12/1/20 11:46,12/1/20 11:57,0,100,671,1,12/1/20 11:57,cat,7.905,9.534,12.193,2,1,1,11.059,11.842,13.976,2,1,1,5.282,7.071,8.109,2,1,1,20.431,27.803,28.623,2,1,1,5.836,8.663,9.453,3,4,1,8.363,9.178,10.897,2,5,1,7.685,11.029,12.209,2,6,1,7.967,8.946,10.662,2,2,1,7.136,9.26,10.276,2,1,1,11.207,13.216,14.111,2,2,1,4.716,6.382,7.956,2,1,1,10.464,12.063,12.831,2,1,1,12.652,13.712,15.235,2,2,1,9.205,12.208,13.047,2,4,1,5.268,7.245,9.122,2,5,1,7.342,16.947,17.99,3,6,1,31.232,83.021,99.826,5,8,50,10,3.726,7.458,9.705,2,0,100,19.795,78.372,79.634,5,3,1,2,2,1,"3,5",58,2,,3,5,1,,2,,5,2,1,2,2,2,yes i did say that an article was inaccurate but no I wouldn't share anything on social media,2,2,,0,31
12/1/20 11:53,12/1/20 11:59,0,100,362,1,12/1/20 11:59,cat,2.849,5.912,9.455,4,1,1,11.303,13.863,16.975,2,4,1,4.002,5.354,6.073,3,3,1,3.244,8.012,12.46,3,3,1,3.826,5.514,7.089,3,2,1,1.287,2.862,4.494,2,4,1,2.203,3.691,5.153,3,5,1,3.852,9.476,10.387,4,4,1,1.828,2.915,4.267,3,1,1,5.235,6.883,12.442,2,1,1,2.983,3.591,8.238,2,1,1,2.32,4.312,5.454,4,2,1,3.22,4.571,6.371,3,1,1,3.03,3.99,6.054,2,2,1,1.63,5.893,8.524,3,3,1,4.809,6.784,7.76,3,2,1,1.397,42.342,44.845,5,4,1,39,4.881,12.847,14.263,4,30,35,3.736,34.28,35.399,5,3,2,1,2,1,"3,5",27,1,,6,3,1,,4,Libertarian,5,2,1,2,2,2,no,2,2,,1,50
12/1/20 11:52,12/1/20 11:59,0,100,444,1,12/1/20 11:59,cat,5.097,6.369,7.433,2,1,1,8.443,12.628,14.263,2,2,2,6.94,9.108,10.307,2,4,2,6.74,10.41,11.028,3,3,2,3.593,5.788,6.729,2,6,5,6.153,10.447,12.018,2,6,4,4.713,10.097,10.762,5,6,3,5.181,7.759,8.787,3,6,4,8.399,26.896,27.567,8,2,1,7.543,9.832,11.233,2,2,2,6.577,11.5,13.1,3,1,1,8.072,11.662,12.741,4,1,2,6.342,9.644,10.305,3,1,1,6.135,12.883,13.666,4,3,2,4.243,11.304,11.77,4,5,2,6.171,8.106,9.189,2,5,4,4.4,26.131,41.49,7,4,10 seconds,39,7.945,11.101,12.215,2,24,91,3.152,21.206,22.653,11,3,2,1,2,1,"3,5",29,1,,5,8,1,,2,,5,2,1,1,5,1,"I did not, but if I did that I would share that it is inaccurate for whatever the reason may be.",2,2,,0,19
12/1/20 11:54,12/1/20 12:00,0,100,332,1,12/1/20 12:00,cat,0,0,5.121,0,1,1,0,0,10.26,0,2,1,0,0,7.937,0,1,1,0,0,5.911,0,1,1,0,0,15.314,0,4,1,0,0,10.5,0,5,1,0,0,11.08,0,2,1,0,0,4.013,0,1,1,0,0,7.922,0,2,1,0,0,7.532,0,1,1,0,0,5.323,0,1,1,0,0,7.915,0,2,1,0,0,6.606,0,1,1,0,0,5.787,0,1,1,0,0,5.136,0,1,1,0,0,5.824,0,1,1,0,0,7.991,0,4,10,39,5.615,10.493,11.197,3,40,61,0,0,16.306,0,3,2,1,2,1,"3,5",49,2,,4,11,4,,2,,5,2,1,1,5,2,I did not say both. ,2,2,"None, thank you",1,34
12/1/20 11:56,12/1/20 12:00,0,100,207,1,12/1/20 12:00,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76
12/1/20 11:49,12/1/20 12:02,0,100,747,1,12/1/20 12:02,Cat,9.364,11.846,12.689,3,4,3,27.301,29.113,31.569,3,3,3,17.834,41.748,42.883,5,3,1,12.254,14.982,16.088,3,5,5,8.84,15.14,16.272,4,4,4,1.114,14.98,16.003,4,4,4,10.675,14.89,17.621,4,6,5,9.473,12.662,13.818,3,6,6,7.07,10.299,11.281,3,2,1,20.189,24.931,26.105,4,3,3,13.18,16.463,17.456,3,1,1,10.283,12.964,13.922,3,3,2,12.141,13.499,16.051,3,4,4,9.348,14.31,15.243,4,4,3,8.244,11.576,12.453,3,5,1,7.115,10.291,11.243,3,5,5,3.846,80.307,85.897,4,8,10,20,4.658,7.553,9.811,3,0,100,9.362,38.234,39.192,9,2,2,2,2,1,"3,5",62,2,,4,2,1,,2,,6,2,1,1,4,2,I don't believe the story of the lady from Cancun who claimed her son was Donald Trump's. I would not share on social media because it is saturated with junk.,1,2,,0,34
12/1/20 11:56,12/1/20 12:03,0,100,397,1,12/1/20 12:03,cat,3.208,3.991,6.257,2,1,1,8.698,9.785,11.566,2,2,1,3.628,10.26,11.118,3,6,1,7.252,8.309,10.439,2,4,1,8.104,12.641,13.71,2,4,2,4.334,7.246,8.842,2,6,3,5.419,7.459,8.86,2,5,2,10.498,13.282,14.87,2,5,4,4.991,6.07,7.832,2,1,1,8.067,8.987,10.374,2,1,1,3.555,4.546,6.507,2,1,1,7.354,8.73,10.03,2,3,1,7.367,9.375,11.071,2,2,2,4.93,7.109,8.44,2,5,3,5.804,7.2,8.95,2,5,2,3.932,5.819,6.961,2,5,4,2.004,14.996,20.726,3,8,10,39,2.232,5.152,5.633,4,6,86,2.417,11.24,12.772,5,3,3,1,2,1,"3,5",56,2,,3,8,1,,2,,5,2,2,2,1,1,I would never knowingly share an untruthful article.  I carefully research before i post.  i deleted facebook last month because of their censorship,2,2,As stated.  i left facebook because of their censorship.  I enjoy other social media sites that allow free speech and a healthy way to communicate.,1,50
12/1/20 11:59,12/1/20 12:03,0,100,254,1,12/1/20 12:03,cat,3.36,5.061,6.757,4,1,1,2.424,4.123,5.648,2,1,1,3.247,5.336,7.056,3,1,1,2.609,4.491,8.087,3,4,1,2.647,3.587,6.297,2,1,1,2.643,8.713,11.084,4,4,1,2.773,11.286,12.636,5,4,1,2.908,5.705,7.763,2,1,1,3.839,6.489,7.29,3,1,1,2.583,3.845,5.027,2,1,1,2.263,3.134,5.044,2,1,1,2.825,3.488,4.939,2,1,1,5.054,6.564,7.874,2,1,1,2.275,3.015,4.468,2,1,1,2.084,3.293,4.825,3,1,1,1.559,3.358,6.221,2,1,1,2.238,21.219,21.855,4,4,10,39,1.563,3.435,4.602,2,32,79,3.411,12.6,13.653,5,3,2,1,2,1,"3,5",33,2,,4,7,1,,2,,5,2,1,2,2,2,,1,2,,0,67
12/1/20 11:44,12/1/20 12:04,0,100,1199,1,12/1/20 12:04,Cat,17.536,18.762,23.583,2,2,1,27.21,34.129,35.519,2,2,1,3.806,4.883,6.599,2,5,4,43.119,46.989,48.25,4,4,4,6.464,9.161,10.441,3,5,6,11.643,13.051,14.401,2,3,2,14.69,16.744,18.084,2,4,4,34.911,35.745,37.661,2,3,2,14.605,15.506,16.755,2,1,1,27.451,29.137,30.613,2,5,4,18.89,22.023,23.537,3,1,1,9.685,10.683,12.324,2,1,1,27.28,27.971,29.834,2,1,1,16.788,17.992,19.265,2,1,1,5.075,6.136,7.858,2,1,1,14.419,16.819,18.187,2,4,5,10.703,48.549,68.622,3,4,10,39,9.31,14,15.686,2,100,20,48.546,198.33,199.777,10,3,2,2,2,1,"3,5",40,2,,6,5,1,,1,,2,1,1,1,5,1,Nothing,2,1,Nothing,0,73
12/1/20 11:52,12/1/20 12:05,0,100,768,1,12/1/20 12:05,cat,20.225,29.185,30.045,4,4,3,13.803,17.323,18.175,3,5,3,22.294,24.873,25.886,2,5,4,8.896,11.425,12.44,3,4,2,27.367,32.081,35.278,3,5,3,10.273,13.262,14.473,2,5,4,7.673,11.194,12.038,3,4,3,9.099,10.716,11.519,2,4,2,6.261,7.518,8.45,2,1,1,7.962,10.103,11.682,4,2,1,14.17,32.81,33.216,4,1,1,13.149,15.37,16.367,2,1,2,12.09,16.041,17.195,3,2,2,8.262,13.571,15.261,2,1,1,7.148,11.933,12.711,2,2,2,27.804,33.739,35.19,3,1,2,2.352,42.034,61.275,5,4,5,20,5.769,7.737,8.583,2,30,55,5.336,79.089,80.602,12,3,2,1,2,1,"3,5",18,1,,2,5,1,,2,,4,2,1,1,3,2,"Yes it was to one of them, I don't remember which one exactly but it was so abysmal, I would consider sharing it for jokes.",2,2,NA,0,55
12/1/20 11:54,12/1/20 12:05,0,100,676,1,12/1/20 12:05,cat,3.748,7.337,8.096,3,1,1,8.658,12.032,13.19,3,1,1,12.308,18.445,19.776,5,3,2,3.899,13.817,15.098,3,1,1,21.42,28.118,29.42,4,4,4,15.322,19.756,20.976,4,5,3,6.995,14.496,16.113,3,6,4,10.489,14.943,16.15,4,2,2,4.281,8.145,9.495,4,1,1,20.509,25.504,26.887,3,1,1,8.607,11.891,14.281,3,1,1,7.354,10.978,12.305,3,2,2,8.724,24.119,25.858,4,2,1,12.091,20.883,22.353,3,3,1,10.724,13.824,15.463,3,4,2,14.191,22.274,23.524,5,6,4,3.095,9.936,18.535,4,8,50,20,5.267,8.042,9.165,3,41,76,16.424,148.495,149.286,10,3,2,2,2,1,"3,5",43,2,,3,11,1,,2,,5,2,1,1,2,2,no,2,2,,0,35
12/1/20 12:01,12/1/20 12:05,0,100,227,1,12/1/20 12:05,cat,1.106,2.129,2.648,2,3,4,0.458,0.818,1.616,2,3,4,0.836,1.576,2.046,2,3,5,0.284,1.212,1.762,2,4,3,0.288,1.489,1.698,3,4,3,0.846,1.56,2.375,2,4,3,0.881,2.252,2.602,3,5,3,2.303,3.99,4.703,2,4,6,0.458,0.819,1.549,2,3,4,1.532,1.96,2.809,2,2,5,12.214,14.204,14.84,4,3,5,1.285,2.46,2.711,3,2,5,1.182,2.042,2.502,3,3,4,0.726,1.959,5.519,3,4,4,1.088,1.551,2.2,2,4,3,1.186,2.694,2.958,4,4,4,1.387,26.911,50.029,3,4,50,39,2.16,3.155,3.836,2,68,57,0.635,14.008,14.833,11,2,2,2,2,1,"3,5",18,1,,2,4,4,,1,,3,5,2,1,3,2,no,2,2,,0,73
