StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,dogcat,PoliticalParty,Q227_First Click,Q227_Last Click,Q227_Page Submit,Q227_Click Count,LikedDT1,AccuracyDT1,ShareDT1,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,LikedDT2,AccuracyDT2,ShareDT2,Q229_First Click,Q229_Last Click,Q229_Page Submit,Q229_Click Count,LikedDT3,AccuracyDT3,ShareDT2,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,LikedDT4,AccuracyDT4,ShareDT4,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,LikedRT1,AccuracyRT1,ShareRT1,Q233_First Click,Q233_Last Click,Q233_Page Submit,Q233_Click Count,LikedRT2,AccuracyRT2,ShareRT2,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,LikedRT3,AccuracyRT3,ShareRT3,Q235_First Click,Q235_Last Click,Q235_Page Submit,Q235_Click Count,LikedRT4,AccuracyRT4,ShareRT4,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,LikedDF1,AccuracyDF1,ShareDF1,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,LikedDF2,AccuracyDF2,ShareDF2,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,LikedDF3,AccuracyDF3,ShareDF3,Q239_First Click,Q239_Last Click,Q239_Page Submit,Q239_Click Count,LikedDF4,AccuracyDF4,ShareDF4,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,LikedRF1,AccuracyRF1,ShareRF1,Q242_First Click,Q242_Last Click,Q242_Page Submit,Q242_Click Count,LikedRF2,AccuracyRF2,ShareRF2,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,LikedRF3,AccuracyRF3,ShareRF3,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,LikedRF4,AccuracyRF4,ShareRF4,CRTTime_First Click,CRTTime_Last Click,CRTTime_Page Submit,CRTTime_Click Count,CR1,CR2,CR3,FeelingThermometerT_First Click,FeelingThermometerT_Last Click,FeelingThermometerT_Page Submit,FeelingThermometerT_Click Count,FeelingDem_1,FeelingRepub_1,PKTime_First Click,PKTime_Last Click,PKTime_Page Submit,PKTime_Click Count,PK1(3),PK2(2),PK3(1),PK4(2),PK5(1),Q114,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,Part,Part_4_TEXT,DemRep_C,POTUS2016,Facebook,Twitter,SM_Freq,SocialMedia_Chk,AnswerNotReflect,AnswerNotReflectElab,Answerliking,AnswerLikingElab,InfluencedByIncentiv,InfluencedByElab,InfluencedbyTask,InfluencedbyTaskElab,KnowlinglyShareFalse,KnowlinglyExplain,Random,Google,Comments,random,confirmCode,Party
1/22/21 12:28,1/22/21 12:29,0,100,43,1,1/22/21 12:29,dog,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,62,Republican
1/22/21 12:17,1/22/21 12:32,0,100,885,1,1/22/21 12:32,cat,1,15.03,23.097,25.653,3,3,3,1,12.807,24.376,28.029,3,3,3,3,14.073,21.217,23.715,3,3,1,1,11.263,22.447,24.997,4,3,3,4,42.26,45.749,48.002,3,4,4,4,6.521,10.857,12.881,3,3,3,3,7.965,25.741,27.479,5,5,3,4,11.801,18.514,20.685,3,4,4,4,15.481,20.553,32.881,3,4,2,1,27.525,41.627,43.922,3,2,1,1,9.872,19.575,21.181,3,2,2,3,7.455,10.925,13.083,3,2,1,2,8.15,14.071,17.14,3,3,2,2,11.549,16.331,18.768,3,4,3,2,13.442,24.138,27.346,3,4,2,2,9.603,18.316,20.64,3,5,4,4,6.308,24.875,30.429,3,8,10,20,5.548,8.115,9.718,2,95,57,6.332,41.402,44.158,5,3,2,1,2,1,"3,5",73,1,,5,3,1,,3,,4,2,1,2,2,3,,,2,,,,1,they seem straight forward as to what they were,2,I beleive in truth,2,2,,2,16,Republican
1/22/21 12:18,1/22/21 12:32,0,100,798,1,1/22/21 12:32,cat,1,7.487,9.294,11.224,2,,4,1,10.022,12.421,13.977,2,,4,1,14.08,17.335,19.142,2,,4,1,9.082,10.33,11.888,2,,2,1,9.976,11.4,13.058,2,,4,1,13.393,15.088,16.786,2,,2,1,25.978,30.6,32.277,2,,4,1,13.741,15.741,17.175,2,,2,1,11.428,13.915,15.478,2,,4,2,13.9,16.212,18.174,2,,4,1,10.202,11.69,13.45,2,,1,1,8.157,9.949,11.661,2,,2,1,11.781,13.3,15.6,2,,1,1,7.921,9.457,11.518,2,,1,1,6.095,7.478,9.4,2,,4,1,11.668,14.476,16.453,2,,1,1,6.303,94.808,99.936,7,4,10,39,4.053,15.704,18.594,3,33,74,7.838,26.869,29.199,5,3,2,1,2,1,"3,5",72,1,,6,12,1,,2,,5,1,2,2,1,3,2,I answered the questions as best that I thought they were true or not. It had nothing to do with my beliefs or wanting more money. What the heck difference would a dollar make to me.,,,2,zero,,,2,I do not lie,2,2,,0,91,Republican
1/22/21 12:28,1/22/21 12:32,0,100,217,1,1/22/21 12:32,cat,2,0.541,1.531,1.944,3,,5,5,0.419,1.675,1.933,4,,4,3,3.175,4.601,5.183,2,,4,3,0.485,1.311,1.679,2,,5,4,0.519,1.369,1.583,3,,5,4,0.601,2.142,2.527,4,,3,5,1.164,2.448,2.683,4,,5,3,0.501,1.436,1.75,3,,4,5,0.515,2.038,2.27,4,,3,5,0.56,1.658,1.934,3,,4,5,0.702,1.441,1.71,3,,4,5,0.258,0.953,1.714,3,,3,3,0.656,1.266,1.526,3,,4,5,0.193,2.276,2.696,6,,4,4,0.637,1.434,1.8,4,,4,5,0.655,1.691,2.389,3,,3,5,3.037,27.136,28.744,13,8,50,20,2.472,4.512,5.203,3,100,100,1.285,5.718,5.94,6,1,1,2,2,1,2,20,1,,3,1,"2,4",,1,,2,1,1,1,1,1,,,1,Im not strongly republican,,,,,2,FALSE,2,2,,1,32,Democrat
1/22/21 12:25,1/22/21 12:32,0,100,441,1,1/22/21 12:32,cat,1,6.733,7.866,9.069,2,,3,1,6.843,7.824,9.09,2,,4,1,8.318,9.412,10.437,2,,3,1,11.957,12.727,14.163,2,,2,1,6.312,6.969,8.229,2,,2,1,5.318,6.168,7.45,2,,5,1,10.61,12.872,14.112,2,,5,1,9.375,10.372,11.959,2,,1,1,5.317,6.55,8.056,3,,1,1,8.881,9.787,11.036,2,,1,1,5.892,6.989,8.176,2,,1,1,6.294,9.198,9.8,3,,1,1,7.046,8.616,10.229,2,,1,1,4.817,6.111,8.018,3,,4,1,6.065,6.914,8.469,2,,4,1,8.534,9.656,10.867,2,,5,1,4.716,46.824,55.383,3,4,50,39,3.1,7.685,8.583,3,1,75,6.143,23.699,24.973,5,3,2,1,2,1,"3,5",44,1,,8,12,1,,2,,6,2,1,1,5,2,,,2,,,,,,2,,2,2,,1,30,Republican
1/22/21 12:26,1/22/21 12:34,0,100,461,1,1/22/21 12:34,cat,1,1.114,8.871,9.369,8,,1,1,0.822,9.289,9.653,8,,1,1,1.038,5.008,5.694,5,,1,1,1.188,8.879,9.386,6,,1,1,1.625,20.447,21.001,9,,1,1,1.224,15.518,16.161,10,,3,2,1.782,6.817,7.162,7,,6,6,1.559,10.158,10.619,6,,1,1,2.892,6.644,6.672,4,,1,1,6.339,8.792,9.209,4,,1,1,4.385,7.291,7.774,6,,1,1,31.805,34.681,35.689,5,,1,1,3.454,6.112,6.711,5,,1,1,3.39,7.573,8.116,4,,6,6,3.641,6.522,6.907,5,,6,6,2.655,10.228,10.724,8,,6,6,1.438,39.009,42.341,6,8,50 seconds,20,4.124,6.162,6.642,2,11,91,5.647,31.679,32.443,13,3,2,1,2,1,6,52,2,,4,7,1,,2,,5,2,1,2,5,1,2,I answered honestly,,,2,It did not influence me at all,,,2,There would be no point to it,2,2,,0,64,Republican
1/22/21 12:22,1/22/21 12:34,0,100,681,1,1/22/21 12:34,Cat,2,5.901,6.301,7.295,2,,1,1,12.902,14.349,15.001,2,,2,1,7.618,8.008,8.717,2,,1,1,13.286,14.157,14.801,2,,5,1,9.001,11.872,13.462,3,,5,1,13.865,14.202,14.902,2,,1,1,15.401,16,16.9,2,,2,1,9.4,17.217,18.196,3,,1,1,5.667,5.9,6.816,2,,1,1,16.901,17.453,18.1,2,,2,1,6.322,6.896,7.643,2,,1,1,7.602,7.902,8.74,2,,1,1,3.846,4.198,5.856,2,,1,1,4.901,5.439,6.139,2,,1,1,4.201,4.672,5.368,2,,1,1,7.917,9.293,9.801,2,,2,1,34.6,52.697,60.618,4,8,100,20,2.501,28.665,29.361,5,60,40,10.401,31.328,32.297,9,3,2,1,2,2,"3,5",56,2,,4,5,1,,1,,1,1,1,2,5,2,,,2,,,,,,2,I would not share false  information on social media because its wrong. ,2,2,,1,74,Democrat
1/22/21 12:23,1/22/21 12:37,0,100,853,1,1/22/21 12:37,cat,1,6.944,9.363,10.25,3,1,1,1,12.591,20.055,20.756,4,3,4,3,6.613,16.913,17.969,4,1,1,1,7.493,16.374,17.173,3,2,2,2,7.519,11.946,12.447,3,6,4,6,14.452,32.518,33.345,3,6,6,5,12.341,20.701,21.623,3,6,6,6,8.027,12.182,12.867,3,6,6,6,6.917,11.25,12.62,3,1,1,1,11.029,14.977,16.123,3,1,1,1,15.601,24.279,25.29,3,1,1,1,5.098,9.269,10.686,3,1,1,1,8.621,16.572,17.293,3,5,1,2,5.557,8.709,9.398,3,6,6,6,7.838,23.359,24.115,3,6,5,4,6.133,8.602,9.854,3,6,6,6,16.3,62.53,82.44,4,8,50,20,4.556,21.392,23.606,5,0,5,5,26.74,27.785,5,3,2,1,2,1,"3,5",44,1,,6,4,1,,3,,5,2,1,2,5,1,2,,2,,2,It didn't.,1,"There is bias in everything, even my answers.",1,"The sharing of ""false"" information on social media is a wonderful tool.  There is absolutely no shortage of people willing to point out that you are wrong.  It's a wonderful self correcting mechanism.",2,2,,3,32,Republican
1/22/21 12:24,1/22/21 12:37,0,100,768,1,1/22/21 12:37,Cat,1,17.634,34.862,36.433,13,2,4,1,10.046,30.364,30.963,11,3,3,1,1.333,12.664,13.794,7,3,5,1,15.61,21.363,22.821,10,1,2,1,5.121,63.479,63.991,16,5,5,2,58.257,67.266,68.022,11,5,5,1,11.609,18.328,19.024,6,6,6,1,9.163,20.567,21.17,10,5,4,1,5.076,11.262,11.879,9,2,6,1,11.818,53.592,54.289,8,3,1,1,21.098,31.554,32.282,10,1,1,1,7.434,30.996,32.137,8,1,2,1,6.168,17.288,17.937,9,4,1,1,5.973,11.428,12.145,10,6,4,1,5.533,17.954,18.995,9,6,4,1,5.047,14.606,15.181,6,6,6,5,7.762,46.234,48.398,6,8,50,20,2.46,4.244,4.92,4,18,82,6.197,33.387,33.974,16,3,2,3,2,1,"3,5",43,2,,6,7,1,,3,,4,2,2,2,1,2,2,,2,,1,,2,,2,,2,2,,3,11,Republican
1/22/21 12:30,1/22/21 12:38,0,100,478,1,1/22/21 12:38,cat,1,2.341,4.049,5.255,3,5,4,4,5.199,10.131,13.081,3,4,4,4,7.595,11.416,12.706,3,1,1,1,1.916,4.065,5.576,3,4,3,3,2.222,4.154,4.878,3,4,4,3,13.375,26.627,27.648,3,5,4,2,22.617,35.241,36.065,4,4,1,1,28.393,30.972,32.645,3,5,3,3,3.155,5.381,6.492,4,4,3,3,9.678,12.114,13.064,3,4,5,2,1.363,7.327,8.244,4,1,1,1,1.908,3.768,4.775,3,4,3,5,2.347,4.44,5.701,3,4,3,3,2.07,4.896,5.699,4,2,4,3,6.917,13.366,14.373,6,6,5,1,3.434,5.601,6.409,3,5,4,4,2.534,17.122,19.805,3,8,50,1,5.097,12.274,13.558,3,78,0,22.944,63.017,63.933,11,3,2,1,2,1,"3,5",46,1,,6,11,1,,2,,3,1,1,1,3,2,2,,2,,2,"I don't think there was extra money, it is just a motivator.",2,,2,,2,2,,3,55,Republican
1/22/21 12:31,1/22/21 12:42,0,100,704,1,1/22/21 12:42,Cat ,1,6.539,11.072,11.776,7,,4,2,6.09,10.597,11.125,6,,5,2,5.749,8.148,8.678,6,,5,2,4.842,9.511,10.032,7,,5,1,3.965,13.344,13.871,7,,3,1,4.824,33.566,34,9,,5,3,15.296,19.3,19.864,6,,6,4,12.363,17.683,18.729,6,,5,4,4.026,8.741,9.226,6,,1,4,8.707,23.503,24.274,7,,2,4,4.162,11.08,11.657,8,,2,1,4.257,8.368,8.943,5,,1,1,2.909,4.583,5.1,3,,1,1,2.014,15.466,15.935,11,,2,1,3.657,8.501,9.174,6,,3,1,8.321,43.561,44.275,12,,3,1,4.652,159.473,160.341,9,8,10,39,3.321,4.809,5.746,2,10,60,3.941,12.459,13.459,9,3,2,1,2,1,"3,5",22,2,,3,11,"1,4",,3,,5,2,1,2,5,2,1,Can't remember ,,,1,I need money,,,2,I rarely share political articles ,2,1,,0,93,Republican
1/22/21 12:32,1/22/21 12:43,0,100,680,1,1/22/21 12:43,cat,1,5.756,6.58,7.927,2,,3,1,7.797,8.559,10.128,2,,5,1,5.12,6.728,7.747,2,,4,1,8.707,10.803,11.738,3,,3,1,5.486,6.944,7.955,3,,3,2,4.956,6.99,7.986,2,,6,4,5.133,6.787,7.597,2,,6,5,6.8,7.714,9.263,2,,5,3,3.682,5.28,6.33,2,,1,2,10.293,13.501,14.613,3,,3,2,8.228,15.58,16.583,2,,1,1,5.649,6.287,7.262,2,,2,3,14.818,16.512,17.79,2,,5,2,6.241,8.005,8.984,2,,4,2,3.791,5.453,6.325,2,,6,6,9.303,11.368,12.506,2,,4,1,2.154,24.668,32.949,4,8,50,20,3.549,5.809,6.809,2,20,60,5.41,28.544,65.201,5,2,2,1,2,1,"3,5",32,2,,5,1,1,,2,,4,2,2,2,1,3,,,2,n/a,,,,,2,"that is wrong, I do not support the spread of misinformation",2,2,,1,11,Republican
