StartDate,ID,Gratitude,Role,Willing,Likely,PercentageAgree_1,Difficult,Awkward,Embarrased,Positive,Inconvenient,Annoyed,Pleased,Prosocial1,Comfort1,Prosocial2,Conform2,Gender,Gender_more,Year,Ethnicity,Ethniticy_more,Education,Comment
7/25/18 12:45,119,Gratitude,Helper,6,6,40,0,2,0,4,1,1,7,3,-2,2,-2,Male,,1992,White,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/25/18 14:23,139,No gratitude,Requester,4,4,30,2,5,7,0,7,7,4,1,1,1,1,Male,,1992,Asian,,College 1 year to 3 years (Some college or technical school),no
7/26/18 13:35,177,Gratitude,Helper,4,4,30,0,0,1,4,5,3,7,1,-3,2,-3,Female,,1992,Asian,,College 1 year to 3 years (Some college or technical school),
7/21/18 14:12,43,No gratitude,Helper,6,7,50,6,3,1,4,3,2,7,1,1,0,0,Male,,1991,Black,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 14:12,84,Gratitude,Helper,8,9,60,6,7,8,4,3,0,9,3,1,3,0,Male,,1991,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",A second scenario might diversifythe response. Also you can only pick one race in the demographics section.
7/23/18 14:20,85,No gratitude,Helper,8,8,40,7,8,3,4,7,3,7,2,0,3,-2,Female,,1991,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 13:04,123,Gratitude,Helper,4,2,30,9,9,4,4,5,3,3,2,0,1,0,Male,,1991,Other (please specify),mixed,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 14:12,135,Gratitude,Requester,4,4,40,5,7,9,2,5,6,5,1,1,-1,2,Female,,1991,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/26/18 10:49,159,No gratitude,Requester,7,7,50,0,1,4,0,6,7,7,1,1,2,2,Female,,1991,Hispanic,,Grade 12 or GED (High school graduate),
7/26/18 10:55,160,Gratitude,Requester,4,4,60,7,10,10,3,1,5,10,1,1,3,1,Male,,1991,Hispanic,,College 1 year to 3 years (Some college or technical school),
7/26/18 13:18,174,No gratitude,Helper,3,5,60,5,5,5,5,5,5,5,0,0,0,0,Male,,1991,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 13:55,182,Gratitude,Requester,4,4,30,6,8,3,4,0,2,7,0,-1,0,2,Female,,1991,Asian,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/21/18 14:56,49,Gratitude,Helper,7,7,60,10,10,10,3,6,5,6,3,2,1,2,Female,,1990,White,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/25/18 11:20,102,No gratitude,Helper,6,7,30,4,0,0,1,0,0,3,2,-3,2,-3,Male,,1990,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 12:51,120,No gratitude,Helper,10,10,30,8,8,7,5,3,2,8,3,2,2,1,Male,,1990,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 13:44,180,No gratitude,Requester,2,3,30,4,5,6,3,7,2,7,2,2,2,2,Male,,1990,White,,College 1 year to 3 years (Some college or technical school),
7/17/18 11:05,2,Gratitude,Requester,5,5,60,0,3,5,5,0,5,4,0,1,3,-3,Male,,1989,Hispanic,,Grade 12 or GED (High school graduate),
7/25/18 13:38,127,No gratitude,Requester,3,3,20,0,0,0,2,1,6,2,1,-2,1,-2,Female,,1989,Black,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 13:43,128,No gratitude,Requester,7,10,90,10,10,10,3,6,6,8,3,1,1,3,Female,,1989,Black,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 14:28,140,Gratitude,Requester,4,4,50,1,2,2,5,5,5,8,2,0,1,1,Male,,1989,Black,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 15:08,149,Gratitude,Requester,2,1,10,0,0,2,5,10,8,2,-2,1,-2,2,Male,,1989,Other (please specify),Middle Eastern,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 11:21,163,Gratitude,Helper,7,4,50,7,8,2,4,2,1,9,2,-1,2,0,Male,,1989,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 12:08,169,No gratitude,Helper,5,5,20,2,3,7,4,3,2,9,2,-1,3,-2,Female,,1989,White,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/26/18 14:29,187,Gratitude,Helper,5,5,70,2,5,7,5,2,4,10,3,1,3,2,Male,,1989,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 14:37,189,No gratitude,Helper,5,5,20,5,5,,5,1,2,10,3,-3,3,-3,Female,,1989,Black,,College 1 year to 3 years (Some college or technical school),
7/23/18 12:52,63,Gratitude,Helper,10,9,50,10,10,10,5,0,0,9,3,-2,2,-3,Female,,1988,Other (please specify),middle eastern,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/25/18 12:26,112,No gratitude,Requester,7,9,80,8,9,7,3,2,3,5,-2,2,0,2,Female,,1988,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/26/18 11:17,162,No gratitude,Requester,0,1,10,0,2,2,-2,1,4,0,1,3,0,2,Female,,1988,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 12:00,53,Gratitude,Helper,10,10,50,5,3,2,5,3,3,8,2,-2,2,-3,Male,,1987,Other (please specify),argentino,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 12:23,58,No gratitude,Helper,0,0,10,0,0,1,-4,2,2,2,-2,-2,-2,-3,Female,,1987,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 13:04,66,Gratitude,Requester,3,6,50,5,7,4,-2,7,7,3,-1,2,-1,2,Male,,1987,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 12:20,111,Gratitude,Requester,7,7,80,8,5,5,5,2,3,6,2,1,2,2,Male,,1987,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 13:35,126,No gratitude,Requester,9,8,80,4,5,6,4,4,2,8,2,1,2,0,Female,,1987,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 11:25,164,Gratitude,Requester,4,4,40,5,5,6,3,3,5,5,2,0,2,0,Female,,1987,Other (please specify),canadian,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/26/18 13:49,181,Gratitude,Requester,0,0,10,0,1,1,1,5,8,5,1,3,1,3,Female,,1987,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/17/18 15:13,39,No gratitude,Requester,9,8,90,6,8,6,0,6,7,7,1,2,3,3,Male,,1986,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/26/18 12:21,171,No gratitude,Requester,7,7,60,6,5,3,3,6,6,6,1,1,2,1,Male,,1986,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 12:56,172,No gratitude,Helper,5,5,50,3,3,3,4,5,4,6,2,-2,2,-3,Female,,1986,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 15:02,195,No gratitude,Helper,7,7,30,5,10,10,5,0,0,10,2,3,1,1,Female,,1986,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/17/18 14:20,31,Gratitude,Requester,7,6,40,5,2,3,-3,3,4,4,-3,-3,-2,-3,Male,,1985,Black,,Grades 9 through 11 (Some high school),
7/25/18 14:15,136,Gratitude,Helper,7,6,40,7,8,6,5,2,1,9,2,1,3,1,Female,,1985,White,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/21/18 14:32,45,Gratitude,Helper,9,9,80,8,9,8,5,1,0,9,3,-2,2,-3,Male,,1984,White,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)","Some of the answers to the questions about my feelings would depend on what situation I was in before running into the person (in a hurry myself or just walking around), so maybe people's answers to your questions would be more significant if the opening scenario told them to imagine they are either in a rush or in no hurry at all."
7/23/18 14:08,82,Gratitude,Helper,5,6,30,5,5,3,5,2,2,7,1,-1,2,-2,Male,,1984,Hispanic,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 14:09,83,No gratitude,Helper,6,10,80,0,0,0,0,0,0,0,2,-2,2,-2,Female,,1984,Hispanic,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/21/18 14:51,47,Gratitude,Helper,7,7,40,6,6,4,4,4,2,5,2,2,0,-2,Male,,1983,Hispanic,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/21/18 14:53,48,No gratitude,Helper,0,0,0,0,0,0,5,0,0,5,3,-3,2,-3,Male,,1983,White,,College 1 year to 3 years (Some college or technical school),
7/25/18 11:55,106,No gratitude,Helper,7,5,80,3,5,3,-1,5,2,8,-2,-2,1,-2,Male,,1983,Black,,Grade 12 or GED (High school graduate),
7/25/18 13:31,124,Gratitude,Requester,4,4,40,7,1,1,0,2,4,5,1,1,1,0,Male,,1983,Asian,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 13:54,131,Gratitude,Requester,5,5,90,4,10,10,5,3,5,7,2,-2,2,0,Female,,1983,Hispanic,,College 1 year to 3 years (Some college or technical school),
7/25/18 15:29,153,No gratitude,Helper,5,5,70,0,0,0,0,5,0,7,2,0,2,0,Male,,1983,Asian,,College 1 year to 3 years (Some college or technical school),
7/17/18 13:49,26,Gratitude,Requester,9,8,90,3,7,9,4,1,2,9,2,0,3,0,Female,,1982,Hispanic,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 15:39,100,Gratitude,Helper,8,8,60,8,5,8,5,3,3,8,2,2,2,-1,Male,,1982,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 15:44,101,Gratitude,Helper,8,10,80,2,6,0,5,0,0,8,3,-3,3,-3,Male,,1982,Hispanic,,College 1 year to 3 years (Some college or technical school),
7/25/18 11:37,103,No gratitude,Helper,8,8,50,6,7,2,1,6,1,7,3,0,2,0,Male,,1982,Asian,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/26/18 10:43,158,No gratitude,Helper,10,9,50,0,0,0,5,0,0,10,2,-3,2,-3,Female,,1982,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/17/18 11:48,7,Gratitude,Requester,7,6,60,8,7,9,4,2,4,6,1,2,0,3,Male,,1980,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 12:17,57,No gratitude,Helper,0,1,20,10,9,9,0,9,0,8,2,2,3,-3,Female,,1980,Other (please specify),,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 13:21,70,Gratitude,Requester,10,10,50,10,10,5,5,0,5,10,3,1,3,-2,Female,,1980,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 11:02,161,Gratitude,Helper,7,7,30,5,8,8,5,2,5,7,3,2,3,1,Male,,1980,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 12:30,58,No gratitude,Helper,10,10,40,0,0,0,0,10,0,10,3,3,3,-3,Male,,1979,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",a
7/23/18 12:45,61,Gratitude,Requester,9,5,60,5,5,4,5,5,5,5,0,1,1,1,Female,,1979,White,,College 1 year to 3 years (Some college or technical school),
7/23/18 15:30,99,No gratitude,Helper,10,10,60,6,6,3,2,0,0,8,0,-3,2,-3,Female,,1978,Black,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 13:42,179,No gratitude,Helper,3,3,80,5,5,7,2,5,4,5,2,-1,2,-2,Female,,1978,Hispanic,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/23/18 15:24,97,No gratitude,Requester,6,6,60,7,8,7,5,2,1,8,0,1,1,2,Female,,1977,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 11:58,8,No gratitude,Helper,10,10,90,5,5,5,0,0,0,7,2,2,2,-3,Female,,1976,Asian,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:34,23,Gratitude,Helper,10,9,70,0,0,5,5,0,0,10,2,-3,3,-3,Female,,1976,Hispanic,,Grade 12 or GED (High school graduate),
7/23/18 12:04,54,No gratitude,Helper,10,9,40,5,5,2,5,1,1,9,3,-2,3,-2,Male,,1976,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 14:02,81,No gratitude,Helper,10,8,50,6,6,2,0,1,0,8,1,1,2,-1,Male,,1976,Other (please specify),canadian,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 14:44,143,No gratitude,Helper,10,10,80,10,10,0,5,0,0,10,3,,,,Female,,1976,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 14:55,93,Gratitude,Requester,10,7,60,6,8,8,5,7,6,7,1,1,2,1,Female,,1975,Asian,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:14,19,Gratitude,Requester,9,10,60,3,1,1,4,1,2,8,2,-1,1,-2,Female,,1974,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 12:26,59,Gratitude,Helper,10,10,80,10,4,2,5,0,0,10,3,-2,3,-3,Male,,1974,Hispanic,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 13:44,75,No gratitude,Requester,6,4,30,2,7,5,2,4,7,7,1,2,3,2,Female,,1974,Black,,"Bachelor's degree (For example: BA, AB, BS)",
7/25/18 13:45,129,No gratitude,Requester,5,4,20,5,5,0,0,5,8,4,,1,3,-1,Male,,1974,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",gender ethiticity would be a factor in decision socio economics
7/17/18 11:36,5,Gratitude,Requester,0,0,10,1,1,1,5,4,8,3,2,3,2,-2,Male,,1973,White,,College 1 year to 3 years (Some college or technical school),no....
7/23/18 13:51,77,Gratitude,Requester,2,2,20,0,0,0,4,7,1,8,2,-2,1,-2,Male,,1973,White,,Grades 9 through 11 (Some high school),
7/23/18 14:40,90,Gratitude,Helper,9,9,70,7,9,7,5,2,2,10,2,0,3,-2,Male,,1972,White,,"Bachelor's degree (For example: BA, AB, BS)",have a great day
7/26/18 11:46,167,Gratitude,Helper,10,10,50,0,0,0,0,0,0,5,3,-3,1,-3,Male,,1972,American Indian,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 13:11,173,Gratitude,Helper,8,0,70,7,5,4,3,2,2,5,2,1,2,-1,Male,,1972,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/17/18 14:40,35,No gratitude,Helper,10,10,90,9,5,5,5,0,0,10,3,-2,3,-2,Male,,1971,White,,College 1 year to 3 years (Some college or technical school),
7/23/18 12:38,60,No gratitude,Requester,3,1,30,3,5,0,1,4,6,5,1,1,1,2,Female,,1971,White,,Grade 12 or GED (High school graduate),
7/23/18 14:59,94,Gratitude,Requester,8,7,70,6,5,7,4,7,8,7,2,1,2,-1,Female,,1971,Other (please specify),north african,"Bachelor's degree (For example: BA, AB, BS)",none
7/21/18 14:35,46,No gratitude,Requester,7,5,60,5,5,5,4,0,2,9,2,1,2,0,Female,,1970,White,,"Doctorate Degree (For example: PhD, EdD, MD, DDS, DVM, JD)",
7/25/18 12:44,118,No gratitude,Helper,7,6,80,6,6,6,2,5,2,5,2,2,2,-2,Female,,1970,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 14:09,186,No gratitude,Requester,5,5,40,4,5,0,5,0,3,10,1,1,3,-2,Male,,1970,Black,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:18,20,Gratitude,Requester,6,6,40,6,4,3,2,5,4,5,-2,1,1,0,Male,,1969,Asian,,"Bachelor's degree (For example: BA, AB, BS)",
7/23/18 14:33,87,Gratitude,Helper,6,6,50,6,6,6,2,4,0,6,0,1,1,0,Female,,1969,,,College 1 year to 3 years (Some college or technical school),
7/25/18 14:18,137,No gratitude,Requester,4,4,30,7,6,4,5,3,2,9,2,2,1,-1,Female,,1969,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 14:27,190,Gratitude,Helper,9,9,20,0,4,1,0,0,0,5,2,-2,0,-2,Male,,1969,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/26/18 14:52,196,Gratitude,Requester,5,5,50,5,5,5,3,3,3,6,0,1,1,1,Female,,1969,White,,"Bachelor's degree (For example: BA, AB, BS)",
7/17/18 13:28,21,No gratitude,Requester,6,5,60,3,4,3,3,8,8,5,-1,-1,-2,-2,Female,,1968,White,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",
7/25/18 11:45,105,Gratitude,Helper,10,10,60,9,9,9,4,0,1,9,2,2,2,-2,Female,,1968,White,,"Bachelor's degree (For example: BA, AB, BS)",
