Subj,Condition,Type,sceneType,IPSame,duration,Finished,sheepPic,attn1,attn2,catcall_pilot,cheat_pilot,provoke_pilot,talking_pilot,crash_pilot,shoving_pilot,demand,hypothesis,self_attn1,self_attn2,Gender,sex_orientation,Age,Ethnicity.race,PolFac_1,PolFac_2,PolFac_3,Survey,MoralAction,PunishAction,Punish_police,BlameAct,Deserve,Legit1,Legit2,LegitExist,Legit3,Disobey,MoralPerson,Future1,Future2,Character,dichot,you_notice,you_fine,you_police,feel1,feel2,feel3
6,2,2,cheat,0,0,1,1,1,1,9,1,1,1,9,1,5,Opinions  on feeling pressired how to feel ,7,7,2,1,32,4,4,3,3,5,5,6,7,7,7,1,2,1,7,7,5,6,4,6,1,5,2,1,6,7,7
6,2,2,provoke,0,0,1,1,1,1,9,1,1,1,9,1,5,Opinions  on feeling pressired how to feel ,7,7,2,1,32,4,4,3,3,5,5,7,7,6,6,6,4,5,7,3,5,6,2,5,1,5,2,5,7,7,7
7,1,1,provoke,0,0,1,1,1,1,1,1,1,1,9,9,1,morals,7,7,1,1,43,4,3,4,2,4,1,2,1,1,1,1,1,7,2,1,4,4,1,1,1,3,4,1,5,5,5
7,1,1,shoving,0,0,1,1,1,1,1,1,1,1,9,9,1,morals,7,7,1,1,43,4,3,4,2,4,5,5,6,6,6,5,5,2,6,6,4,4,4,5,1,3,3,3,4,4,6
7,2,1,cheat,0,0,1,1,1,1,1,1,1,1,9,9,1,morals,7,7,1,1,43,4,3,4,2,4,7,5,7,7,6,6,5,2,7,6,6,6,6,6,1,6,3,4,2,2,5
7,2,1,talking,0,0,1,1,1,1,1,1,1,1,9,9,1,morals,7,7,1,1,43,4,3,4,2,4,6,5,7,6,6,6,5,1,6,5,6,6,4,7,1,4,3,3,3,2,2
7,2,2,catcalling,0,0,1,1,1,1,1,1,1,1,9,9,1,morals,7,7,1,1,43,4,3,4,2,4,2,2,5,5,5,5,7,1,6,6,2,5,5,6,1,6,3,3,5,5,5
7,2,2,crash,0,0,1,1,1,1,1,1,1,1,9,9,1,morals,7,7,1,1,43,4,3,4,2,4,6,7,7,7,7,6,6,1,7,7,6,6,5,6,1,5,6,5,3,2,3
8,1,1,shoving,0,0,1,1,1,1,9,2,1,8,8,1,1,Perceptions based on previous information (ie: each scenario included at least 2 misdeeds),6,7,2,5,27,7,5,6,5,4,2,4,1,1,1,1,1,4,5,4,3,5,2,1,0,1,1,1,6,6,5
8,1,2,catcalling,0,0,1,1,1,1,9,2,1,8,8,1,1,Perceptions based on previous information (ie: each scenario included at least 2 misdeeds),6,7,2,5,27,7,5,6,5,4,1,1,3,1,1,3,3,3,4,1,1,2,1,1,0,6,5,4,7,7,7
8,1,2,crash,0,0,1,1,1,1,9,2,1,8,8,1,1,Perceptions based on previous information (ie: each scenario included at least 2 misdeeds),6,7,2,5,27,7,5,6,5,4,5,3,1,6,2,7,7,1,7,7,5,5,4,2,0,5,6,4,5,4,5
8,1,2,provoke,0,0,1,1,1,1,9,2,1,8,8,1,1,Perceptions based on previous information (ie: each scenario included at least 2 misdeeds),6,7,2,5,27,7,5,6,5,4,1,1,2,1,2,5,4,6,4,3,2,3,1,1,0,7,7,6,5,6,6
8,2,1,cheat,0,0,1,1,1,1,9,2,1,8,8,1,1,Perceptions based on previous information (ie: each scenario included at least 2 misdeeds),6,7,2,5,27,7,5,6,5,4,7,5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,1,1,1
8,2,2,talking,0,0,1,1,1,1,9,2,1,8,8,1,1,Perceptions based on previous information (ie: each scenario included at least 2 misdeeds),6,7,2,5,27,7,5,6,5,4,7,7,7,7,7,7,7,1,7,7,6,6,3,7,1,6,6,7,1,1,1
9,1,1,provoke,0,0,1,1,1,1,2,2,2,8,9,1,1,"How much we agree with the law and how much police should be involved, depending on the level of crime. ",7,7,2,1,28,4,1,1,2,5,6,6,7,7,6,7,7,1,7,7,4,5,3,3,1,7,4,4,2,1,1
9,2,2,catcalling,0,0,1,1,1,1,2,2,2,8,9,1,1,"How much we agree with the law and how much police should be involved, depending on the level of crime. ",7,7,2,1,28,4,1,1,2,5,4,5,7,7,6,7,7,1,7,7,3,5,6,2,1,3,5,6,3,2,1
9,2,2,cheat,0,0,1,1,1,1,2,2,2,8,9,1,1,"How much we agree with the law and how much police should be involved, depending on the level of crime. ",7,7,2,1,28,4,1,1,2,5,6,6,7,6,6,7,7,1,7,7,5,5,5,5,1,7,3,5,1,1,1
9,2,2,crash,0,0,1,1,1,1,2,2,2,8,9,1,1,"How much we agree with the law and how much police should be involved, depending on the level of crime. ",7,7,2,1,28,4,1,1,2,5,7,7,7,7,7,7,7,1,7,7,5,5,5,3,1,7,7,7,1,1,1
9,2,2,shoving,0,0,1,1,1,1,2,2,2,8,9,1,1,"How much we agree with the law and how much police should be involved, depending on the level of crime. ",7,7,2,1,28,4,1,1,2,5,6,2,6,4,5,3,4,1,7,7,5,6,5,3,1,7,7,7,5,1,1
9,2,2,talking,0,0,1,1,1,1,2,2,2,8,9,1,1,"How much we agree with the law and how much police should be involved, depending on the level of crime. ",7,7,2,1,28,4,1,1,2,5,7,7,7,7,7,7,7,1,7,7,6,7,3,6,1,6,7,7,2,1,1
10,1,1,cheat,0,0,1,1,1,1,2,2,2,1,8,1,1,different things impacting on our moral opinions,7,7,2,1,60,4,7,7,7,4,3,4,3,2,2,2,2,5,4,2,4,4,1,1,0,4,4,4,7,6,6
10,1,1,talking,0,0,1,1,1,1,2,2,2,1,8,1,1,different things impacting on our moral opinions,7,7,2,1,60,4,7,7,7,4,5,5,5,5,4,4,4,4,4,4,4,4,1,4,0,4,4,4,6,4,4
10,1,2,provoke,0,0,1,1,1,1,2,2,2,1,8,1,1,different things impacting on our moral opinions,7,7,2,1,60,4,7,7,7,4,1,4,1,1,1,1,1,7,4,1,4,4,1,1,0,7,7,4,7,7,7
10,1,2,shoving,0,0,1,1,1,1,2,2,2,1,8,1,1,different things impacting on our moral opinions,7,7,2,1,60,4,7,7,7,4,2,1,2,1,1,2,2,6,2,2,4,4,1,1,0,2,2,2,7,6,5
10,2,1,crash,0,0,1,1,1,1,2,2,2,1,8,1,1,different things impacting on our moral opinions,7,7,2,1,60,4,7,7,7,4,7,7,7,7,7,7,7,1,7,7,4,6,1,5,1,4,4,7,1,1,1
10,2,2,catcalling,0,0,1,1,1,1,2,2,2,1,8,1,1,different things impacting on our moral opinions,7,7,2,1,60,4,7,7,7,4,5,7,7,7,6,7,7,1,6,6,4,4,1,1,1,4,7,4,7,2,2
11,1,1,cheat,0,0,1,1,1,1,9,2,9,9,9,9,1,thoughts on behavior,7,7,2,1,25,5,7,7,7,4,5,3,5,5,3,6,2,4,5,3,5,6,5,2,0,2,2,2,7,7,7
11,1,1,crash,0,0,1,1,1,1,9,2,9,9,9,9,1,thoughts on behavior,7,7,2,1,25,5,7,7,7,4,6,6,6,6,6,5,5,1,5,2,5,5,6,5,1,6,6,6,5,2,4
11,1,1,talking,0,0,1,1,1,1,9,2,9,9,9,9,1,thoughts on behavior,7,7,2,1,25,5,7,7,7,4,6,6,6,6,6,4,4,2,6,2,6,7,5,5,1,6,6,5,1,2,1
11,1,2,provoke,0,0,1,1,1,1,9,2,9,9,9,9,1,thoughts on behavior,7,7,2,1,25,5,7,7,7,4,1,7,1,7,1,1,1,7,6,1,1,3,3,1,0,3,5,3,7,7,7
11,2,2,catcalling,0,0,1,1,1,1,9,2,9,9,9,9,1,thoughts on behavior,7,7,2,1,25,5,7,7,7,4,2,7,7,5,3,6,6,1,6,6,2,4,6,2,1,6,6,5,7,2,2
11,2,2,shoving,0,0,1,1,1,1,9,2,9,9,9,9,1,thoughts on behavior,7,7,2,1,25,5,7,7,7,4,7,7,7,7,7,7,7,1,7,1,7,7,1,7,1,7,7,7,7,1,7
12,1,1,crash,0,0,1,1,1,1,1,1,1,1,9,1,1,Moral compass,7,7,1,1,25,5,2,2,2,4,7,2,7,7,7,3,4,1,7,7,7,7,5,7,1,7,2,2,1,1,1
12,1,1,talking,0,0,1,1,1,1,1,1,1,1,9,1,1,Moral compass,7,7,1,1,25,5,2,2,2,4,4,4,4,5,3,2,4,2,7,3,3,4,1,4,1,1,1,1,5,4,5
12,1,2,shoving,0,0,1,1,1,1,1,1,1,1,9,1,1,Moral compass,7,7,1,1,25,5,2,2,2,4,1,1,1,1,1,1,1,1,7,1,1,1,1,1,0,1,1,1,7,7,7
12,2,1,catcalling,0,0,1,1,1,1,1,1,1,1,9,1,1,Moral compass,7,7,1,1,25,5,2,2,2,4,4,5,7,7,7,7,7,1,7,7,5,7,5,7,1,6,3,3,1,1,1
12,2,2,cheat,0,0,1,1,1,1,1,1,1,1,9,1,1,Moral compass,7,7,1,1,25,5,2,2,2,4,7,2,7,7,7,2,2,1,7,7,7,7,7,7,1,1,1,1,1,1,1
12,2,2,provoke,0,0,1,1,1,1,1,1,1,1,9,1,1,Moral compass,7,7,1,1,25,5,2,2,2,4,4,7,7,7,4,7,3,1,7,7,4,5,3,7,1,7,7,7,1,1,1
13,1,2,provoke,0,0,1,1,1,1,1,1,9,8,2,8,1,Moral decisions ,7,7,2,1,69,4,5,5,4,4,4,2,4,3,1,1,1,7,4,4,4,4,4,1,1,5,6,4,5,5,3
13,1,2,talking,0,0,1,1,1,1,1,1,9,8,2,8,1,Moral decisions ,7,7,2,1,69,4,5,5,4,4,4,5,5,5,4,4,4,3,5,5,4,5,4,3,1,4,4,5,4,3,4
13,2,1,catcalling,0,0,1,1,1,1,1,1,9,8,2,8,1,Moral decisions ,7,7,2,1,69,4,5,5,4,4,5,6,7,7,6,7,7,1,7,1,5,6,2,4,1,6,5,5,2,2,2
13,2,1,shoving,0,0,1,1,1,1,1,1,9,8,2,8,1,Moral decisions ,7,7,2,1,69,4,5,5,4,4,7,7,7,7,7,7,7,1,7,1,7,7,1,2,1,7,7,7,2,1,1
13,2,2,cheat,0,0,1,1,1,1,1,1,9,8,2,8,1,Moral decisions ,7,7,2,1,69,4,5,5,4,4,7,7,6,6,5,5,4,3,6,5,6,6,3,5,0,4,5,4,3,2,2
13,2,2,crash,0,0,1,1,1,1,1,1,9,8,2,8,1,Moral decisions ,7,7,2,1,69,4,5,5,4,4,7,6,6,7,7,7,6,1,6,6,6,6,5,3,1,4,7,6,6,1,1
14,1,1,crash,0,0,1,1,1,1,2,9,9,1,2,2,1,How serious I thought the various crimes were and whether I believed people should be punished for them.,7,7,2,1,46,4,4,5,3,4,3,1,4,4,2,6,6,2,6,5,2,3,5,2,1,7,1,1,7,5,5
14,1,1,shoving,0,0,1,1,1,1,2,9,9,1,2,2,1,How serious I thought the various crimes were and whether I believed people should be punished for them.,7,7,2,1,46,4,4,5,3,4,2,1,3,2,2,4,3,3,5,3,3,3,3,2,0,2,1,1,7,7,6
14,1,1,talking,0,0,1,1,1,1,2,9,9,1,2,2,1,How serious I thought the various crimes were and whether I believed people should be punished for them.,7,7,2,1,46,4,4,5,3,4,3,2,2,5,2,5,6,2,5,5,3,6,2,5,0,2,2,1,5,3,6
14,1,2,catcalling,0,0,1,1,1,1,2,9,9,1,2,2,1,How serious I thought the various crimes were and whether I believed people should be punished for them.,7,7,2,1,46,4,4,5,3,4,2,3,4,4,3,6,5,3,5,6,2,2,3,2,0,5,2,2,7,6,6
14,2,1,cheat,0,0,1,1,1,1,2,9,9,1,2,2,1,How serious I thought the various crimes were and whether I believed people should be punished for them.,7,7,2,1,46,4,4,5,3,4,6,5,3,7,5,6,7,1,6,5,5,7,3,6,1,4,3,2,5,5,3
14,2,2,provoke,0,0,1,1,1,1,2,9,9,1,2,2,1,How serious I thought the various crimes were and whether I believed people should be punished for them.,7,7,2,1,46,4,4,5,3,4,6,7,7,6,6,7,7,1,7,7,5,7,2,7,1,5,3,2,5,2,3
15,1,2,catcalling,0,0,1,1,1,1,9,9,2,1,1,9,1,how people perceive different types of crime and how it affects them personally,7,7,2,5,22,4,6,7,5,4,2,5,5,3,3,5,6,2,6,2,2,4,3,2,1,5,3,3,3,5,6
15,1,2,cheat,0,0,1,1,1,1,9,9,2,1,1,9,1,how people perceive different types of crime and how it affects them personally,7,7,2,5,22,4,6,7,5,4,3,4,6,3,2,3,5,5,6,3,3,4,5,2,0,3,3,2,7,3,7
15,1,2,crash,0,0,1,1,1,1,9,9,2,1,1,9,1,how people perceive different types of crime and how it affects them personally,7,7,2,5,22,4,6,7,5,4,3,2,5,6,2,3,5,1,6,5,2,4,2,2,0,5,2,3,3,2,2
15,1,2,provoke,0,0,1,1,1,1,9,9,2,1,1,9,1,how people perceive different types of crime and how it affects them personally,7,7,2,5,22,4,6,7,5,4,2,6,2,2,1,5,1,7,6,1,1,4,5,1,0,5,1,1,7,6,6
15,1,2,shoving,0,0,1,1,1,1,9,9,2,1,1,9,1,how people perceive different types of crime and how it affects them personally,7,7,2,5,22,4,6,7,5,4,1,2,2,3,1,2,2,6,5,2,1,4,2,2,0,5,2,2,7,7,7
15,2,1,talking,0,0,1,1,1,1,9,9,2,1,1,9,1,how people perceive different types of crime and how it affects them personally,7,7,2,5,22,4,6,7,5,4,7,7,7,7,7,6,5,1,6,5,7,6,5,6,1,5,3,3,1,1,1
16,1,2,catcalling,0,0,1,1,1,1,2,2,2,1,1,9,2,How we judge others for laws they break and which crimes we find less morally right.,7,7,2,8,25,4,6,6,5,4,2,2,5,4,3,3,5,5,4,2,3,5,4,1,0,5,5,3,6,6,4
16,1,2,talking,0,0,1,1,1,1,2,2,2,1,1,9,2,How we judge others for laws they break and which crimes we find less morally right.,7,7,2,8,25,4,6,6,5,4,4,2,5,4,4,5,4,5,5,2,4,4,5,3,0,3,5,4,6,6,6
16,2,1,shoving,0,0,1,1,1,1,2,2,2,1,1,9,2,How we judge others for laws they break and which crimes we find less morally right.,7,7,2,8,25,4,6,6,5,4,7,5,7,6,6,7,5,1,7,3,5,4,5,4,1,7,7,6,5,1,5
16,2,2,cheat,0,0,1,1,1,1,2,2,2,1,1,9,2,How we judge others for laws they break and which crimes we find less morally right.,7,7,2,8,25,4,6,6,5,4,7,7,7,7,7,6,6,1,7,7,5,4,5,6,1,5,2,5,1,1,4
16,2,2,crash,0,0,1,1,1,1,2,2,2,1,1,9,2,How we judge others for laws they break and which crimes we find less morally right.,7,7,2,8,25,4,6,6,5,4,7,7,7,7,7,7,7,1,7,7,7,7,2,7,1,7,6,6,1,1,1
16,2,2,provoke,0,0,1,1,1,1,2,2,2,1,1,9,2,How we judge others for laws they break and which crimes we find less morally right.,7,7,2,8,25,4,6,6,5,4,5,6,7,5,5,5,5,2,6,5,2,4,4,2,1,6,6,6,5,3,2
17,1,2,catcalling,0,0,1,1,1,1,2,2,9,9,9,9,1,What type of crime do you think is more important than other. ,7,7,2,1,26,8,3,3,3,4,1,3,3,1,1,4,7,7,4,2,2,6,1,1,0,5,2,2,7,4,7
17,1,2,shoving,0,0,1,1,1,1,2,2,9,9,9,9,1,What type of crime do you think is more important than other. ,7,7,2,1,26,8,3,3,3,4,4,4,5,3,2,4,3,5,6,4,3,5,2,1,0,6,2,2,6,6,6
17,1,2,talking,0,0,1,1,1,1,2,2,9,9,9,9,1,What type of crime do you think is more important than other. ,7,7,2,1,26,8,3,3,3,4,2,3,5,5,4,5,5,2,7,6,5,5,4,6,1,6,4,4,2,2,4
17,2,1,cheat,0,0,1,1,1,1,2,2,9,9,9,9,1,What type of crime do you think is more important than other. ,7,7,2,1,26,8,3,3,3,4,6,4,6,6,6,6,6,2,7,4,5,4,4,5,1,4,5,3,4,6,6
17,2,1,crash,0,0,1,1,1,1,2,2,9,9,9,9,1,What type of crime do you think is more important than other. ,7,7,2,1,26,8,3,3,3,4,7,7,7,7,7,7,7,1,7,1,7,7,4,4,1,7,7,7,7,1,1
17,2,1,provoke,0,0,1,1,1,1,2,2,9,9,9,9,1,What type of crime do you think is more important than other. ,7,7,2,1,26,8,3,3,3,4,7,7,7,7,7,7,7,1,7,7,4,7,2,4,1,7,7,7,1,1,1
18,1,1,catcalling,0,0,1,1,1,1,1,2,9,1,8,9,5,Perceptions based on context,7,7,1,5,39,8,4,4,3,4,1,1,2,5,3,3,5,1,4,5,1,3,1,1,1,1,5,3,3,4,4
18,1,2,cheat,0,0,1,1,1,1,1,2,9,1,8,9,5,Perceptions based on context,7,7,1,5,39,8,4,4,3,4,2,3,1,5,2,2,2,7,5,5,4,5,2,2,0,2,7,3,7,4,5
18,1,2,talking,0,0,1,1,1,1,1,2,9,1,8,9,5,Perceptions based on context,7,7,1,5,39,8,4,4,3,4,1,1,1,1,1,1,1,7,2,2,1,2,2,1,0,1,5,5,7,7,7
18,2,1,provoke,0,0,1,1,1,1,1,2,9,1,8,9,5,Perceptions based on context,7,7,1,5,39,8,4,4,3,4,7,7,7,7,6,6,5,2,6,6,5,6,2,5,1,6,7,7,4,5,3
18,2,1,shoving,0,0,1,1,1,1,1,2,9,1,8,9,5,Perceptions based on context,7,7,1,5,39,8,4,4,3,4,3,3,3,6,3,3,3,7,5,7,2,4,1,4,1,6,6,6,6,7,7
18,2,2,crash,0,0,1,1,1,1,1,2,9,1,8,9,5,Perceptions based on context,7,7,1,5,39,8,4,4,3,4,7,7,7,7,7,7,7,1,7,7,6,5,4,6,1,7,7,7,4,2,3
19,1,1,catcalling,0,0,1,1,1,1,2,1,2,9,9,9,1,Don’t know,7,7,2,1,54,4,7,7,7,5,5,5,5,4,4,4,3,4,4,4,4,4,3,4,0,3,4,3,3,4,4
19,1,2,cheat,0,0,1,1,1,1,2,1,2,9,9,9,1,Don’t know,7,7,2,1,54,4,7,7,7,5,5,5,4,5,5,7,7,1,7,7,4,4,4,5,0,2,3,3,3,3,2
19,1,2,crash,0,0,1,1,1,1,2,1,2,9,9,9,1,Don’t know,7,7,2,1,54,4,7,7,7,5,7,5,3,7,5,7,7,1,7,7,5,4,3,7,1,1,3,3,1,1,1
19,2,1,provoke,0,0,1,1,1,1,2,1,2,9,9,9,1,Don’t know,7,7,2,1,54,4,7,7,7,5,4,5,5,7,5,7,7,1,7,7,3,4,3,3,1,7,6,6,1,1,1
19,2,1,shoving,0,0,1,1,1,1,2,1,2,9,9,9,1,Don’t know,7,7,2,1,54,4,7,7,7,5,7,7,7,7,7,7,7,1,7,7,7,6,3,7,1,7,7,6,1,1,1
19,2,2,talking,0,0,1,1,1,1,2,1,2,9,9,9,1,Don’t know,7,7,2,1,54,4,7,7,7,5,6,7,7,7,7,7,7,1,7,7,6,4,4,7,1,7,7,6,1,1,1
20,1,1,catcalling,0,0,1,1,1,1,1,1,9,1,8,1,2,moral judgements,6,6,1,1,18,7,3,5,3,4,3,3,2,3,3,3,5,5,4,4,2,5,3,3,0,5,4,5,6,5,5
20,1,1,talking,0,0,1,1,1,1,1,1,9,1,8,1,2,moral judgements,6,6,1,1,18,7,3,5,3,4,3,3,3,3,3,5,4,5,4,3,3,5,3,3,0,3,5,5,5,5,5
20,1,2,cheat,0,0,1,1,1,1,1,1,9,1,8,1,2,moral judgements,6,6,1,1,18,7,3,5,3,4,1,1,2,2,2,3,3,3,5,3,2,5,3,3,0,2,2,2,6,6,6
20,1,2,crash,0,0,1,1,1,1,1,1,9,1,8,1,2,moral judgements,6,6,1,1,18,7,3,5,3,4,2,3,3,3,3,3,3,5,5,6,3,4,5,4,1,5,4,5,5,5,5
20,2,2,provoke,0,0,1,1,1,1,1,1,9,1,8,1,2,moral judgements,6,6,1,1,18,7,3,5,3,4,5,5,6,5,5,5,5,3,6,5,4,5,5,5,1,6,5,5,5,3,3
20,2,2,shoving,0,0,1,1,1,1,1,1,9,1,8,1,2,moral judgements,6,6,1,1,18,7,3,5,3,4,6,6,6,5,6,6,5,3,7,6,6,5,2,6,1,7,6,6,2,2,3
21,1,1,crash,0,0,1,1,1,1,9,1,1,9,9,1,1,morals and faces,6,7,1,1,19,7,4,3,4,4,6,5,7,5,5,2,4,4,6,5,6,7,2,5,1,4,4,3,3,2,4
21,1,2,shoving,0,0,1,1,1,1,9,1,1,9,9,1,1,morals and faces,6,7,1,1,19,7,4,3,4,4,1,1,3,1,1,2,2,5,2,4,1,4,1,1,0,6,5,5,7,6,5
21,1,2,talking,0,0,1,1,1,1,9,1,1,9,9,1,1,morals and faces,6,7,1,1,19,7,4,3,4,4,6,7,6,6,6,4,4,2,6,5,6,6,2,5,1,4,4,5,2,2,4
