task,item,source,trial_state,model,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15
Faux Pas,1,old,-,GPT-3.5,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1
Faux Pas,2,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,3,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,4,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Faux Pas,5,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,6,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Faux Pas,7,old,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,8,old,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,9,old,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,10,old,-,GPT-3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faux Pas,11,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,12,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,13,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,14,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,15,new,-,GPT-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faux Pas,1,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,2,old,-,GPT-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Faux Pas,3,old,-,GPT-4,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,4,old,-,GPT-4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Faux Pas,5,old,-,GPT-4,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,6,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,7,old,-,GPT-4,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,8,old,-,GPT-4,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
Faux Pas,9,old,-,GPT-4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Faux Pas,10,old,-,GPT-4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,11,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Faux Pas,12,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,13,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,14,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Faux Pas,15,new,-,GPT-4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
Strange Stories,1,old,-,GPT-3.5,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0
Strange Stories,2,old,-,GPT-3.5,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0
Strange Stories,3,old,-,GPT-3.5,0.5,1,1,0.5,0.5,1,0.5,1,1,1,0.5,1,1,1,0.5
Strange Stories,4,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,5,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,6,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,7,old,-,GPT-3.5,1,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,1
Strange Stories,8,old,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,9,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,10,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,11,new,-,GPT-3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1
Strange Stories,12,new,-,GPT-3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Strange Stories,1,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,2,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,3,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,4,old,-,GPT-4,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1
Strange Stories,5,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,6,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,7,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,8,old,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,9,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,10,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,11,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,12,new,-,GPT-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Irony A,1,old,I,GPT-3.5,0,,0,,0,,0,,0,,0,,0,,0
Irony A,2,old,I,GPT-3.5,0,,0,,0,,0,,0,,0,,0,,0
Irony A,3,old,N,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony A,4,old,I,GPT-3.5,1,,0,,1,,1,,1,,0,,0,,0
Irony A,5,old,I,GPT-3.5,1,,1,,1,,1,,1,,0,,1,,1
Irony A,6,old,N,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony A,7,old,I,GPT-3.5,1,,1,,1,,1,,1,,0,,1,,1
Irony A,8,old,N,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony A,9,old,N,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony A,10,old,N,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony A,11,old,I,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony A,12,old,N,GPT-3.5,1,,1,,1,,1,,1,,1,,1,,1
Irony B,1,old,N,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,2,old,N,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,3,old,I,GPT-3.5,,1,,1,,0,,0,,0,,0,,0,
Irony B,4,old,N,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,5,old,N,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,6,old,I,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,7,old,N,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,8,old,I,GPT-3.5,,1,,1,,1,,0,,1,,1,,0,
Irony B,9,old,I,GPT-3.5,,0,,1,,1,,1,,1,,1,,1,
Irony B,10,old,I,GPT-3.5,,0,,1,,1,,1,,1,,1,,1,
Irony B,11,old,N,GPT-3.5,,1,,1,,1,,1,,1,,1,,1,
Irony B,12,old,I,GPT-3.5,,0,,0,,0,,0,,0,,0,,0,
Irony A,1,old,I,GPT-4,1,,1,,1,,1,,0,,1,,1,,1
Irony A,2,old,I,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,3,old,N,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,4,old,I,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,5,old,I,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,6,old,N,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,7,old,I,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,8,old,N,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,9,old,N,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,10,old,N,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,11,old,I,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony A,12,old,N,GPT-4,1,,1,,1,,1,,1,,1,,1,,1
Irony B,1,old,N,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,2,old,N,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,3,old,I,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,4,old,N,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,5,old,N,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,6,old,I,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,7,old,N,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,8,old,I,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,9,old,I,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,10,old,I,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,11,old,N,GPT-4,,1,,1,,1,,1,,1,,1,,1,
Irony B,12,old,I,GPT-4,,1,,1,,1,,0,,1,,1,,1,
Hinting,1,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Hinting,2,old,-,LLaMA-70B,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
Hinting,3,old,-,LLaMA-70B,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hinting,4,old,-,LLaMA-70B,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
Hinting,5,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,6,old,-,LLaMA-70B,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
Hinting,7,old,-,LLaMA-70B,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Hinting,8,old,-,LLaMA-70B,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Hinting,9,old,-,LLaMA-70B,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
Hinting,10,old,-,LLaMA-70B,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,11,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,12,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hinting,13,new,-,LLaMA-70B,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1
Hinting,14,new,-,LLaMA-70B,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
Hinting,15,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Hinting,16,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
False Belief A,1,old,T,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,2,old,T,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,3,old,F,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,4,old,F,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,5,new,T,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,6,new,F,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,7,new,FC,LLaMA-70B,0,0,0,0,0,0,0,0,,,,,,,
False Belief A,8,new,T,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief A,9,new,FC,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
False Belief B,1,old,F,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,2,old,F,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,3,old,T,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,4,old,T,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,5,new,F,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,6,new,T,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,7,new,FC,LLaMA-70B,,,,,,,,,0,0,0,0,0,0,0
False Belief B,8,new,F,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
False Belief B,9,new,TC,LLaMA-70B,,,,,,,,,0,0,0,0,0,0,0
Faux Pas,1,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,2,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,3,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,4,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,5,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,6,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,7,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,8,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,9,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,10,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faux Pas,11,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,12,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,13,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,14,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Faux Pas,15,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Strange Stories,1,old,-,LLaMA-70B,1,0.5,0.5,1,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
Strange Stories,2,old,-,LLaMA-70B,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5
Strange Stories,3,old,-,LLaMA-70B,1,0.5,1,0.5,1,1,1,0.5,1,1,0.5,1,1,1,1
Strange Stories,4,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,5,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,6,old,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,7,old,-,LLaMA-70B,1,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Strange Stories,8,old,-,LLaMA-70B,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0,0,0
Strange Stories,9,new,-,LLaMA-70B,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Strange Stories,10,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,11,new,-,LLaMA-70B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strange Stories,12,new,-,LLaMA-70B,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Irony A,1,old,I,LLaMA-70B,0,1,0,0,0,1,0,0,,,,,,,
Irony A,2,old,I,LLaMA-70B,0,1,0,0,0,1,0,0,,,,,,,
Irony A,3,old,N,LLaMA-70B,1,0,1,1,1,0,1,1,,,,,,,
Irony A,4,old,I,LLaMA-70B,0,1,0,0,0,1,0,0,,,,,,,
Irony A,5,old,I,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
Irony A,6,old,N,LLaMA-70B,1,0,1,1,1,0,1,1,,,,,,,
Irony A,7,old,I,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
Irony A,8,old,N,LLaMA-70B,0,0,0,0,0,0,0,0,,,,,,,
Irony A,9,old,N,LLaMA-70B,0,0,0,0,0,0,0,0,,,,,,,
Irony A,10,old,N,LLaMA-70B,0,0,0,0,0,0,0,0,,,,,,,
Irony A,11,old,I,LLaMA-70B,1,1,1,1,1,1,1,1,,,,,,,
Irony A,12,old,N,LLaMA-70B,0,0,0,0,0,0,0,0,,,,,,,
Irony B,1,old,N,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
Irony B,2,old,N,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
Irony B,3,old,I,LLaMA-70B,,,,,,,,,0,0,0,0,0,0,0
Irony B,4,old,N,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
Irony B,5,old,N,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
Irony B,6,old,I,LLaMA-70B,,,,,,,,,1,1,0,1,1,1,1
Irony B,7,old,N,LLaMA-70B,,,,,,,,,1,1,1,1,1,1,1
Irony B,8,old,I,LLaMA-70B,,,,,,,,,1,1,0,1,1,1,1
Irony B,9,old,I,LLaMA-70B,,,,,,,,,1,1,0,1,1,1,1
Irony B,10,old,I,LLaMA-70B,,,,,,,,,1,1,0,1,1,1,1
Irony B,11,old,N,LLaMA-70B,,,,,,,,,0,0,1,0,0,0,0
Irony B,12,old,I,LLaMA-70B,,,,,,,,,1,1,0,1,1,1,1
